observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2788797,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48369,gnpis_pui:holding-921_taxon-4898_accession-48369,RE01016,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"12,93",,"101,49",
1,2788795,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48369,gnpis_pui:holding-921_taxon-4898_accession-48369,RE01016,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"10,97",,"77,22",
1,2788945,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49113,gnpis_pui:holding-921_taxon-4898_accession-49113,CF02003,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"13,29",,"88,52",
2,2788918,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49547,gnpis_pui:holding-921_taxon-4898_accession-49547,EM02307,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"13,06",,"90,5",
1,2788917,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49547,gnpis_pui:holding-921_taxon-4898_accession-49547,EM02307,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"13,16",,"90,51",
2,2788916,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49547,gnpis_pui:holding-921_taxon-4898_accession-49547,EM02307,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"10,37",,"77,28",
2,2788814,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49177,gnpis_pui:holding-921_taxon-4898_accession-49177,EM02281,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"12,85",,"95,8",
1,2788915,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49547,gnpis_pui:holding-921_taxon-4898_accession-49547,EM02307,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"10,93",,"73,79",
1,2788943,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49113,gnpis_pui:holding-921_taxon-4898_accession-49113,CF02003,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"11,5",,"69,01",
2,2788944,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49113,gnpis_pui:holding-921_taxon-4898_accession-49113,CF02003,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"11,73",,"76,13",
2,2788878,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49723,gnpis_pui:holding-921_taxon-4898_accession-49723,DI03005,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"13,2",,"94,17",
1,2788877,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49723,gnpis_pui:holding-921_taxon-4898_accession-49723,DI03005,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"12,26",,"96,24",
1,2788875,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49723,gnpis_pui:holding-921_taxon-4898_accession-49723,DI03005,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"10,36",,"82,49",
2,2788876,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49723,gnpis_pui:holding-921_taxon-4898_accession-49723,DI03005,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"11,06",,"86,14",
1,2788853,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48744,gnpis_pui:holding-921_taxon-4898_accession-48744,EM02292,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"13,92",,"95,97",
2,2788838,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49167,gnpis_pui:holding-921_taxon-4898_accession-49167,EM02272,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"12,94",,"88,12",
1,2788835,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49167,gnpis_pui:holding-921_taxon-4898_accession-49167,EM02272,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"11,53",,"72,95",
1,2788851,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48744,gnpis_pui:holding-921_taxon-4898_accession-48744,EM02292,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"10,58",,"79,39",
1,2788837,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49167,gnpis_pui:holding-921_taxon-4898_accession-49167,EM02272,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"13,34",,"92,92",
2,2788836,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49167,gnpis_pui:holding-921_taxon-4898_accession-49167,EM02272,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"11,03",,"78,63",
