observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
RE07095itkfi,2839007,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"12,49",,"113,3",,"94,4",
AO09011itknt,2839023,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27780,https://doi.org/10.15454/RVET6J,AO09011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"99,5",,"93,4",
CF07193itkfi,2838986,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27793,https://doi.org/10.15454/0F480I,CF07193,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"12,56",,"106,6",,"88,8",
Apacheitkt,2839000,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,94",,"94,8",,"109,4",
AO09004itkfi,2838962,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27773,https://doi.org/10.15454/VLLBEN,AO09004,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"12,82",,"94,4",,"78,6",
AO09004itknt,2838963,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27773,https://doi.org/10.15454/VLLBEN,AO09004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"77,1",,"72,4",
AO09011itkt,2839024,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27780,https://doi.org/10.15454/RVET6J,AO09011,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,99",,"93,4",,"107,7",
AO09011itkfi,2839022,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27780,https://doi.org/10.15454/RVET6J,AO09011,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"13,2",,"101,9",,"84,9",
Grapeliitkt,2838985,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,35",,"115,8",,"133,6",
Apacheitknt,2838999,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,97,,"91,1",
CF07018itkt,2839006,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,treated,2009,"13,64",,"97,5",,"112,5",
Apacheitkfi,2838998,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"12,34",,"94,6",,"78,8",
AO09008itknt,2838975,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27777,https://doi.org/10.15454/KBQRVN,AO09008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"76,3",,"71,6",
AO09008itkfi,2838974,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27777,https://doi.org/10.15454/KBQRVN,AO09008,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"13,6",,"83,3",,"69,4",
Grapeliitknt,2838984,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"122,4",,"114,9",
Grapeliitkfi,2838983,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"10,64",,"122,1",,"101,7",
AO09008itkt,2838976,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27777,https://doi.org/10.15454/KBQRVN,AO09008,VIRTUAL_TRIAL,,,,,,,,treated,2009,"14,2",,"94,3",,"108,7",
RE07095itknt,2839008,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"106,8",,"100,3",
EM07117itkfi,2838980,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"11,22",,"130,8",,"108,9",
AO09006itkt,2838970,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27775,https://doi.org/10.15454/WU0VNG,AO09006,VIRTUAL_TRIAL,,,,,,,,treated,2009,"14,34",,"93,1",,"107,4",
CF07018itknt,2839005,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"105,4",,99,
CF07018itkfi,2839004,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"12,12",,"107,1",,"89,2",
AO09007itknt,2838948,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27776,https://doi.org/10.15454/4JXOGF,AO09007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"91,5",,"85,9",
RE07114itknt,2838972,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,101,,"94,8",
RE07114itkfi,2838971,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,14,,"107,5",,"89,5",
