observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,vp(CO_321:1000225),vp(CO_321:1000225).date
Apache,2784565,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2002,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF01196,2784553,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,49532,gnpis_pui:holding-921_taxon-4898_accession-49532,CF01196,VIRTUAL_TRIAL,,,,,,,,2002,"20,5",,85,,133,,72,,205,,49,,"0,57",,143,,5,,296,,"10,1",,"76,2",,33,,"2,52",
EM01062,2784559,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,48872,gnpis_pui:holding-921_taxon-4898_accession-48872,EM01062,VIRTUAL_TRIAL,,,,,,,,2002,"23,2",,109,,138,,60,,198,,47,,"0,43",,142,,62,,354,,"10,3",,78,,43,,"2,37",
EM01214,2784545,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,2002,"14,1",,41,,148,,73,,221,,73,,"1,79",,128,,13,,293,,"10,6",,"76,4",,35,,"2,84",
EM01271,2784561,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,2002,"17,7",,63,,128,,51,,179,,49,,"0,77",,115,,49,,270,,"8,7",,"73,4",,40,,"1,94",
Skerzzo,2784592,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,2002,"25,8",,135,,135,,76,,211,,49,,"0,37",,194,,41,,366,,"11,6",,"85,1",,55,,3,
CF99351,2784562,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,25899,https://doi.org/10.15454/QG5OJU,CF99351,VIRTUAL_TRIAL,,,,,,,,2002,"20,4",,84,,130,,76,,206,,98,,"1,17",,313,,38,,361,,13,,"84,5",,66,,"3,55",
EM00018,2784582,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,2002,"24,4",,121,,119,,45,,164,,31,,"0,26",,107,,19,,363,,"10,3",,"81,3",,31,,"1,9",
EM01324,2784564,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,VIRTUAL_TRIAL,,,,,,,,2002,"16,8",,58,,140,,59,,199,,55,,"0,96",,114,,46,,215,,9,,73,,40,,"2,57",
DI00010,2784543,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,2002,"23,5",,112,,121,,61,,182,,45,,"0,4",,154,,3,,365,,"11,5",,"84,9",,40,,"3,21",
CF00116,2784573,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,2002,"27,8",,157,,97,,50,,147,,28,,"0,18",,109,,12,,349,,"11,2",,"81,4",,32,,"2,73",
EM00072,2784584,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,26102,https://doi.org/10.15454/WNKZ9X,EM00072,VIRTUAL_TRIAL,,,,,,,,2002,"23,3",,110,,101,,39,,140,,27,,"0,24",,80,,25,,360,,"9,8",,"77,4",,27,,"2,34",
EM00002,2784546,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,2002,"19,3",,75,,128,,64,,192,,50,,"0,66",,153,,19,,328,,"10,4",,"82,4",,41,,"1,74",
DI00024,2784547,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,2002,24,,117,,129,,41,,170,,30,,"0,26",,92,,5,,330,,"10,6",,"82,3",,31,,"2,79",
RE01002,2784585,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,26110,https://doi.org/10.15454/PY1VVU,RE01002,VIRTUAL_TRIAL,,,,,,,,2002,"23,3",,110,,148,,68,,216,,35,,"0,31",,128,,28,,292,,"11,1",,"82,6",,39,,"1,64",
CF00108,2784544,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,26103,https://doi.org/10.15454/VUCZZU,CF00108,VIRTUAL_TRIAL,,,,,,,,2002,"25,2",,129,,113,,55,,168,,31,,"0,24",,110,,25,,394,,"11,5",,"80,9",,30,,"2,69",
EM01023,2784577,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,2002,"23,2",,109,,142,,66,,208,,47,,"0,43",,160,,61,,337,,"10,3",,"77,3",,45,,"1,87",
