observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF07311itkt,2834375,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,27837,https://doi.org/10.15454/CYACZC,CF07311,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,85,,142,,"10,34",,"94,2",,"96,6",,,,,,1,
DI08018itkt,2834383,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49132,gnpis_pui:holding-921_taxon-4898_accession-49132,DI08018,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"87,5",,144,,"9,83",,"94,1",,"96,4",,,,,,1,
CF07315itkt,2834393,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48659,gnpis_pui:holding-921_taxon-4898_accession-48659,CF07315,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"82,5",,142,,"10,46",,"93,4",,"95,8",,,,,,1,
RE07098itkfi,2834396,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49623,gnpis_pui:holding-921_taxon-4898_accession-49623,RE07098,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,"88,5",,140,,"10,18",,"106,8",,"83,8",,3,,"3,5",,1,
RE07100itkt,2834387,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48772,gnpis_pui:holding-921_taxon-4898_accession-48772,RE07100,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,90,,143,,"10,76",,"85,3",,"87,4",,,,,,1,
RE07095itkt,2834413,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"92,5",,144,,"10,61",,"91,2",,"93,4",,,,,,1,
RE07098itkt,2834397,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49623,gnpis_pui:holding-921_taxon-4898_accession-49623,RE07098,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,85,,143,,"10,69",,"95,7",,"98,1",,,,,,1,
RE07095itkfi,2834412,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,90,,"145,5",,"10,12",,"95,1",,"74,6",,1,,"2,5",,1,
DI08016itkt,2834443,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48410,gnpis_pui:holding-921_taxon-4898_accession-48410,DI08016,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"87,5",,144,,"11,3",,"81,3",,"83,3",,,,,,1,
DI08015itkfi,2834376,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49358,gnpis_pui:holding-921_taxon-4898_accession-49358,DI08015,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,"83,5",,144,,"10,74",,"84,6",,"66,4",,5,,"4,5",,1,
RE07100itkfi,2834386,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48772,gnpis_pui:holding-921_taxon-4898_accession-48772,RE07100,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,90,,140,,"10,31",,"93,2",,"73,1",,2,,3,,1,
Koreliitkt,2834395,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"92,5",,"146,5",,"10,42",,"93,7",,96,,,,,,1,
DI08015itkt,2834377,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49358,gnpis_pui:holding-921_taxon-4898_accession-49358,DI08015,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"87,5",,144,,"11,36",,"87,5",,"89,7",,,,,,1,
CF06199itkt,2834423,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48761,gnpis_pui:holding-921_taxon-4898_accession-48761,CF06199,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"82,5",,"146,5",,"10,28",,"104,2",,"106,8",,,,,,1,
CF06199itkfi,2834422,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48761,gnpis_pui:holding-921_taxon-4898_accession-48761,CF06199,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,4,,"82,5",,"145,5",,"10,1",,"105,7",,"82,9",,3,,4,,1,
Apacheitkfi,2834402,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,90,,139,,"10,23",,"103,4",,"81,1",,5,,5,,1,
CF07315itkfi,2834392,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48659,gnpis_pui:holding-921_taxon-4898_accession-48659,CF07315,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,"88,5",,140,,"10,04",,"102,7",,"80,6",,"3,5",,"3,5",,1,
CF07278itkt,2834411,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48863,gnpis_pui:holding-921_taxon-4898_accession-48863,CF07278,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"76,5",,140,,"11,64",,"97,4",,"99,8",,,,,,1,
DI08016itkfi,2834442,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48410,gnpis_pui:holding-921_taxon-4898_accession-48410,DI08016,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,85,,144,,"10,89",,"86,2",,"67,6",,"3,5",,4,,1,
Apacheitkt,2834403,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,85,,139,,"10,64",,"103,6",,"106,1",,,,,,1,
DI08021itkt,2834431,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49426,gnpis_pui:holding-921_taxon-4898_accession-49426,DI08021,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,95,,146,,"12,15",,86,,"88,1",,,,,,1,
RE07089itkt,2834439,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48646,https://doi.org/10.15454/TXCHAY,RE07089,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"83,5",,144,,"10,84",,"90,2",,"92,4",,,,,,1,
CF07296itkt,2834385,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49527,gnpis_pui:holding-921_taxon-4898_accession-49527,CF07296,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,76,,145,,"9,9",,"99,4",,"101,8",,,,,,1,
CF07267itkfi,2834436,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,27794,https://doi.org/10.15454/LNBBQV,CF07267,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,90,,140,,"9,8",,"105,5",,"82,8",,2,,"3,5",,1,
RE07089itkfi,2834438,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48646,https://doi.org/10.15454/TXCHAY,RE07089,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,"87,5",,141,,"10,74",,"102,4",,"80,3",,2,,4,,1,
CF07296itkfi,2834384,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49527,gnpis_pui:holding-921_taxon-4898_accession-49527,CF07296,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"4,5",,75,,140,,"9,48",,97,,"76,1",,"1,5",,4,,1,
RE07113itkfi,2834388,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48963,gnpis_pui:holding-921_taxon-4898_accession-48963,RE07113,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,"87,5",,145,,"10,5",,"107,8",,"84,6",,2,,3,,1,
RE07092itkfi,2834406,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49499,gnpis_pui:holding-921_taxon-4898_accession-49499,RE07092,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,"88,5",,140,,"10,04",,"98,5",,"77,3",,2,,"3,5",,1,
RE07092itkt,2834407,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49499,gnpis_pui:holding-921_taxon-4898_accession-49499,RE07092,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,85,,142,,"10,46",,"91,3",,"93,5",,,,,,1,
RE07096itkfi,2834414,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48483,gnpis_pui:holding-921_taxon-4898_accession-48483,RE07096,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,"92,5",,144,,"11,1",,"99,1",,"77,7",,2,,3,,1,
DI08020itkfi,2834428,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49557,gnpis_pui:holding-921_taxon-4898_accession-49557,DI08020,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,95,,144,,"11,28",,"101,1",,"79,3",,"1,5",,"2,5",,1,
RE07096itkt,2834415,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48483,gnpis_pui:holding-921_taxon-4898_accession-48483,RE07096,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"92,5",,144,,"11,89",,"89,4",,"91,6",,,,,,1,
