observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI10003itkfi,2849529,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48505,gnpis_pui:holding-921_taxon-4898_accession-48505,DI10003,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,91,,1,,150,,"9,96",,"78,2",,"92,2",,1,,"93,9",,1,
RE09032itkt,2849506,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48622,gnpis_pui:holding-921_taxon-4898_accession-48622,RE09032,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,,,150,,"10,89",,"82,4",,"90,4",,,,"100,8",,1,
RE09032itkfi,2849505,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48622,gnpis_pui:holding-921_taxon-4898_accession-48622,RE09032,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,150,,"9,96",,"81,8",,"92,5",,1,,"94,2",,1,
AO10015itkfi,2849477,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,96,,1,,144,,"10,8",,"80,6",,99,,4,,"100,9",,4,
AO10015itkt,2849478,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,treated,2010,86,,,,144,,"10,99",,82,,"92,7",,,,"103,4",,"4,5",
CF09075itkfi,2849513,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48642,gnpis_pui:holding-921_taxon-4898_accession-48642,CF09075,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,96,,4,,144,,"11,14",,"82,4",,"80,1",,"1,5",,"81,6",,1,
CF09075itkt,2849514,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48642,gnpis_pui:holding-921_taxon-4898_accession-48642,CF09075,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,,,144,,"11,24",,"82,6",,"85,6",,,,"95,4",,1,
DI10004itkt,2849536,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49387,gnpis_pui:holding-921_taxon-4898_accession-49387,DI10004,VIRTUAL_TRIAL,,,,,,,,treated,2010,74,,,,152,,"10,18",,"80,2",,94,,,,"104,8",,1,
DI10004itkfi,2849535,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49387,gnpis_pui:holding-921_taxon-4898_accession-49387,DI10004,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,2,,150,,"10,02",,79,,"98,4",,1,,"100,3",,1,
AO10014itkt,2849480,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49697,gnpis_pui:holding-921_taxon-4898_accession-49697,AO10014,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,144,,"11,42",,82,,"96,9",,,,"108,1",,1,
AO10014itkfi,2849479,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49697,gnpis_pui:holding-921_taxon-4898_accession-49697,AO10014,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,92,,4,,144,,"10,66",,"80,8",,"93,5",,3,,"95,4",,1,
DI10005itkfi,2849533,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49716,gnpis_pui:holding-921_taxon-4898_accession-49716,DI10005,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,1,,145,,"9,97",,"80,5",,"96,7",,"1,5",,"98,6",,1,
DI10005itkt,2849534,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49716,gnpis_pui:holding-921_taxon-4898_accession-49716,DI10005,VIRTUAL_TRIAL,,,,,,,,treated,2010,74,,,,145,,"10,34",,"80,5",,"93,7",,,,"104,5",,"1,5",
DI10002itkt,2849532,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48382,gnpis_pui:holding-921_taxon-4898_accession-48382,DI10002,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,150,,"9,96",,"76,5",,"95,3",,,,"106,2",,1,
DI10002itkfi,2849531,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48382,gnpis_pui:holding-921_taxon-4898_accession-48382,DI10002,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,91,,2,,150,,"10,63",,"75,2",,92,,1,,"93,8",,1,
CF09030itkfi,2849501,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48471,gnpis_pui:holding-921_taxon-4898_accession-48471,CF09030,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,9,,144,,"10,2",,"76,2",,"87,6",,"2,5",,"89,3",,1,
CF09030itkt,2849502,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48471,gnpis_pui:holding-921_taxon-4898_accession-48471,CF09030,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,,,144,,"10,12",,"79,2",,"100,7",,,,"112,3",,1,
