observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
AO12035itkt,2872169,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,49348,https://doi.org/10.15454/NFBGKG,AO12035,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,99,,149,,"78,8",,"95,6",,"98,1",
Pakitoitkt,2872153,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,91,,144,,"74,9",,"98,6",,"101,1",
Altigoitknt,2872166,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,3,,,,,,"69,8",,96,,"61,63",
Folkloritknt,2872128,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,3,,,,,,"73,9",,"150,5",,"96,68",
DI11014itknt,2872196,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,,,,,"70,8",,139,,"89,3",
Folkloritkt,2872129,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,102,,150,,"74,2",,"107,3",,"110,1",
Bermudeitknt,2872138,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,4,,,,,,"76,4",,"105,5",,"67,75",
DI11002itkt,2872163,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,105,,149,,"73,2",,"104,5",,"107,2",
AO11013itkt,2872125,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,100,,146,,"72,7",,"105,5",,"108,2",
RE10039itknt,2872144,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,5,,,,,,"70,5",,"140,9",,"90,49",
