observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2828577,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"14,58",,"75,84",,,,7,
1,2828586,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,82",,"61,79",,2,,"4,5",
2,2828589,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,72",,"78,02",,,,9,
1,2828588,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"14,81",,"65,57",,,,"8,5",
2,2828587,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,36",,"63,05",,2,,6,
2,2828489,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26898,https://doi.org/10.15454/JQW74U,RE05005,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,56",,"80,17",,,,1,
2,2828487,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26898,https://doi.org/10.15454/JQW74U,RE05005,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,67",,"57,55",,"5,2",,1,
1,2828488,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26898,https://doi.org/10.15454/JQW74U,RE05005,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,62",,"82,58",,,,1,
1,2828486,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26898,https://doi.org/10.15454/JQW74U,RE05005,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"13,2",,"58,7",,3,,1,
1,2828504,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26903,https://doi.org/10.15454/QRI3MM,RE05047,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"13,34",,"86,67",,,,1,
2,2828505,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26903,https://doi.org/10.15454/QRI3MM,RE05047,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"13,32",,"81,74",,,,"5,5",
1,2828502,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26903,https://doi.org/10.15454/QRI3MM,RE05047,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,56",,"69,16",,"2,5",,1,
2,2828503,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26903,https://doi.org/10.15454/QRI3MM,RE05047,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,93",,"74,37",,"3,5",,1,
2,2828621,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,74",,"80,18",,,,"3,5",
1,2828618,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,77",,"54,23",,4,,1,
2,2828619,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"13,24",,"49,91",,"7,5",,1,
1,2828620,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,94",,"77,85",,,,1,
1,2828544,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,59",,"76,57",,,,1,
