observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date
CF00113itkfi,2771192,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48890,gnpis_pui:holding-921_taxon-4898_accession-48890,CF00113,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"107,1",,,,86,,,
CF00117itknt,2771202,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,26049,https://doi.org/10.15454/NGVK7J,CF00117,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,105,,1,,"85,7",,2,
CF00113itknt,2771193,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48890,gnpis_pui:holding-921_taxon-4898_accession-48890,CF00113,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,"99,1",,1,,"80,9",,5,
CF00117itkfi,2771201,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,26049,https://doi.org/10.15454/NGVK7J,CF00117,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"110,5",,,,"88,7",,,
CF00113itkt,2771194,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48890,gnpis_pui:holding-921_taxon-4898_accession-48890,CF00113,VIRTUAL_TRIAL,,,,,,,,treated,2001,"98,3",,,,"108,2",,,
CF00013itkfi,2771216,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48641,gnpis_pui:holding-921_taxon-4898_accession-48641,CF00013,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"107,5",,,,"86,3",,,
CF00017itkt,2771209,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48962,gnpis_pui:holding-921_taxon-4898_accession-48962,CF00017,VIRTUAL_TRIAL,,,,,,,,treated,2001,"95,3",,,,"104,9",,,
CF00117itkt,2771203,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,26049,https://doi.org/10.15454/NGVK7J,CF00117,VIRTUAL_TRIAL,,,,,,,,treated,2001,"96,1",,,,"105,8",,,
CF00150itkt,2771245,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,49429,gnpis_pui:holding-921_taxon-4898_accession-49429,CF00150,VIRTUAL_TRIAL,,,,,,,,treated,2001,"92,5",,,,"101,9",,,
CF01001itknt,2771223,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48835,gnpis_pui:holding-921_taxon-4898_accession-48835,CF01001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,"81,4",,1,,"66,5",,9,
CF00010itkfi,2771213,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48350,https://doi.org/10.15454/YIXHGN,CF00010,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"101,6",,,,"81,6",,,
CF00150itkfi,2771243,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,49429,gnpis_pui:holding-921_taxon-4898_accession-49429,CF00150,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,93,,,,"74,6",,,
Farandoleitkfi,2771195,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"112,5",,,,"90,3",,,
Skerzzoitknt,2771253,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,"104,4",,1,,"85,2",,2,
CF00013itkt,2771218,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48641,gnpis_pui:holding-921_taxon-4898_accession-48641,CF00013,VIRTUAL_TRIAL,,,,,,,,treated,2001,"93,7",,,,"103,2",,,
Skerzzoitkfi,2771252,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,114,,,,"91,5",,,
Skerzzoitkt,2771254,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2001,"100,9",,,,"111,1",,,
CF00010itknt,2771214,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48350,https://doi.org/10.15454/YIXHGN,CF00010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,"95,7",,1,,"78,1",,1,
CF01001itkt,2771224,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48835,gnpis_pui:holding-921_taxon-4898_accession-48835,CF01001,VIRTUAL_TRIAL,,,,,,,,treated,2001,91,,,,"100,2",,,
CF01001itkfi,2771222,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,48835,gnpis_pui:holding-921_taxon-4898_accession-48835,CF01001,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"78,4",,,,"62,9",,,
CF99077itkt,2771176,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,26047,https://doi.org/10.15454/XORVCY,CF99077,VIRTUAL_TRIAL,,,,,,,,treated,2001,"89,2",,,,"98,2",,,
CF99077itknt,2771175,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,26047,https://doi.org/10.15454/XORVCY,CF99077,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,"104,3",,1,,"85,1",,1,
CF99077itkfi,2771174,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,26047,https://doi.org/10.15454/XORVCY,CF99077,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,"110,7",,,,"88,9",,,
CF00020itkt,2771149,BTH_Estrées-Mons_2001_SetB1,BTH_Estrées-Mons_2001_SetB1,49725,https://doi.org/10.15454/PNW0L6,CF00020,VIRTUAL_TRIAL,,,,,,,,treated,2001,"95,3",,,,105,,,
