observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pel(CO_321:1000223),pel(CO_321:1000223).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,volC(CO_321:1000235),volC(CO_321:1000235).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
RE00164itkt,2775249,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,48472,gnpis_pui:holding-921_taxon-4898_accession-48472,RE00164,VIRTUAL_TRIAL,,,,,,,,treated,2001,"17,8",,64,,127,,56,,183,,78,,"1,21",,168,,43,,357,,60,,"41,05",,"13,2",,"76,5",,40,,1503,,"3,29",,29,
Soissonsitkt,2775285,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,4",,102,,149,,80,,229,,77,,"0,75",,280,,40,,400,,172,,"36,2",,"10,8",,"78,5",,51,,1680,,"2,28",,30,
EM00302itkt,2775269,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26864,https://doi.org/10.15454/XVZVZD,EM00302,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,8",,79,,133,,70,,203,,60,,"0,76",,177,,20,,332,,140,,"40,4",,"12,5",,"78,5",,65,,1569,,"2,27",,30,
RE00160itkt,2775252,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26871,https://doi.org/10.15454/5JJD7K,RE00160,VIRTUAL_TRIAL,,,,,,,,treated,2001,"16,7",,56,,154,,71,,225,,56,,1,,148,,10,,352,,138,,"38,85",,"12,2",,79,,52,,1632,,"2,67",,37,
EM99006itkt,2775263,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,treated,2001,"23,4",,111,,154,,78,,232,,79,,"0,71",,316,,38,,424,,196,,"46,7",,"12,1",,"80,5",,58,,1672,,"3,17",,32,
DI01021itkt,2775246,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,49218,gnpis_pui:holding-921_taxon-4898_accession-49218,DI01021,VIRTUAL_TRIAL,,,,,,,,treated,2001,19,,73,,137,,67,,204,,69,,"0,94",,180,,4,,320,,69,,"40,1",,"11,1",,"77,5",,41,,1541,,"3,35",,25,
DI01032itkt,2775274,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,49224,gnpis_pui:holding-921_taxon-4898_accession-49224,DI01032,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,5",,103,,144,,74,,218,,62,,"0,6",,238,,22,,365,,116,,"49,35",,"12,3",,"79,5",,51,,1612,,"3,38",,29,
EM00074itkt,2775278,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,9",,72,,155,,73,,228,,77,,"1,06",,215,,53,,373,,217,,"40,85",,"11,9",,80,,53,,1667,,"2,63",,30,
EM00015itkt,2775277,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,48653,gnpis_pui:holding-921_taxon-4898_accession-48653,EM00015,VIRTUAL_TRIAL,,,,,,,,treated,2001,"17,3",,60,,165,,75,,240,,94,,"1,55",,224,,47,,429,,212,,"37,95",,"12,7",,"77,5",,64,,1782,,"2,68",,42,
DI01004itkt,2775243,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,49003,gnpis_pui:holding-921_taxon-4898_accession-49003,DI01004,VIRTUAL_TRIAL,,,,,,,,treated,2001,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM00107itkt,2775262,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,8",,71,,150,,69,,219,,77,,"1,08",,207,,37,,419,,172,,"40,3",,"10,8",,79,,51,,1604,,"3,36",,30,
EM00301itkt,2775270,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,48481,gnpis_pui:holding-921_taxon-4898_accession-48481,EM00301,VIRTUAL_TRIAL,,,,,,,,treated,2001,"16,2",,54,,142,,75,,217,,98,,"1,83",,229,,50,,416,,241,,"36,75",,"12,2",,77,,52,,1624,,"2,69",,42,
RE00113itkt,2775286,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,49700,gnpis_pui:holding-921_taxon-4898_accession-49700,RE00113,VIRTUAL_TRIAL,,,,,,,,treated,2001,"16,5",,56,,129,,66,,195,,76,,"1,37",,187,,19,,401,,163,,"42,35",,"11,3",,"77,5",,58,,1455,,"2,41",,30,
CF99075itkt,2775254,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,48935,https://doi.org/10.15454/KCTYDW,CF99075,VIRTUAL_TRIAL,,,,,,,,treated,2001,"23,4",,111,,157,,70,,227,,48,,"0,43",,193,,14,,298,,148,,"41,85",,"11,4",,"78,5",,51,,1687,,"2,27",,30,
