observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI04017itkt,2819529,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,"87,5",,1,,131,,"12,48",,"68,2",,"90,1",,"1,5",,"69,4",,1,,"3,5",,"8,5",
EM04145itkt,2819514,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,80,,1,,131,,"11,56",,"73,4",,"110,8",,"2,5",,"85,3",,1,,4,,"3,5",
RE03111itkfi,2819566,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,"77,5",,,,131,,"13,44",,"60,3",,81,,3,,"47,9",,1,,,,4,
Hendrixitkt,2819487,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,"97,5",,1,,"130,5",,"13,58",,"73,6",,"88,3",,1,,68,,1,,"2,5",,4,
Hendrixitkfi,2819485,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,"97,5",,,,131,,"12,11",,75,,"111,1",,"1,5",,"65,7",,1,,,,"3,5",
Caphornitkfi,2819533,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,80,,,,"127,5",,"13,08",,"67,2",,"115,4",,"1,5",,"68,3",,1,,,,4,
RE03111itkt,2819568,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,80,,1,,131,,"12,03",,"68,6",,"95,6",,1,,"73,7",,1,,4,,5,
RE05091itknt,2819516,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27043,https://doi.org/10.15454/QCLAYU,RE05091,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,80,,,,126,,"10,83",,"70,2",,"99,7",,8,,"56,7",,1,,1,,"3,5",
DI04018itknt,2819510,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,"82,5",,,,"130,5",,"12,62",,71,,"101,7",,6,,"57,8",,1,,6,,"4,5",
RE03111itknt,2819567,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,75,,,,131,,"12,2",,"66,4",,"90,1",,"7,5",,"51,2",,1,,"6,5",,3,
CF04076itknt,2819489,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,90,,,,131,,"10,9",,"70,6",,"92,1",,5,,"52,3",,1,,6,,4,
RE05091itkt,2819517,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27043,https://doi.org/10.15454/QCLAYU,RE05091,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,"82,5",,1,,128,,"12,04",,"70,2",,"100,1",,2,,"77,1",,1,,4,,5,
CF04076itkfi,2819488,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,95,,,,131,,"12,1",,"66,8",,"79,5",,6,,"47,1",,1,,,,"4,5",
RE05091itkfi,2819515,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27043,https://doi.org/10.15454/QCLAYU,RE05091,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,85,,,,"127,5",,"11,52",,"66,2",,"103,2",,"6,5",,"61,1",,1,,,,5,
DI04018itkt,2819511,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,traité,2007,,,"87,5",,1,,131,,"13,1",,"72,3",,"84,8",,1,,"65,3",,1,,4,,"6,5",
EM04145itknt,2819513,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,"77,5",,,,131,,"11,5",,"74,2",,"112,6",,6,,64,,4,,"4,5",,"2,5",
DI04018itkfi,2819509,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,85,,,,131,,"13,26",,"64,6",,"84,4",,"5,5",,"49,9",,1,,,,"6,5",
Apacheitknt,2819522,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,1,,"82,5",,,,125,,"12,16",,"73,2",,"100,1",,"8,5",,"56,9",,1,,1,,"2,5",
Apacheitkfi,2819521,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,"92,5",,,,125,,"12,07",,"70,4",,"97,9",,8,,58,,1,,,,2,
DI04024itkfi,2819569,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,"87,5",,,,"130,5",,"12,27",,"67,2",,"100,3",,6,,"59,4",,1,,,,3,
EM04145itkfi,2819512,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,1,,"87,5",,,,"129,5",,"11,63",,"68,4",,106,,"4,5",,"62,7",,2,,,,3,
