observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO13017itkfi,2877728,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,60866,https://doi.org/10.15454/85C3HD,AO13017,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,76,,156,,"10,1",,"72,9",,"101,9",,85,,5,,1,
AO13017itkt,2877729,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,60866,https://doi.org/10.15454/85C3HD,AO13017,VIRTUAL_TRIAL,,,,,,,,treated,2013,75,,156,,"11,1",,"78,5",,"97,6",,"104,4",,,,1,
AO13016itkfi,2877726,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,60850,https://doi.org/10.15454/R4ROYJ,AO13016,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,156,,"9,3",,"71,4",,"99,4",,"82,9",,"5,8",,1,
AO13020itkfi,2877686,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,60930,https://doi.org/10.15454/3Q1S0Q,AO13020,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,155,,"10,9",,"79,5",,"103,9",,"86,7",,"4,2",,1,
AO13020itkt,2877687,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,60930,https://doi.org/10.15454/3Q1S0Q,AO13020,VIRTUAL_TRIAL,,,,,,,,treated,2013,94,,156,,"11,2",,"79,9",,"96,3",,103,,,,1,
AO13019itkfi,2877732,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,60913,https://doi.org/10.15454/GQZLI1,AO13019,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,152,,"11,2",,"71,3",,"99,6",,"83,1",,"5,2",,1,
AO13019itkt,2877733,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,60913,https://doi.org/10.15454/GQZLI1,AO13019,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,154,,"11,6",,"79,8",,"96,3",,103,,,,1,
AO13024itkfi,2877680,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,60990,https://doi.org/10.15454/SCWN6J,AO13024,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,78,,156,,"10,6",,"70,7",,"108,3",,"90,3",,"3,2",,1,
AO13024itkt,2877681,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,60990,https://doi.org/10.15454/SCWN6J,AO13024,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,156,,"11,1",,"78,3",,"97,2",,"103,9",,,,1,
AO13022itkfi,2877690,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,81,,154,,"10,7",,"73,3",,"105,7",,"88,2",,"6,8",,1,
AO13022itkt,2877691,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,155,,"10,8",,"79,5",,"108,2",,"115,7",,,,1,
AO13023itkt,2877689,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,60976,https://doi.org/10.15454/MDP0B7,AO13023,VIRTUAL_TRIAL,,,,,,,,treated,2013,81,,154,,"11,6",,"78,6",,"93,1",,"99,6",,,,1,
AO13023itkfi,2877688,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,60976,https://doi.org/10.15454/MDP0B7,AO13023,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,153,,"11,5",,"74,8",,"103,9",,"86,7",,"3,8",,1,
AO13021itkfi,2877684,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,60946,https://doi.org/10.15454/N0K6T3,AO13021,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,89,,154,,"11,6",,"77,6",,"99,7",,"83,2",,"3,5",,1,
AO13021itkt,2877685,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,60946,https://doi.org/10.15454/N0K6T3,AO13021,VIRTUAL_TRIAL,,,,,,,,treated,2013,92,,154,,"12,3",,"80,3",,"92,8",,"99,2",,,,1,
Altigoitkfi,2877714,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,81,,152,,"10,4",,"71,7",,"105,2",,"87,7",,"5,2",,1,
Altigoitkt,2877715,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2013,83,,153,,"11,6",,"77,1",,"99,2",,"106,1",,,,1,
Bermudeitkfi,2877676,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,154,,10,,"70,6",,"106,8",,"89,1",,"6,5",,1,
Bermudeitkt,2877677,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,156,,"11,1",,"72,7",,"106,5",,"113,9",,,,1,
