observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2821509,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,"66,7",,"77,2",
2,2821507,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"47,69",,"10,25",,"69,5",,"75,99",
1,2821506,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"48,46",,"9,96",,"69,8",,"74,43",
2,2821401,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26971,https://doi.org/10.15454/IAEYHC,EM05162,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,"66,6",,"80,94",
1,2821510,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"48,93",,"11,98",,"69,3",,"97,54",
1,2821508,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,,,"66,7",,"71,18",
1,2821400,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26971,https://doi.org/10.15454/IAEYHC,EM05162,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,,,"70,2",,"73,33",
1,2821582,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26977,https://doi.org/10.15454/RGT6YF,DI06007,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"41,49",,"11,77",,"71,3",,"99,11",
2,2821511,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"51,19",,"11,09",,"68,7",,"103,98",
2,2821415,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"49,18",,"11,9",,"67,5",,"113,69",
1,2821412,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,,,67,,"86,82",
1,2821428,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26903,https://doi.org/10.15454/QRI3MM,RE05047,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"52,17",,"9,69",,72,,"78,06",
2,2821411,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"48,54",,"8,8",,"69,3",,"86,08",
2,2821431,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26903,https://doi.org/10.15454/QRI3MM,RE05047,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,"70,9",,"87,52",
