observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2765541,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49070,gnpis_pui:holding-921_taxon-4898_accession-49070,CF99087,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"103,9",
2,2765542,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49070,gnpis_pui:holding-921_taxon-4898_accession-49070,CF99087,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"92,6",
1,2765525,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49192,gnpis_pui:holding-921_taxon-4898_accession-49192,CF99106,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"117,3",
2,2765524,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49192,gnpis_pui:holding-921_taxon-4898_accession-49192,CF99106,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"75,7",
2,2765526,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49192,gnpis_pui:holding-921_taxon-4898_accession-49192,CF99106,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"109,4",
1,2765523,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49192,gnpis_pui:holding-921_taxon-4898_accession-49192,CF99106,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"72,7",
1,2765487,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48991,gnpis_pui:holding-921_taxon-4898_accession-48991,DI00018,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,NA,
2,2765488,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48991,gnpis_pui:holding-921_taxon-4898_accession-48991,DI00018,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"86,4",
2,2765490,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48991,gnpis_pui:holding-921_taxon-4898_accession-48991,DI00018,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"104,7",
1,2765489,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48991,gnpis_pui:holding-921_taxon-4898_accession-48991,DI00018,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"115,2",
2,2765522,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48998,gnpis_pui:holding-921_taxon-4898_accession-48998,DI00015,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"89,5",
2,2765520,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48998,gnpis_pui:holding-921_taxon-4898_accession-48998,DI00015,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"65,8",
1,2765519,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48998,gnpis_pui:holding-921_taxon-4898_accession-48998,DI00015,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"65,1",
1,2765521,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48998,gnpis_pui:holding-921_taxon-4898_accession-48998,DI00015,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"112,7",
1,2765481,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48448,gnpis_pui:holding-921_taxon-4898_accession-48448,EM00011,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"95,4",
1,2765479,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48448,gnpis_pui:holding-921_taxon-4898_accession-48448,EM00011,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,79,
2,2765480,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48448,gnpis_pui:holding-921_taxon-4898_accession-48448,EM00011,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,77,
