,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L8,L10,L12,W8,W10,W12,Check,L9,L11,L13,W9,W11,W13,L14,W14,L15,W15
32,402410,3360367,Mur13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402410.0,,12.0,15.0,"REPLICATE>BLOCK>PLOT:402410,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2358.8518212174,238.1366674479,"59,2242133829","63,401277574",5.6172911171,238,NA,125,"-4,17706419110",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,400753,3361050,Mur13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,400753.0,,8.0,16.0,"REPLICATE>BLOCK>PLOT:400753,REPLICATE>BLOCK:32,REPLICATE:1",watered,3022.0731155311,267.2649184975,"61,9461105814","63,401277574",8.0769412492,263,NA,133,"-1,45516699260",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,402236,3360173,Mur13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402236.0,,6.0,27.0,"REPLICATE>BLOCK>PLOT:402236,REPLICATE>BLOCK:6,REPLICATE:3",rainfed,2532.9710760174,258.3444838176,"57,7285289574","60,5685845381",6.5437910516,263,NA,133,"-2,84005558070",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,402487,3360452,Mur13,127653,https://doi.org/10.15454/CHTSUF,NS501_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402487.0,,15.0,9.0,"REPLICATE>BLOCK>PLOT:402487,REPLICATE>BLOCK:15,REPLICATE:1",rainfed,2495.2675959387,254.8496,"60,5685845381","63,401277574",6.3591794872,245,NA,133,"-2,83269303590",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,402739,3360732,Mur13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402739.0,,24.0,10.0,"REPLICATE>BLOCK>PLOT:402739,REPLICATE>BLOCK:24,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2002.3652099124,271.424588704,"60,5685845381","66,243252045",5.4349115354,240,NA,153,"-5,67466750690",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,400614,3360879,Mur13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,400614.0,,1.0,14.0,"REPLICATE>BLOCK>PLOT:400614,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",watered,2143.8509810603,250.6128986534,"60,5685845381","67,7330179755",5.3727670864,240,NA,122,"-7,16443343740",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,402428,3360387,Mur13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402428.0,,13.0,4.0,"REPLICATE>BLOCK>PLOT:402428,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,1971.2290839051,242.8768,"66,243252045","63,401277574",4.7876581197,233,NA,133,"2,84197447100",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,400955,3361269,Mur13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,400955.0,,17.0,19.0,"REPLICATE>BLOCK>PLOT:400955,REPLICATE>BLOCK:29,REPLICATE:2",watered,2283.1050228311,243.8862521008,"59,2242133829","63,401277574",5.5681792717,238,NA,130,"-4,17706419110",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,402282,3360225,Mur13,127654,https://doi.org/10.15454/UHHPBO,Pa35_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402282.0,,7.0,20.0,"REPLICATE>BLOCK>PLOT:402282,REPLICATE>BLOCK:7,REPLICATE:3",rainfed,1953.1823655535,248.9345854004,"57,7285289574","66,243252045",4.8621464238,223,NA,125,"-8,51472308760",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,402225,3360161,Mur13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402225.0,,5.0,17.0,"REPLICATE>BLOCK>PLOT:402225,REPLICATE>BLOCK:5,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2074.5166376234,263.7427607218,"60,5685845381","64,8642032369",5.4713874517,220,NA,123,"-4,29561869880",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,400608,3360872,Mur13,127655,https://doi.org/10.15454/TXE8L9,PP147_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,400608.0,,1.0,8.0,"REPLICATE>BLOCK>PLOT:400608,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",watered,2241.3483951946,238.1238837704,"63,401277574","66,243252045",5.3371858475,243,NA,120,"-2,84197447100",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
