,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L9,L10,L11,L12,L13,W9,W10,W11,W12,W13,L14,W14,L8,W8
361,YCXGDTM1051022,3355825,Gra13,127440,https://doi.org/10.15454/VUPKKL,LH74_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1051022,,51.0,22.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1051022,REPLICATE>BLOCK:21,REPLICATE:3",rainfed,2116.0357032933,255.1420588235,"67,8477662825","72,2486439239",5.3988970588,160,200,80,"-4,40087764140",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
362,YCXGDTM1059037,3355822,Gra13,127440,https://doi.org/10.15454/VUPKKL,LH74_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1059037,,59.0,37.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1059037,REPLICATE>BLOCK:1,REPLICATE:1",watered,3297.6092333059,285.055,NA,NA,9.4,260,310,115,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
363,YCXGDTM1090043,3355823,Gra13,127440,https://doi.org/10.15454/VUPKKL,LH74_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1090043,,90.0,43.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1090043,REPLICATE>BLOCK:10,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,3766.851704996,299.6729411765,NA,NA,11.2882352941,290,340,165,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
364,3041water_regimewatered,3338087,Gra13,127440,https://doi.org/10.15454/VUPKKL,LH74_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,watered,309.5225709867,69.1290229424,,275.0095615278,3603.2874488908,326.9677853596,143.4633678332,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
365,3041water_regimerainfed,3337841,Gra13,127440,https://doi.org/10.15454/VUPKKL,LH74_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,273.6645210009,67.8242963663,72.3952391064,166.5320777845,2396.450065889,203.7382172095,77.5104998593,,,2013,16.0915019763,15.3195745921,13.3636975013,299.344,440.351,1303.077,-228.0737179487,-48.8523391813,37.9996570513,37.6863912445,33.5952721031,,,,,,,,,,,,,,,
366,YCXGDTM1091032,3355835,Gra13,127441,https://doi.org/10.15454/DB5QJS,HMV5405_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1091032,,91.0,32.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1091032,REPLICATE>BLOCK:66,REPLICATE:5",rainfed,2937.6270325203,311.4070588235,"66,4276631668","69,2512954927",9.1479779412,175,220,90,"-2,82363232590",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
367,YCXGDTM1077021,3355833,Gra13,127441,https://doi.org/10.15454/DB5QJS,HMV5405_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1077021,,77.0,21.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1077021,REPLICATE>BLOCK:17,REPLICATE:4",rainfed,2650.3469545104,304.0320588235,"66,4276631668","70,752276834",8.0579044118,190,220,90,"-4,32461366720",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
368,YCXGDTM1046027,3355831,Gra13,127441,https://doi.org/10.15454/DB5QJS,HMV5405_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1046027,,46.0,27.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1046027,REPLICATE>BLOCK:43,REPLICATE:3",rainfed,3008.1925243216,305.5870588235,"63,6921554831","67,8477662825",9.1926470588,200,240,110,"-4,15561079940",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
369,YCXGDTM1084039,3355830,Gra13,127441,https://doi.org/10.15454/DB5QJS,HMV5405_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1084039,,84.0,39.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1084039,REPLICATE>BLOCK:4,REPLICATE:2",watered,4220.5459770115,274.3058823529,NA,NA,11.5772058824,290,320,115,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
370,YCXGDTM1068040,3355829,Gra13,127441,https://doi.org/10.15454/DB5QJS,HMV5405_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1068040,,68.0,40.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1068040,REPLICATE>BLOCK:6,REPLICATE:1",watered,3349.358974359,308.1764705882,NA,NA,10.3219362745,265,310,120,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
371,3042water_regimewatered,3338088,Gra13,127441,https://doi.org/10.15454/DB5QJS,HMV5405_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,watered,319.2368881113,68.4198416969,,286.6613965303,3884.2574844155,323.5052659342,133.274887073,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
372,3042water_regimerainfed,3337842,Gra13,127441,https://doi.org/10.15454/DB5QJS,HMV5405_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,327.3486961058,65.367354295,69.5779099324,187.0078506559,2848.7427240177,224.4423324358,96.2225911625,,,2013,15.9918949495,15.2057671958,13.4102487374,383.517,410.825,1378.713,-226.0476190476,-55.2138888889,38.0752179962,37.4769867019,33.6593404802,,,,,,,,,,,,,,,
373,YCXGDTM1091022,3355842,Gra13,127442,https://doi.org/10.15454/RPM9FH,F924_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1091022,,91.0,22.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1091022,REPLICATE>BLOCK:20,REPLICATE:5",rainfed,3132.0724215972,249.2594117647,"63,6921554831","67,8477662825",7.8069852941,195,235,90,"-4,15561079940",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
374,YCXGDTM1072026,3355841,Gra13,127442,https://doi.org/10.15454/RPM9FH,F924_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1072026,,72.0,26.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1072026,REPLICATE>BLOCK:39,REPLICATE:4",rainfed,2796.1562696912,254.5423529412,"69,2512954927","73,5986808046",7.1174019608,170,210,70,"-4,34738531190",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
375,YCXGDTM1049028,3355839,Gra13,127442,https://doi.org/10.15454/RPM9FH,F924_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1049028,,49.0,28.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1049028,REPLICATE>BLOCK:48,REPLICATE:3",rainfed,3272.6692209451,248.4105882353,"67,8477662825","72,2486439239",8.1296568627,195,230,90,"-4,40087764140",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
376,YCXGDTM1100050,3355838,Gra13,127442,https://doi.org/10.15454/RPM9FH,F924_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1100050,,100.0,50.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1100050,REPLICATE>BLOCK:22,REPLICATE:2",watered,4252.7548209366,287.9088235294,NA,NA,12.2440563725,270,320,130,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
377,YCXGDTM1058047,3355837,Gra13,127442,https://doi.org/10.15454/RPM9FH,F924_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1058047,,58.0,47.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1058047,REPLICATE>BLOCK:16,REPLICATE:1",watered,4095.0040950041,286.935,NA,NA,11.75,285,330,125,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
378,3043water_regimewatered,3338089,Gra13,127442,https://doi.org/10.15454/RPM9FH,F924_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,watered,300.1421115966,68.4148530587,,274.7002852549,4258.5976773503,320.4300166135,121.8759033708,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
379,3043water_regimerainfed,3337843,Gra13,127442,https://doi.org/10.15454/RPM9FH,F924_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,264.191237619,67.0374544962,71.2497373535,190.2698870657,3105.3203118113,227.1717761724,84.9368634185,,,2013,15.9918949495,15.2680050505,13.4251854754,383.517,410.512,1332.916,-226.6363636364,-52.1307471264,38.0752179962,37.4506871171,33.6852054589,,,,,,,,,,,,,,,
380,YCXGDTM1059027,3355845,Gra13,127443,https://doi.org/10.15454/BNROZU,EZ40_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1059027,,59.0,27.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1059027,REPLICATE>BLOCK:45,REPLICATE:3,REPLICATE:4,REPLICATE:5",rainfed,2704.1438147471,250.0111764706,"74,9225179234","78,4192045197",6.7606617647,200,240,110,"-3,49668659630",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
381,YCXGDTM1104031,3355848,Gra13,127443,https://doi.org/10.15454/BNROZU,EZ40_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1104031,,104.0,31.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1104031,REPLICATE>BLOCK:64,REPLICATE:5",rainfed,2306.4125831821,254.4323529412,"73,5986808046","77,2509816604",5.8682598039,160,205,85,"-3,65230085580",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
382,YCXGDTM1083039,3355844,Gra13,127443,https://doi.org/10.15454/BNROZU,EZ40_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1083039,,83.0,39.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1083039,REPLICATE>BLOCK:4,REPLICATE:2",watered,3529.2288557214,305.4411764706,NA,NA,10.7797181373,275,320,125,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
383,YCXGDTM1077018,3355846,Gra13,127443,https://doi.org/10.15454/BNROZU,EZ40_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1077018,,77.0,18.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1077018,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",rainfed,2426.4482863209,258.265,"78,4192045197","81,8903368318",6.2666666667,190,230,110,"-3,47113231210",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
384,YCXGDTM1070038,3355843,Gra13,127443,https://doi.org/10.15454/BNROZU,EZ40_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1070038,,70.0,38.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1070038,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,4170.6198608476,236.84,NA,NA,9.8776960784,275,310,120,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
385,3044water_regimewatered,3338090,Gra13,127443,https://doi.org/10.15454/BNROZU,EZ40_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,watered,294.9346428652,68.8023139537,,283.4227250545,3852.8865310071,326.6785754958,135.5490848404,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
386,3044water_regimerainfed,3337844,Gra13,127443,https://doi.org/10.15454/BNROZU,EZ40_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,275.1910139068,75.5155051774,78.617534221,186.2902454217,2505.1315918754,238.2033047082,104.5809469978,,,2013,16.0514949495,15.1171734007,13.1355345912,356.888,443.492,1157.636,-207.7166666667,-39.9874213836,38.0746976074,37.270368257,33.0610622383,,,,,,,,,,,,,,,
387,YCXGDTM1088030,3355855,Gra13,127444,https://doi.org/10.15454/UX5L2C,W23_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1088030,,88.0,30.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1088030,REPLICATE>BLOCK:56,REPLICATE:5",rainfed,2028.3975659229,231.71,"66,4276631668","70,752276834",4.7,170,205,90,"-4,32461366720",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
388,YCXGDTM1066025,3355854,Gra13,127444,https://doi.org/10.15454/UX5L2C,W23_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1066025,,66.0,25.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1066025,REPLICATE>BLOCK:33,REPLICATE:4",rainfed,2380.9523809524,239.1220588235,"70,752276834","73,5986808046",5.6933823529,170,220,85,"-2,84640397060",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
389,YCXGDTM1052019,3355853,Gra13,127444,https://doi.org/10.15454/UX5L2C,W23_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1052019,,52.0,19.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1052019,REPLICATE>BLOCK:7,REPLICATE:3",rainfed,2392.051030422,239.465,"72,2486439239","76,1315900235",5.728125,175,210,95,"-3,88294609960",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
390,YCXGDTM1074041,3355850,Gra13,127444,https://doi.org/10.15454/UX5L2C,W23_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1074041,,74.0,41.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1074041,REPLICATE>BLOCK:8,REPLICATE:1",watered,3364.3892339545,232.6923529412,NA,NA,7.8286764706,280,330,140,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
391,YCXGDTM1089038,3355851,Gra13,127444,https://doi.org/10.15454/UX5L2C,W23_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1089038,,89.0,38.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1089038,REPLICATE>BLOCK:3,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2740.6857896472,243.5320588235,NA,NA,6.6744485294,270,330,120,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
392,3045water_regimewatered,3338091,Gra13,127444,https://doi.org/10.15454/UX5L2C,W23_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,watered,245.1718769961,67.6147250843,,277.4067995128,3296.8933243667,335.7192723855,132.5392346074,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
393,3045water_regimerainfed,3337845,Gra13,127444,https://doi.org/10.15454/UX5L2C,W23_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,253.1247990452,70.0224628808,73.6472585302,185.6238272466,2199.7411711657,228.4687986823,91.1697243815,,,2013,16.2928853755,15.2616405434,13.2473032961,254.335,412.087,1289.194,-227.6149425287,-45.8567251462,38.2689626735,37.6205742442,33.4398591744,,,,,,,,,,,,,,,
394,YCXGDTM1101051,3355858,Gra13,127445,https://doi.org/10.15454/HWCPGC,Mo17_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1101051,,101.0,51.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1101051,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,2336.1722261651,334.0158823529,NA,NA,7.8031862745,305,360,160,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
395,YCXGDTM1090018,3355863,Gra13,127445,https://doi.org/10.15454/HWCPGC,Mo17_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1090018,,90.0,18.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1090018,REPLICATE>BLOCK:1,REPLICATE:5",rainfed,1763.4207240949,314.9029411765,"80,7396547498","83,0619790019",5.5530637255,195,240,110,"-2,32232425210",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
396,YCXGDTM1086023,3355861,Gra13,127445,https://doi.org/10.15454/HWCPGC,Mo17_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1086023,,86.0,23.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1086023,REPLICATE>BLOCK:28,REPLICATE:4",rainfed,1508.6791429346,292.4297058824,"70,752276834","74,9225179234",4.4118259804,180,230,95,"-4,17024108940",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
397,YCXGDTM1047030,3355859,Gra13,127445,https://doi.org/10.15454/HWCPGC,Mo17_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1047030,,47.0,30.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1047030,REPLICATE>BLOCK:57,REPLICATE:3",rainfed,1501.5015015015,312.2364705882,"70,752276834","74,9225179234",4.6882352941,225,255,120,"-4,17024108940",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
398,YCXGDTM1066047,3355857,Gra13,127445,https://doi.org/10.15454/HWCPGC,Mo17_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1066047,,66.0,47.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1066047,REPLICATE>BLOCK:16,REPLICATE:1",watered,3277.658045977,320.9788235294,NA,NA,10.5205882353,290,345,120,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
399,3046water_regimewatered,3338092,Gra13,127445,https://doi.org/10.15454/HWCPGC,Mo17_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,watered,354.2239283009,71.5996760623,,294.891780614,2734.7441650835,351.1084420711,136.4152814736,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
400,3046water_regimerainfed,3337846,Gra13,127445,https://doi.org/10.15454/HWCPGC,Mo17_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,325.3185060557,74.0774955038,77.6587139176,199.6196128211,1567.4052224161,237.5901149126,107.9564578743,,,2013,16.0841477273,15.2195845552,13.1624857061,302.323,447.008,1175.249,-213.4838709677,-40.5047169811,38.0538344768,37.4420399977,33.2640294088,,,,,,,,,,,,,,,
401,YCXGDTM1092051,3355866,Gra13,127446,https://doi.org/10.15454/ALXSGY,W9_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1092051,,92.0,51.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1092051,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:4,REPLICATE:5",watered,3440.1709401709,237.1544117647,NA,NA,8.1585171569,300,325,155,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
402,YCXGDTM1098031,3355871,Gra13,127446,https://doi.org/10.15454/ALXSGY,W9_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1098031,,98.0,31.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1098031,REPLICATE>BLOCK:62,REPLICATE:5",rainfed,2498.3481995375,243.9405882353,"69,2512954927","73,5986808046",6.0944852941,130,210,70,"-4,34738531190",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
403,YCXGDTM1069018,3355869,Gra13,127446,https://doi.org/10.15454/ALXSGY,W9_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1069018,,69.0,18.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1069018,REPLICATE>BLOCK:1,REPLICATE:4",rainfed,2163.6331192006,228.83,"67,8477662825","72,2486439239",4.9510416667,170,215,90,"-4,40087764140",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
404,YCXGDTM1061023,3355867,Gra13,127446,https://doi.org/10.15454/ALXSGY,W9_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1061023,,61.0,23.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1061023,REPLICATE>BLOCK:27,REPLICATE:3",rainfed,2882.0072332731,257.6329411765,"63,6921554831","67,8477662825",7.425,195,240,110,"-4,15561079940",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
405,YCXGDTM1073037,3355865,Gra13,127446,https://doi.org/10.15454/ALXSGY,W9_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1073037,,73.0,37.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1073037,REPLICATE>BLOCK:2,REPLICATE:1",watered,3215.4340836013,215.6876470588,NA,NA,6.9352941176,260,310,90,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
406,3047water_regimewatered,3338093,Gra13,127446,https://doi.org/10.15454/ALXSGY,W9_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,watered,230.0247679146,64.6639640025,,281.0586750275,3293.1438109839,320.577275152,124.2241369687,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
407,3047water_regimerainfed,3337847,Gra13,127446,https://doi.org/10.15454/ALXSGY,W9_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,255.8997508266,67.0103409569,71.2558731026,165.5698321273,2561.7074900868,223.6921201496,94.6788502802,,,2013,16.0841477273,15.2551575758,13.4251854754,302.323,410.512,1332.916,-227.6366666667,-52.1307471264,38.0538344768,37.6413906247,33.6852054589,,,,,,,,,,,,,,,
408,YCXGDTM1103028,3355878,Gra13,127447,https://doi.org/10.15454/X1FWVP,EZ34_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1103028,,103.0,28.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1103028,REPLICATE>BLOCK:50,REPLICATE:5",rainfed,2367.8113927501,290.2826470588,"70,752276834","74,9225179234",6.8733455882,170,205,70,"-4,17024108940",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
409,YCXGDTM1076024,3355876,Gra13,127447,https://doi.org/10.15454/X1FWVP,EZ34_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1076024,,76.0,24.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1076024,REPLICATE>BLOCK:30,REPLICATE:4",rainfed,2410.0672877847,300.7858823529,"72,2486439239","76,1315900235",7.2491421569,170,210,70,"-3,88294609960",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
410,YCXGDTM1044021,3355874,Gra13,127447,https://doi.org/10.15454/X1FWVP,EZ34_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1044021,,44.0,21.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1044021,REPLICATE>BLOCK:15,REPLICATE:3",rainfed,1970.0551615445,292.9897058824,"67,8477662825","72,2486439239",5.7720588235,190,230,75,"-4,40087764140",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
411,YCXGDTM1099040,3355873,Gra13,127447,https://doi.org/10.15454/X1FWVP,EZ34_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1099040,,99.0,40.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1099040,REPLICATE>BLOCK:6,REPLICATE:2",watered,3352.8918692372,283.1620588235,NA,NA,9.4941176471,290,340,115,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
412,YCXGDTM1068039,3355872,Gra13,127447,https://doi.org/10.15454/X1FWVP,EZ34_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1068039,,68.0,39.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1068039,REPLICATE>BLOCK:4,REPLICATE:1",watered,2832.6023391813,321.48,NA,NA,9.10625,235,280,110,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
413,YCXGDTM1098028,3355885,Gra13,127448,https://doi.org/10.15454/FVQLLZ,F7025_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1098028,,98.0,28.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1098028,REPLICATE>BLOCK:49,REPLICATE:5",rainfed,1966.7832167832,276.5788235294,"70,752276834","74,9225179234",5.4397058824,160,205,80,"-4,17024108940",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
414,YCXGDTM1073024,3355884,Gra13,127448,https://doi.org/10.15454/FVQLLZ,F7025_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1073024,,73.0,24.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1073024,REPLICATE>BLOCK:30,REPLICATE:4",rainfed,2068.9407023604,277.5794117647,"70,752276834","73,5986808046",5.7429534314,170,220,60,"-2,84640397060",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
415,YCXGDTM1052021,3355882,Gra13,127448,https://doi.org/10.15454/FVQLLZ,F7025_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1052021,,52.0,21.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1052021,REPLICATE>BLOCK:16,REPLICATE:3",rainfed,2178.8683293108,289.9114705882,"69,2512954927","73,5986808046",6.3167892157,190,240,95,"-4,34738531190",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
416,YCXGDTM1102037,3355881,Gra13,127448,https://doi.org/10.15454/FVQLLZ,F7025_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1102037,,102.0,37.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1102037,REPLICATE>BLOCK:2,REPLICATE:2",watered,3478.1678082192,278.6023529412,NA,NA,9.6902573529,300,350,145,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
417,YCXGDTM1064042,3355880,Gra13,127448,https://doi.org/10.15454/FVQLLZ,F7025_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1064042,,64.0,42.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1064042,REPLICATE>BLOCK:9,REPLICATE:1",watered,3404.1394335512,289.08,NA,NA,9.8406862745,300,360,145,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
418,3049water_regimewatered,3338094,Gra13,127448,https://doi.org/10.15454/FVQLLZ,F7025_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,watered,302.9823564303,67.1638467159,,296.4222032498,3546.1938410597,356.1651123788,146.2305556239,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
419,3049water_regimerainfed,3337848,Gra13,127448,https://doi.org/10.15454/FVQLLZ,F7025_H,Biogemma Graneros 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,297.0755202881,70.2118056743,73.8138440113,184.6335013628,2207.1159280857,228.5326176618,82.5154614012,,,2013,16.1778063241,15.3214054336,13.2663443526,275.159,441.119,1244.274,-224.9885057471,-43.9454545455,38.0754898213,37.6773598655,33.4488910488,,,,,,,,,,,,,,,
420,YCXGDTM1101032,3355892,Gra13,127449,https://doi.org/10.15454/X6F0EB,CO109_H,Biogemma Graneros 2013,REPLICATE>BLOCK>PLOT,,,YCXGDTM1101032,,101.0,32.0,"REPLICATE>BLOCK>PLOT:YCXGDTM1101032,REPLICATE>BLOCK:68,REPLICATE:5",rainfed,2143.188137164,267.2111764706,"63,6921554831","69,2512954927",5.7268382353,150,185,70,"-5,55914000960",2013,,,,,,,,,,,,,,,,,,,,,,,,,,
