,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L11,L13,W11,W13,Check
33,WD3089,3351416,Deb12,127401,https://doi.org/10.15454/AQWE02,PH207_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD3089,,41.0,5.0,"REPLICATE>BLOCK>PLOT:WD3089,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,1821.4567150737,306.1635294118,"63,4177441029","65,7698661507",5.5766361656,194,243,115,"-2,35212204780",2012,,,,,,,,,,,,,,,,,
34,WD2146,3351192,Deb12,127401,https://doi.org/10.15454/AQWE02,PH207_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD2146,,27.0,20.0,"REPLICATE>BLOCK>PLOT:WD2146,REPLICATE>BLOCK:21,REPLICATE:2",rainfed,1630.874572051,329.028,"64,6744337149","66,8932531126",5.3660339869,180,232,100,"-2,21881939770",2012,,,,,,,,,,,,,,,,,
35,WD1205,3350971,Deb12,127401,https://doi.org/10.15454/AQWE02,PH207_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD1205,,14.0,16.0,"REPLICATE>BLOCK>PLOT:WD1205,REPLICATE>BLOCK:30,REPLICATE:1",rainfed,2046.4732248172,298.9649411765,"63,4177441029","65,7698661507",6.1182374728,180,239,100,"-2,35212204780",2012,,,,,,,,,,,,,,,,,
36,WW2179,3350652,Deb12,127401,https://doi.org/10.15454/AQWE02,PH207_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WW2179,,29.0,11.0,"REPLICATE>BLOCK>PLOT:WW2179,REPLICATE>BLOCK:26,REPLICATE:2",watered,2398.6434994665,301.5105882353,"63,4177441029","64,6744337149",7.2321641249,212,271,115,"-1,25668961200",2012,,,,,,,,,,,,,,,,,
37,WW1181,3350365,Deb12,127401,https://doi.org/10.15454/AQWE02,PH207_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WW1181,,13.0,13.0,"REPLICATE>BLOCK>PLOT:WW1181,REPLICATE>BLOCK:26,REPLICATE:1",watered,1968.2219984335,301.7941176471,"64,6744337149","64,6744337149",5.9399782135,211,272,104,"0,00000000000",2012,,,,,,,,,,,,,,,,,
38,3002water_regimewatered,3336326,Deb12,127401,https://doi.org/10.15454/AQWE02,PH207_H,Syngenta Debrecen 2012,VIRTUAL_TRIAL,,,,,,,,watered,324.2900305919,63.7387652592,64.5301809778,210.9375691595,2238.8736070641,269.9478683763,109.3770507136,,,2012,20.5698601677,18.7237866769,17.6633457704,134.887,197.095,1053.849,-21.7833333333,-39.5512820513,35.7320595447,32.770597999,30.8275840054,,,,,,
39,3002water_regimerainfed,3336080,Deb12,127401,https://doi.org/10.15454/AQWE02,PH207_H,Syngenta Debrecen 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,335.0863316805,63.7272516679,66.5018228688,184.4302650663,1823.3950216772,239.5674306052,105.0707131801,,,2012,20.5698601677,18.8013576817,17.6053030354,134.887,216.024,1042.764,-53.0317460317,-128.3743589744,35.7320595447,32.8509138335,30.7180526098,,,,,,
40,WD1039,3350781,Deb12,127402,https://doi.org/10.15454/5GN11W,Oh43_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD1039,,2.0,18.0,"REPLICATE>BLOCK>PLOT:WD1039,REPLICATE>BLOCK:6,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2379.2104862064,283.4809411765,"65,7698661507","68,1215767585",6.7446082789,225,270,120,"-2,35171060780",2012,,,,,,,,,,,,,,,,,
41,WD3123,3351455,Deb12,127402,https://doi.org/10.15454/5GN11W,Oh43_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD3123,,42.0,18.0,"REPLICATE>BLOCK>PLOT:WD3123,REPLICATE>BLOCK:18,REPLICATE:3",rainfed,1988.8231426693,303.1661176471,"68,1215767585","71,0427983458",6.0294379085,209,258,105,"-2,92122158730",2012,,,,,,,,,,,,,,,,,
42,WD2228,3351286,Deb12,127402,https://doi.org/10.15454/5GN11W,Oh43_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD2228,,31.0,18.0,"REPLICATE>BLOCK>PLOT:WD2228,REPLICATE>BLOCK:33,REPLICATE:2",rainfed,2144.7591382232,311.598,"68,1215767585","71,0427983458",6.6830265795,180,230,90,"-2,92122158730",2012,,,,,,,,,,,,,,,,,
43,WW2035,3350487,Deb12,127402,https://doi.org/10.15454/5GN11W,Oh43_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WW2035,,20.0,14.0,"REPLICATE>BLOCK>PLOT:WW2035,REPLICATE>BLOCK:5,REPLICATE:2",watered,2412.6055880442,330.6447058824,"64,6744337149","66,8932531126",7.9771526507,217,279,113,"-2,21881939770",2012,,,,,,,,,,,,,,,,,
44,WW1031,3350194,Deb12,127402,https://doi.org/10.15454/5GN11W,Oh43_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WW1031,,2.0,10.0,"REPLICATE>BLOCK>PLOT:WW1031,REPLICATE>BLOCK:5,REPLICATE:1",watered,2758.9021528416,313.4184705882,"66,8932531126","66,8932531126",8.6469089325,236,288,120,"0,00000000000",2012,,,,,,,,,,,,,,,,,
45,3003water_regimewatered,3336327,Deb12,127402,https://doi.org/10.15454/5GN11W,Oh43_H,Syngenta Debrecen 2012,VIRTUAL_TRIAL,,,,,,,,watered,371.4478718935,65.8465664902,67.1778559496,225.9131075309,2554.6509044739,281.4814713829,116.5395145604,,,2012,20.5698601677,18.9349569026,17.5404403916,134.887,198.286,1030.456,-21.3106060606,-39.9292929293,35.7320595447,33.0205810048,30.4844700442,,,,,,
46,3003water_regimerainfed,3336081,Deb12,127402,https://doi.org/10.15454/5GN11W,Oh43_H,Syngenta Debrecen 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,330.88094951,67.2452605452,69.7420492283,201.7490785779,2220.789065314,250.9535042026,103.0565750607,,,2012,20.5698601677,19.0594064849,17.4749502854,134.887,199.836,1008.873,-52.9275362319,-129.1076923077,35.7320595447,33.1948767614,30.3837790694,,,,,,
47,WD3209,3351553,Deb12,127403,https://doi.org/10.15454/EW2AP2,W64A_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD3209,,48.0,20.0,"REPLICATE>BLOCK>PLOT:WD3209,REPLICATE>BLOCK:30,REPLICATE:3",rainfed,1704.540698891,268.6235294118,"68,1215767585","69,553958451",4.5787973856,200,250,115,"-1,43238169250",2012,,,,,,,,,,,,,,,,,
48,WD2005,3351031,Deb12,127403,https://doi.org/10.15454/EW2AP2,W64A_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD2005,,19.0,5.0,"REPLICATE>BLOCK>PLOT:WD2005,REPLICATE>BLOCK:1,REPLICATE:2",rainfed,2156.2233092631,286.3496470588,"64,6744337149","66,8932531126",6.1743378359,190,246,112,"-2,21881939770",2012,,,,,,,,,,,,,,,,,
49,WD1251,3351023,Deb12,127403,https://doi.org/10.15454/EW2AP2,W64A_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD1251,,18.0,20.0,"REPLICATE>BLOCK>PLOT:WD1251,REPLICATE>BLOCK:36,REPLICATE:1",rainfed,1988.3248530746,280.7057647059,"64,6744337149","66,8932531126",5.5813424837,196,255,111,"-2,21881939770",2012,,,,,,,,,,,,,,,,,
50,WW2241,3350723,Deb12,127403,https://doi.org/10.15454/EW2AP2,W64A_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WW2241,,32.0,10.0,"REPLICATE>BLOCK>PLOT:WW2241,REPLICATE>BLOCK:35,REPLICATE:2",watered,2423.689389873,301.9358823529,"65,7698661507","66,8932531126",7.3179879448,214,271,107,"-1,12338696190",2012,,,,,,,,,,,,,,,,,
51,WW1240,3350433,Deb12,127403,https://doi.org/10.15454/EW2AP2,W64A_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WW1240,,18.0,9.0,"REPLICATE>BLOCK>PLOT:WW1240,REPLICATE>BLOCK:35,REPLICATE:1",watered,2544.790725685,291.2254117647,"66,8932531126","66,8932531126",7.4110772694,219,275,130,"0,00000000000",2012,,,,,,,,,,,,,,,,,
52,3004water_regimewatered,3336328,Deb12,127403,https://doi.org/10.15454/EW2AP2,W64A_H,Syngenta Debrecen 2012,VIRTUAL_TRIAL,,,,,,,,watered,336.8034062215,66.3520942774,66.9786399587,218.8633211481,2441.0425019953,274.5678682867,119.9438932156,,,2012,20.3843729319,19.1592682393,17.5538177963,119.866,198.286,1026.544,-21.9782608696,-40.0435897436,35.4715128226,33.3537056248,30.578738653,,,,,,
53,3004water_regimerainfed,3336082,Deb12,127403,https://doi.org/10.15454/EW2AP2,W64A_H,Syngenta Debrecen 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,308.6631157924,65.9820468674,68.1920454597,195.3605756175,2012.7528349544,251.0515040337,111.3885028925,,,2012,20.3843729319,19.1592682393,17.5538177963,119.866,198.286,1026.544,-51.8405797101,-128.7230769231,35.4715128226,33.3537056248,30.578738653,,,,,,
54,WD3038,3351358,Deb12,127404,https://doi.org/10.15454/YLEAQG,Oh33_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD3038,,38.0,17.0,"REPLICATE>BLOCK>PLOT:WD3038,REPLICATE>BLOCK:6,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,1487.6072000754,247.2355294118,"65,7698661507","68,1215767585",3.6778935367,200,260,115,"-2,35171060780",2012,,,,,,,,,,,,,,,,,
55,WD2098,3351137,Deb12,127404,https://doi.org/10.15454/YLEAQG,Oh33_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD2098,,23.0,14.0,"REPLICATE>BLOCK>PLOT:WD2098,REPLICATE>BLOCK:14,REPLICATE:2",rainfed,1847.442680776,266.6258823529,"64,6744337149","66,8932531126",4.9257603486,200,251,120,"-2,21881939770",2012,,,,,,,,,,,,,,,,,
56,WD1017,3350756,Deb12,127404,https://doi.org/10.15454/YLEAQG,Oh33_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD1017,,1.0,17.0,"REPLICATE>BLOCK>PLOT:WD1017,REPLICATE>BLOCK:3,REPLICATE:1",rainfed,2019.5583875393,262.8836470588,"63,4177441029","65,7698661507",5.3090887436,204,262,110,"-2,35212204780",2012,,,,,,,,,,,,,,,,,
57,WW2199,3350675,Deb12,127404,https://doi.org/10.15454/YLEAQG,Oh33_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WW2199,,30.0,10.0,"REPLICATE>BLOCK>PLOT:WW2199,REPLICATE>BLOCK:29,REPLICATE:2",watered,2247.6643309977,271.8324705882,"64,6744337149","65,7698661507",6.1098814815,231,289,122,"-1,09543243580",2012,,,,,,,,,,,,,,,,,
