observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L15(MIPO:0000020),L15(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W15(MIPO:0000021),W15(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
19,3361516,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,19,,,"REPLICATE>BLOCK>PLOT>PLANT:19,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,2012,,,95,,,,87,,,,,,,,16,,,,7.5,,,,7.5,,,,,,,
1,3361497,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,2012,96,,,,83,,,,,,,,,,15,,9,,,,10,,,,,,,,,
6,3361472,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:NXN2LAV2011027,REPLICATE>BLOCK:22,REPLICATE>BLOCK:29,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:2",rainfed,2012,,,96,,,,80,,,,,,,,16,,,,8,,,,7.5,,,,,,,
2,3361469,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:NXN2LAV2011027,REPLICATE>BLOCK:22,REPLICATE>BLOCK:29,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:2",rainfed,2012,,,93,,,,69,,,,,,,,15,,,,8.5,,,,8,,,,,,,
12,3361518,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,12,,,"REPLICATE>BLOCK>PLOT>PLANT:12,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,2012,,,,,88,,,,70,,,,,,17,,,,,,8,,,,8,,,,,
5,3361464,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:NXN2LAV2011027,REPLICATE>BLOCK:22,REPLICATE>BLOCK:29,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:2",rainfed,2012,101,,,,88,,,,,,,,,,15,,9,,,,9,,,,,,,,,
4,3361471,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:NXN2LAV2011027,REPLICATE>BLOCK:22,REPLICATE>BLOCK:29,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:2",rainfed,2012,,,96,,,,75,,,,,,,,16,,,,9,,,,8,,,,,,,
1,3361468,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:NXN2LAV2011027,REPLICATE>BLOCK:22,REPLICATE>BLOCK:29,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:2",rainfed,2012,,,96,,,,72,,,,,,,,16,,,,8,,,,8.5,,,,,,,
18,3361515,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,18,,,"REPLICATE>BLOCK>PLOT>PLANT:18,REPLICATE>BLOCK>PLOT:NXN2LAV3019041,REPLICATE>BLOCK:24,REPLICATE>BLOCK:34,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3,REPLICATE:2",watered,2012,,,84,,,,66,,,,,,,,16,,,,7.5,,,,7,,,,,,,
7,3361473,Ner12,Biogemma Nerac 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:NXN2LAV2011027,REPLICATE>BLOCK:22,REPLICATE>BLOCK:29,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:2",rainfed,2012,,,96,,,,73,,,,,,,,17,,,,8,,,,8,,,,,,,
