observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,Check(EIPO:0000004),Check(EIPO:0000004).date,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L15(MIPO:0000020),L15(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W15(MIPO:0000021),W15(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
3,3362981,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:NXN2LAV1030028,REPLICATE>BLOCK:19,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,,,75.2,,,,67.2,,,,,,74.1,,16,,,,6.4,,,,5.9,,,,,,6.2,
5,3362971,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:NXN2LAV1050030,REPLICATE>BLOCK:29,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,,,64.3,,,,55.8,,,,,,71.3,,16,,,,6.8,,,,6.5,,,,,,7,
9,3362974,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:NXN2LAV1050030,REPLICATE>BLOCK:29,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,,,66.2,,,,41.2,,,,,,71.2,,16,,,,6.6,,,,5.6,,,,,,6.2,
1,3362965,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:NXN2LAV1050030,REPLICATE>BLOCK:29,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,,,53.4,,,,49.6,,,,,,54.2,,16,,,,5.2,,,,4.9,,,,,,5.4,
7,3362972,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:NXN2LAV1050030,REPLICATE>BLOCK:29,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,,,63.2,,,,51.4,,,,,,69,,16,,,,6.6,,,,6.2,,,,,,6.8,
4,3362970,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:NXN2LAV1050030,REPLICATE>BLOCK:29,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,,,54.7,,,,48.3,,,,,,65.8,,16,,,,6.2,,,,5.6,,,,,,6.5,
8,3362973,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:NXN2LAV1050030,REPLICATE>BLOCK:29,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,,,69.8,,,,55.8,,,,,,70,,16,,,,6.7,,,,6.4,,,,,,5.9,
6,3363007,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:NXN2LAV1050030,REPLICATE>BLOCK:29,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,69.4,,,,62.7,,,,54.7,,,,,,16,,6.6,,,,6.3,,,,6,,,,,
10,3362975,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:NXN2LAV1050030,REPLICATE>BLOCK:29,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,,,68.2,,,,62.3,,,,,,72.1,,16,,,,7.3,,,,6.9,,,,,,6.9,
2,3363006,Ner13,Biogemma Nerac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:NXN2LAV1050030,REPLICATE>BLOCK:29,REPLICATE:2,REPLICATE:1,REPLICATE:3",watered,2013,Yes,,65.7,,,,63.3,,,,55.8,,,,,,17,,5.7,,,,6,,,,5.4,,,,,
