observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
CF09117itkt,2879917,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,2013,"24,1",,118,,94,,NA,,58,,NA,,93,,NA,,245,,NA,,89,,"0,76",,354,,"79,5",,453,,NA,,"14,6",,NA,,1810,,NA,,59,
RE12001itkt,2879863,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49097,https://doi.org/10.15454/ANZWH3,RE12001,VIRTUAL_TRIAL,,,,,,,,2013,"22,1",,99,,NA,,100,,NA,,79,,NA,,"87,75",,NA,,"266,75",,53,,"0,53",,159,,65,,353,,"47,4",,"10,2",,"79,2",,NA,,1655,,NA,
RE12040itkt,2879898,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,48352,https://doi.org/10.15454/YWSWUD,RE12040,VIRTUAL_TRIAL,,,,,,,,2013,"24,3",,120,,NA,,97,,NA,,"79,6",,NA,,"84,38",,NA,,"260,98",,55,,"0,46",,159,,76,,429,,"45,9",,"10,6",,"82,6",,NA,,1622,,NA,
RE12042itkt,2879896,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49556,https://doi.org/10.15454/GYCEHY,RE12042,VIRTUAL_TRIAL,,,,,,,,2013,"23,2",,109,,NA,,100,,NA,,"54,53",,NA,,90,,NA,,"244,53",,68,,"0,62",,240,,73,,380,,"49,3",,"11,5",,"81,3",,NA,,1680,,NA,
RE12050itkt,2879894,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49040,https://doi.org/10.15454/B2JKAS,RE12050,VIRTUAL_TRIAL,,,,,,,,2013,"17,5",,62,,NA,,97,,NA,,"66,15",,NA,,"82,25",,NA,,"245,4",,99,,"1,58",,238,,75,,394,,51,,"10,4",,"77,2",,NA,,1732,,NA,
RE12051itkt,2879895,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,48435,https://doi.org/10.15454/0FR6IX,RE12051,VIRTUAL_TRIAL,,,,,,,,2013,"20,6",,86,,NA,,97,,NA,,"76,9",,NA,,"89,63",,NA,,"263,53",,78,,"0,9",,244,,75,,388,,"45,1",,"11,1",,"78,2",,NA,,1635,,NA,
RE12073itkt,2879892,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49588,https://doi.org/10.15454/8XOG9B,RE12073,VIRTUAL_TRIAL,,,,,,,,2013,"24,8",,125,,NA,,100,,NA,,"91,3",,NA,,"88,13",,NA,,"279,43",,60,,"0,48",,235,,61,,393,,"50,7",,11,,"78,9",,NA,,2012,,NA,
RE12100itkt,2879848,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,49484,https://doi.org/10.15454/GT4HPR,RE12100,VIRTUAL_TRIAL,,,,,,,,2013,"29,9",,181,,NA,,94,,NA,,"34,25",,NA,,72,,NA,,"200,25",,32,,"0,18",,131,,70,,390,,"42,7",,"10,7",,"80,6",,NA,,1455,,NA,
Apacheitkt,2879886,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2013,"19,7",,79,,88,,NA,,67,,NA,,84,,NA,,239,,NA,,80,,"1,03",,206,,"64,5",,406,,NA,,"10,8",,NA,,1458,,NA,,"28,5",
Lyrikitkt,2879923,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2013,"19,7",,79,,94,,NA,,72,,NA,,79,,NA,,245,,NA,,77,,"0,99",,205,,"60,5",,398,,NA,,"11,1",,NA,,1413,,NA,,36,
Grapeliitkt,2879871,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,2013,"15,4",,48,,85,,NA,,41,,NA,,80,,NA,,206,,NA,,83,,"1,73",,148,,35,,369,,NA,,"11,2",,NA,,1243,,NA,,"20,5",
CF08027itkt,2879925,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,2013,"16,4",,55,,85,,NA,,44,,NA,,86,,NA,,215,,NA,,80,,"1,48",,159,,"75,5",,393,,NA,,"10,6",,NA,,1238,,NA,,29,
Granamaxitkt,2879888,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,2013,"16,5",,55,,88,,NA,,64,,NA,,80,,NA,,232,,NA,,87,,"1,58",,165,,"77,5",,393,,NA,,"11,2",,NA,,1495,,NA,,33,
AO11011itkt,2879852,BTH_Orgeval_2013_TECH,BTH_Orgeval_2013_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,2013,"16,2",,53,,100,,NA,,71,,NA,,97,,NA,,268,,NA,,111,,"2,09",,216,,"79,5",,411,,NA,,"11,2",,NA,,1570,,NA,,"34,5",
