observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO12016itkt,2868624,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,98,,152,,"10,09",,"102,9",,,,91,,1,,1,,5,
CF11115itkfi,2868625,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61427,https://doi.org/10.15454/ZA57QR,CF11115,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,90,,151,,"13,71",,"77,5",,5,,"52,2",,1,,"3,5",,6,
CF11115itkt,2868626,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61427,https://doi.org/10.15454/ZA57QR,CF11115,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,92,,150,,"14,23",,68,,,,"60,1",,"1,5",,"1,5",,9,
EM11589itkfi,2868639,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,62158,https://doi.org/10.15454/4698PG,EM11589,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,95,,151,,"11,25",,"92,2",,"3,5",,"62,2",,1,,3,,3,
EM11589itkt,2868640,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,62158,https://doi.org/10.15454/4698PG,EM11589,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,98,,150,,"11,09",,"93,1",,,,"82,3",,"1,5",,2,,"8,5",
RE11035itkt,2868618,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,90,,152,,"12,07",,"95,4",,,,"84,3",,1,,2,,"5,5",
RE11035itkfi,2868617,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,85,,152,,"11,49",,"115,7",,4,,78,,1,,3,,1,
RE11059itkfi,2868613,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,85,,152,,"11,44",,"107,8",,2,,"72,7",,1,,2,,1,
RE11059itkt,2868614,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,90,,152,,"11,1",,"91,2",,,,"80,6",,1,,2,,"3,5",
Premioitkt,2868594,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,85,,148,,"11,5",,"103,8",,,,"91,7",,2,,"1,5",,3,
Premioitkfi,2868593,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,82,,150,,"11,26",,"117,9",,3,,"79,5",,1,,3,,1,
Apacheitkfi,2868631,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,85,,149,,"11,94",,"97,5",,"4,5",,"65,7",,2,,"3,5",,1,
Apacheitkt,2868632,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,80,,147,,"12,49",,"92,4",,,,"81,7",,2,,2,,"1,5",
Lyrikitkfi,2868669,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,90,,151,,"9,73",,111,,6,,"74,8",,2,,3,,1,
Lyrikitkt,2868670,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,85,,151,,"9,54",,"104,8",,,,"92,7",,1,,1,,2,
CF11177itkfi,2868665,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,85,,152,,"11,55",,"101,5",,"3,5",,"68,4",,1,,3,,1,
