observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
RE14110itkfi,2974699,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76151,https://doi.org/10.15454/CLOCOE,RE14110,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,99,,146,,10.5,,109.3,,2,,104.6,,1,,2.2,
EM14142itkt,2974702,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76152,https://doi.org/10.15454/5IZLRI,EM14142,VIRTUAL_TRIAL,,,,,,,,traite,2015,97,,130,,9.6,,100.8,,,,123.3,,,,,
EM14142itkfi,2974701,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76152,https://doi.org/10.15454/5IZLRI,EM14142,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,88,,130,,9.7,,103.4,,1,,99,,1.5,,3,
CF14312itkt,2974704,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76153,https://doi.org/10.15454/JHIZDA,CF14312,VIRTUAL_TRIAL,,,,,,,,traite,2015,89,,133,,10.8,,93,,,,113.9,,,,,
CF14312itkfi,2974703,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76153,https://doi.org/10.15454/JHIZDA,CF14312,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,86,,134,,10.3,,85.2,,1,,81.6,,2.2,,4.5,
CF14270itkt,2974708,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76154,https://doi.org/10.15454/0TV1JD,CF14270,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,138,,10.8,,100.2,,,,122.6,,,,,
CF14270itkfi,2974707,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76154,https://doi.org/10.15454/0TV1JD,CF14270,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,88,,138,,11,,93.5,,3,,89.6,,1.4,,3.8,
RE14090itkt,2974712,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76155,https://doi.org/10.15454/5S69DY,RE14090,VIRTUAL_TRIAL,,,,,,,,traite,2015,95,,133,,10.6,,100,,,,122.4,,,,,
RE14090itkfi,2974711,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76155,https://doi.org/10.15454/5S69DY,RE14090,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,133,,10,,109.4,,1,,104.8,,1.5,,2.2,
DI15007itkfi,2974643,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76126,https://doi.org/10.15454/MP2YBX,DI15007,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,84,,141,,10.5,,102.7,,3,,98.4,,1.5,,2.5,
Barokitkfi,2974641,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,88,,138,,9.9,,88.3,,4.5,,84.5,,3.5,,3.5,
DI15010itkt,2974686,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76146,https://doi.org/10.15454/9AZDI3,DI15010,VIRTUAL_TRIAL,,,,,,,,traite,2015,94,,138,,10.6,,107,,,,131,,,,,
DI15010itkfi,2974685,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76146,https://doi.org/10.15454/9AZDI3,DI15010,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,86,,138,,10.2,,100.1,,1.8,,95.9,,2,,3.5,
Bermudeitkfi,2974663,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,87,,137,,9.5,,98.9,,2,,94.7,,2,,4.2,
Bermudeitkt,2974664,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,traite,2015,96,,138,,10.4,,99.9,,,,122.2,,,,,
CF14254itkfi,2974713,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76156,https://doi.org/10.15454/IKBWDI,CF14254,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,99,,133,,10.7,,99.6,,1,,95.3,,2,,3,
CF14254itkt,2974714,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76156,https://doi.org/10.15454/IKBWDI,CF14254,VIRTUAL_TRIAL,,,,,,,,traite,2015,98,,133,,11.5,,96.2,,,,117.8,,,,,
CF14255itkt,2974716,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76157,https://doi.org/10.15454/LD0O5U,CF14255,VIRTUAL_TRIAL,,,,,,,,traite,2015,89,,130,,11.5,,99.8,,,,122.1,,,,,
CF14255itkfi,2974715,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76157,https://doi.org/10.15454/LD0O5U,CF14255,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,86,,131,,10.4,,110.8,,1,,106.1,,2.2,,3.8,
RE14095itkt,2974718,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76158,https://doi.org/10.15454/GKHYBL,RE14095,VIRTUAL_TRIAL,,,,,,,,traite,2015,94,,138,,11.2,,96.9,,,,118.6,,,,,
RE14095itkfi,2974717,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76158,https://doi.org/10.15454/GKHYBL,RE14095,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,90,,138,,10.2,,105.3,,1.5,,100.8,,2,,2.5,
CF14300itkt,2974674,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76140,https://doi.org/10.15454/0GLUIJ,CF14300,VIRTUAL_TRIAL,,,,,,,,traite,2015,102,,138,,9.8,,100.2,,,,122.6,,,,,
CF14300itkfi,2974673,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76140,https://doi.org/10.15454/0GLUIJ,CF14300,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,98,,138,,9.6,,95.1,,1.5,,91,,1.8,,3.5,
CF14302itkt,2974676,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76141,https://doi.org/10.15454/MD2TW0,CF14302,VIRTUAL_TRIAL,,,,,,,,traite,2015,104,,138,,10.3,,100.8,,,,123.3,,,,,
CF14302itkfi,2974675,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76141,https://doi.org/10.15454/MD2TW0,CF14302,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,110,,138,,9.6,,103.1,,1,,98.7,,2.2,,3.5,
RE14089itkt,2974678,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76142,https://doi.org/10.15454/H8G0Q7,RE14089,VIRTUAL_TRIAL,,,,,,,,traite,2015,93,,132,,10.9,,97.8,,,,119.7,,,,,
RE14089itkfi,2974677,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76142,https://doi.org/10.15454/H8G0Q7,RE14089,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,131,,10.6,,104.9,,2.8,,100.4,,1.5,,2.8,
CF14220itkt,2974680,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76143,https://doi.org/10.15454/BMXICK,CF14220,VIRTUAL_TRIAL,,,,,,,,traite,2015,100,,142,,11,,99.6,,,,121.9,,,,,
CF14220itkfi,2974679,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76143,https://doi.org/10.15454/BMXICK,CF14220,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,96,,144,,10.7,,96.2,,2.5,,92.1,,1.8,,2.5,
CELLULEitkt,2974688,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,traite,2015,96,,136,,10.7,,103.3,,,,126.4,,,,,
CELLULEitkfi,2974687,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,90,,134,,9.8,,93.3,,5.5,,89.3,,1,,3.2,
Gotikitkt,2974696,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,traite,2015,104,,142,,10.9,,102.9,,,,126,,,,,
Gotikitkfi,2974695,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,95,,142,,9.6,,87.6,,1,,83.9,,2.8,,3.8,
RUBISKOitkt,2974710,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,traite,2015,84,,137,,10.6,,100,,,,122.4,,,,,
RUBISKOitkfi,2974709,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,86,,135,,9.6,,107.9,,1,,103.4,,1,,3.5,
Soissonsitkt,2974706,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,133,,11,,87.8,,,,107.4,,,,,
Soissonsitkfi,2974705,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,87,,133,,10.6,,85.5,,6.5,,81.9,,1,,3.8,
AREZZOitkt,2974720,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,traite,2015,86,,136,,10.9,,96.9,,,,118.5,,,,,
AREZZOitkfi,2974719,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,86,,136,,10.1,,99.9,,5,,95.6,,1,,4,
