observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE11116itkfi,2874900,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,93,,154,,"10,3",,68,,101,,"87,4",,1,,"6,5",,,
RE11116itknt,2874901,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,94,,154,,,,"68,6",,"101,7",,"93,9",,,,"4,8",,1,
Pakitoitkt,2874857,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,treated,2013,79,,154,,"11,2",,"72,5",,"98,9",,"105,9",,,,,,,
Pakitoitkfi,2874855,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,154,,"10,8",,"73,1",,103,,"89,1",,3,,8,,,
Pakitoitknt,2874856,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,81,,154,,,,"71,4",,"98,2",,"90,7",,,,"7,5",,"1,5",
AO13010itkfi,2874885,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,60751,https://doi.org/10.15454/JYOJ35,AO13010,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,76,,154,,"10,8",,"80,2",,"107,5",,"93,1",,1,,"3,5",,,
AO13010itknt,2874886,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,60751,https://doi.org/10.15454/JYOJ35,AO13010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,79,,154,,,,"78,1",,"109,4",,101,,,,"3,2",,1,
AO13010itkt,2874887,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,60751,https://doi.org/10.15454/JYOJ35,AO13010,VIRTUAL_TRIAL,,,,,,,,treated,2013,76,,155,,"11,8",,78,,"96,3",,"103,1",,,,,,,
AO13012itkt,2874890,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,60784,https://doi.org/10.15454/3K0RWB,AO13012,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,156,,"10,8",,"71,8",,"101,9",,"109,1",,,,,,,
AO13012itkfi,2874888,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,60784,https://doi.org/10.15454/3K0RWB,AO13012,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,89,,156,,"10,5",,"74,8",,"117,1",,"101,3",,1,,2,,,
AO13012itknt,2874889,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,60784,https://doi.org/10.15454/3K0RWB,AO13012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,96,,156,,,,"75,1",,"124,7",,"115,1",,,,2,,1,
EM11366itknt,2874904,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,97,,154,,,,"71,6",,101,,"93,2",,,,"6,8",,1,
EM11366itkfi,2874903,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,154,,"10,9",,"68,8",,"97,8",,"84,7",,2,,8,,,
EM11366itkt,2874905,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,treated,2013,98,,154,,"11,2",,76,,"99,7",,"106,8",,,,,,,
EM11400itkt,2874884,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,154,,"12,3",,76,,"98,8",,"105,8",,,,,,,
EM11400itkfi,2874882,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,77,,154,,11,,"73,9",,"102,1",,"88,3",,1,,"7,2",,,
EM11400itknt,2874883,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,78,,154,,,,"72,6",,"108,8",,"100,5",,,,"6,5",,1,
DI12004itkt,2874854,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,156,,"11,3",,"77,7",,"99,3",,"106,3",,,,,,,
DI12004itknt,2874853,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,88,,156,,,,77,,112,,"103,3",,,,4,,1,
DI12004itkfi,2874852,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,83,,156,,"11,1",,76,,"107,3",,"92,8",,1,,4,,,
Soissonsitkfi,2874912,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,150,,"10,9",,74,,"91,9",,"79,6",,1,,8,,,
Soissonsitkt,2874914,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2013,83,,150,,"11,5",,"73,2",,"93,4",,100,,,,,,,
Soissonsitknt,2874913,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,86,,150,,,,"74,3",,"92,9",,"85,8",,,,7,,1,
Altigoitknt,2874880,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,83,,153,,,,"74,5",,"100,3",,"92,6",,,,7,,1,
Altigoitkt,2874881,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,154,,"11,5",,"76,6",,"96,6",,"103,4",,,,,,,
Altigoitkfi,2874879,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,153,,"10,8",,"71,5",,"101,2",,"87,6",,"2,5",,"7,5",,,
Bermudeitkfi,2874825,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,154,,"10,6",,74,,"104,7",,"90,6",,1,,8,,,
Bermudeitkt,2874827,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,154,,"11,1",,"76,3",,"103,8",,"111,2",,,,,,,
Bermudeitknt,2874826,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,84,,156,,,,"71,4",,"108,1",,"99,8",,,,8,,1,
