observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
EM11400itkt,2879502,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,7",,79,,100,,NA,,73,,NA,,85,,NA,,258,,NA,,93,,"1,19",,253,,"81,5",,433,,NA,,"11,9",,NA,,1645,,NA,,NA,,32,
DI11014itkt,2879524,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2013,"14,8",,44,,91,,NA,,66,,NA,,59,,NA,,216,,NA,,81,,"1,84",,125,,"65,5",,411,,NA,,"10,8",,NA,,1658,,NA,,NA,,25,
DI12004itkt,2879482,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,8",,72,,94,,NA,,75,,NA,,75,,NA,,244,,NA,,79,,"1,11",,182,,79,,416,,NA,,"11,1",,NA,,1578,,NA,,NA,,"30,5",
Bermudeitkt,2879467,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,"15,7",,50,,100,,NA,,72,,NA,,84,,NA,,256,,NA,,111,,"2,22",,213,,"68,5",,419,,NA,,"10,6",,NA,,1618,,NA,,NA,,31,
AO12014itkt,2879521,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,9",,65,,100,,NA,,79,,NA,,76,,NA,,255,,NA,,96,,"1,48",,240,,85,,357,,NA,,"11,3",,NA,,1705,,NA,,NA,,31,
AO13030itkt,2879510,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,4",,76,,88,,NA,,64,,NA,,62,,NA,,214,,NA,,64,,"0,84",,168,,74,,373,,NA,,"10,2",,NA,,1425,,NA,,NA,,"22,5",
AO13047itkt,2879480,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,treated,2013,"13,7",,38,,91,,NA,,75,,NA,,87,,NA,,253,,NA,,110,,"2,89",,167,,"92,5",,410,,NA,,11,,NA,,1485,,NA,,NA,,27,
CF12053itkt,2879461,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48635,https://doi.org/10.15454/EYGP9K,CF12053,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,1",,74,,NA,,100,,NA,,"81,4",,NA,,"88,13",,NA,,"269,53",,89,,"1,19",,214,,62,,362,,"54,6",,"10,1",,"77,6",,NA,,1730,,"5,49",,NA,
CF12181itkt,2879477,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48978,https://doi.org/10.15454/5ZAP8G,CF12181,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,6",,78,,NA,,91,,NA,,"78,7",,NA,,"88,5",,NA,,"258,2",,82,,"1,05",,194,,77,,386,,"49,4",,"10,4",,"82,6",,NA,,1697,,"4,09",,NA,
CF12200itkt,2879479,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48698,https://doi.org/10.15454/CBPECM,CF12200,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,3",,83,,NA,,100,,NA,,"65,8",,NA,,"91,13",,NA,,"256,93",,65,,"0,79",,154,,69,,386,,44,,"9,3",,"79,2",,NA,,1615,,"2,91",,NA,
CF12202itkt,2879513,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,4",,54,,NA,,100,,NA,,"53,55",,NA,,"78,5",,NA,,"232,05",,91,,"1,67",,191,,70,,373,,52,,"9,4",,"80,8",,NA,,1460,,"2,89",,NA,
CF12273itkt,2879517,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49671,https://doi.org/10.15454/XJPBH3,CF12273,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,7",,63,,NA,,100,,NA,,"74,5",,NA,,100,,NA,,"274,5",,96,,"1,52",,200,,62,,352,,"50,8",,"9,8",,"79,2",,NA,,1555,,"3,61",,NA,
CF12376itkt,2879489,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49458,https://doi.org/10.15454/WEEH9V,CF12376,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,8",,71,,NA,,100,,NA,,73,,NA,,100,,NA,,273,,95,,"1,33",,214,,72,,367,,52,,"10,2",,"79,8",,NA,,1505,,"3,41",,NA,
DI13003itkt,2879519,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,treated,2013,"24,5",,122,,NA,,100,,NA,,"84,1",,NA,,"92,63",,NA,,"276,73",,70,,"0,58",,253,,69,,404,,"48,6",,"10,3",,"80,2",,NA,,1675,,"3,57",,NA,
DI13004itkt,2879473,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49219,https://doi.org/10.15454/6NP2UD,DI13004,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,1",,90,,NA,,100,,NA,,"86,2",,NA,,"91,13",,NA,,"277,33",,85,,"0,94",,256,,72,,391,,"47,5",,"10,7",,"80,3",,NA,,1745,,"3,71",,NA,
DI13005itkt,2879474,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,treated,2013,"23,4",,111,,NA,,97,,NA,,"59,33",,NA,,90,,NA,,"246,33",,65,,"0,58",,200,,83,,343,,"54,9",,"9,9",,"79,4",,NA,,1545,,"2,9",,NA,
DI13006itkt,2879475,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49207,https://doi.org/10.15454/DM26Q1,DI13006,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,3",,75,,NA,,97,,NA,,"76,9",,NA,,"91,13",,NA,,"265,03",,90,,"1,19",,228,,59,,377,,51,,"9,7",,"80,7",,NA,,1487,,"3,56",,NA,
