observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieD(CO_321:1000255),NmieD(CO_321:1000255).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainD(CO_321:1000254),NpainD(CO_321:1000254).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateD(CO_321:1000253),NpateD(CO_321:1000253).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotD(CO_321:1000256),NtotD(CO_321:1000256).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volD(CO_321:1000257),volD(CO_321:1000257).date,volL(CO_321:1000245),volL(CO_321:1000245).date,volS(CO_321:1000250),volS(CO_321:1000250).date,zel(CO_321:1000222),zel(CO_321:1000222).date
RE13086itkt,2976733,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,49433,https://doi.org/10.15454/XA7QW4,RE13086,VIRTUAL_TRIAL,,,,,,,,traite,2014,21.1,,90,,,,94,,,,,,30.35,,,,,,82.25,,,,,,206.6,,,,79,,0.88,,234,,63,,324,,52.3,,9.4,,80.4,,,,1270,,,,,
RE13106itkt,2976739,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,49524,https://doi.org/10.15454/FSEIOR,RE13106,VIRTUAL_TRIAL,,,,,,,,traite,2014,17.7,,63,,,,100,,,,,,44.63,,,,,,82.25,,,,,,226.88,,,,79,,1.25,,154,,53,,272,,57,,8.9,,76.5,,,,1160,,,,,
RE13005itkt,2976735,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,48484,https://doi.org/10.15454/L7ZWCU,RE13005,VIRTUAL_TRIAL,,,,,,,,traite,2014,15.9,,52,,,,100,,,,,,56.4,,,,,,97,,,,,,253.4,,,,86,,1.68,,167,,79,,217,,52,,9.9,,78.7,,,,1480,,,,,
RE13004itkt,2976746,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,49568,https://doi.org/10.15454/LO7ZR2,RE13004,VIRTUAL_TRIAL,,,,,,,,traite,2014,21.6,,95,,,,100,,,,,,56.7,,,,,,100,,,,,,256.7,,,,67,,0.7,,183,,74,,220,,54.8,,9.9,,80.4,,,,1492,,,,,
APACHEitkt,2976718,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,traite,2014,19.4,,76,,100,,,,82,,54.9,,,,69,,95.5,,,,75,,250.4,,,,226,,81.5,,1.26,,190,,41,,269.5,,,,10.93,,75.8,,1431,,,,1358,,26,
Granamaxitkt,2976719,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,traite,2014,16.7,,57,,,,,,85,,,,,,58,,,,,,94,,,,,,237,,90,,1.61,,174,,,,221,,,,10.6,,77.9,,,,,,1219,,,
AO11011itkt,2976692,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,traite,2014,15.1,,46,,,,,,85,,,,,,48,,,,,,76,,,,,,209,,82,,1.78,,133,,,,233,,,,10.4,,77.6,,,,,,1171,,,
Gotikitkt,2976732,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.8,,72,,,,,,82,,,,,,46,,,,,,89,,,,,,217,,75,,1.06,,170,,,,296,,,,10.9,,79,,,,,,1224,,,
RE10042itkt,2976726,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,traite,2014,16.5,,55,,,,,,85,,,,,,44,,,,,,70,,,,,,199,,71,,1.29,,138,,,,297,,,,10.45,,79.9,,,,,,1148,,,
RE11058itkt,2976705,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,traite,2014,15.1,,46,,,,,,85,,,,,,44,,,,,,84,,,,,,213,,81,,1.76,,141,,,,269,,,,10.8,,77.5,,,,,,1161,,,
