observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,volS(CO_321:1000250),volS(CO_321:1000250).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
RE12020itkt,2879610,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,4",,76,,NA,,100,,NA,,NA,,"38,9",,NA,,NA,,"76,25",,NA,,NA,,"215,15",,NA,,160,,"2,1",,483,,74,,380,,"47,6",,"13,9",,81,,NA,,1582,,NA,,"2,96",,NA,
EM12044itkt,2879674,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49319,https://doi.org/10.15454/QHF1AL,EM12044,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,1",,60,,NA,,100,,NA,,NA,,85,,NA,,NA,,83,,NA,,NA,,268,,NA,,121,,"2,04",,279,,95,,413,,"44,1",,"11,9",,"82,7",,NA,,1802,,NA,,"2,99",,NA,
AO13016itkt,2879613,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,60850,https://doi.org/10.15454/R4ROYJ,AO13016,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,4",,93,,NA,,100,,NA,,NA,,"61,88",,NA,,NA,,91,,NA,,NA,,"252,88",,NA,,64,,"0,68",,174,,78,,353,,"44,6",,"11,7",,"79,3",,NA,,1705,,NA,,"2,23",,NA,
AO12021itkt,2879621,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2013,"15,3",,47,,97,,NA,,NA,,72,,NA,,NA,,76,,NA,,NA,,245,,NA,,NA,,135,,"2,87",,268,,"84,5",,359,,NA,,"11,4",,NA,,1450,,NA,,NA,,NA,,"40,5",
AO13022itkt,2879630,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,treated,2013,"13,6",,38,,NA,,97,,NA,,NA,,"59,18",,NA,,NA,,"89,63",,NA,,NA,,"245,81",,NA,,162,,"4,29",,251,,80,,410,,"55,2",,"11,7",,"83,1",,NA,,1617,,NA,,"3,85",,NA,
EM11366itkt,2879672,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,9",,65,,100,,NA,,NA,,82,,NA,,NA,,84,,NA,,NA,,266,,NA,,NA,,118,,"1,82",,299,,"83,5",,428,,NA,,"12,3",,NA,,1610,,NA,,NA,,NA,,"36,5",
EM11400itkt,2879660,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,2",,67,,100,,NA,,NA,,71,,NA,,NA,,81,,NA,,NA,,252,,NA,,NA,,102,,"1,52",,248,,79,,370,,NA,,13,,NA,,1700,,NA,,NA,,NA,,40,
DI11014itkt,2879682,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,7",,57,,91,,NA,,100,,65,,NA,,55,,85,,NA,,85,,241,,NA,,240,,99,,"1,77",,193,,"78,5",,"369,5",,NA,,"11,9",,"81,5",,1553,,NA,,1504,,NA,,"31,5",
DI12004itkt,2879640,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,treated,2013,"15,7",,50,,91,,NA,,NA,,30,,NA,,NA,,68,,NA,,NA,,189,,NA,,NA,,118,,"2,36",,229,,82,,422,,NA,,"12,1",,NA,,1305,,NA,,NA,,NA,,38,
Bermudeitkt,2879625,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,4",,55,,100,,NA,,100,,74,,NA,,82,,90,,NA,,96,,264,,NA,,278,,102,,"1,89",,209,,"74,5",,376,,NA,,"11,7",,"82,4",,1625,,NA,,1603,,NA,,36,
AO12014itkt,2879679,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2013,"14,6",,43,,100,,NA,,NA,,79,,NA,,NA,,75,,NA,,NA,,254,,NA,,NA,,90,,"2,09",,168,,94,,254,,NA,,"10,9",,NA,,1700,,NA,,NA,,NA,,28,
AO13030itkt,2879668,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,7",,57,,91,,NA,,NA,,37,,NA,,NA,,94,,NA,,NA,,222,,NA,,NA,,97,,"1,73",,205,,81,,380,,NA,,"12,3",,NA,,1523,,NA,,NA,,NA,,36,
AO13047itkt,2879638,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,treated,2013,17,,59,,97,,NA,,NA,,74,,NA,,NA,,94,,NA,,NA,,265,,NA,,NA,,117,,"2,02",,260,,97,,411,,NA,,"12,6",,NA,,1583,,NA,,NA,,NA,,41,
CF12053itkt,2879619,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48635,https://doi.org/10.15454/EYGP9K,CF12053,VIRTUAL_TRIAL,,,,,,,,treated,2013,"15,5",,49,,NA,,100,,NA,,NA,,"75,4",,NA,,NA,,"88,5",,NA,,NA,,"263,9",,NA,,134,,"2,77",,252,,78,,456,,"49,2",,"12,6",,"81,9",,NA,,1787,,NA,,"4,94",,NA,
CF12181itkt,2879635,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48978,https://doi.org/10.15454/5ZAP8G,CF12181,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,9",,80,,NA,,91,,NA,,NA,,"34,7",,NA,,NA,,"70,5",,NA,,NA,,"196,2",,NA,,84,,"1,05",,210,,81,,363,,46,,"12,9",,83,,NA,,1442,,NA,,"3,28",,NA,
CF12200itkt,2879637,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48698,https://doi.org/10.15454/CBPECM,CF12200,VIRTUAL_TRIAL,,,,,,,,treated,2013,23,,107,,NA,,100,,NA,,NA,,"63,45",,NA,,NA,,"89,63",,NA,,NA,,"253,08",,NA,,71,,"0,66",,236,,68,,372,,"40,3",,12,,"79,3",,NA,,1792,,NA,,"2,18",,NA,
CF12202itkt,2879671,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,1",,90,,NA,,100,,NA,,NA,,"87,1",,NA,,NA,,"79,25",,NA,,NA,,"266,35",,NA,,87,,"0,97",,279,,75,,420,,"48,5",,"12,3",,"82,8",,NA,,1872,,NA,,"2,68",,NA,
CF12273itkt,2879675,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49671,https://doi.org/10.15454/XJPBH3,CF12273,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,1",,66,,NA,,94,,NA,,NA,,"40,4",,NA,,NA,,79,,NA,,NA,,"213,4",,NA,,114,,"1,72",,260,,68,,412,,"54,6",,"12,2",,83,,NA,,1587,,NA,,"3,65",,NA,
CF12376itkt,2879647,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49458,https://doi.org/10.15454/WEEH9V,CF12376,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,5",,69,,NA,,91,,NA,,NA,,"32,6",,NA,,NA,,"77,5",,NA,,NA,,"201,1",,NA,,115,,"1,65",,262,,75,,387,,"50,6",,"12,8",,"82,8",,NA,,1420,,NA,,"3,37",,NA,
DI13003itkt,2879677,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,3",,92,,NA,,100,,NA,,NA,,"45,95",,NA,,NA,,"82,5",,NA,,NA,,"228,45",,NA,,91,,"0,98",,301,,79,,419,,"43,9",,"12,7",,"82,3",,NA,,1792,,NA,,"3,08",,NA,
DI13004itkt,2879631,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49219,https://doi.org/10.15454/6NP2UD,DI13004,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,1",,60,,NA,,97,,NA,,NA,,"33,95",,NA,,NA,,"64,25",,NA,,NA,,"195,2",,NA,,114,,"1,91",,274,,74,,429,,"47,5",,"12,3",,"82,8",,NA,,1447,,NA,,"3,07",,NA,
DI13005itkt,2879632,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,9",,97,,NA,,100,,NA,,NA,,"60,3",,NA,,NA,,100,,NA,,NA,,"260,3",,NA,,71,,"0,73",,200,,70,,398,,"51,1",,12,,"79,9",,NA,,1610,,NA,,"3,09",,NA,
DI13006itkt,2879633,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49207,https://doi.org/10.15454/DM26Q1,DI13006,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,1",,82,,NA,,100,,NA,,NA,,"65,1",,NA,,NA,,"91,13",,NA,,NA,,"256,23",,NA,,107,,"1,3",,309,,70,,406,,"49,7",,"12,8",,"83,1",,NA,,1775,,NA,,"2,43",,NA,
