observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
EM12015itkfi,2876522,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61864,https://doi.org/10.15454/ASTFXF,EM12015,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,150,,"11,6",,"73,3",,106,,"84,6",,"3,5",
EM12015itkt,2876523,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61864,https://doi.org/10.15454/ASTFXF,EM12015,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,153,,"12,2",,"74,7",,"93,9",,"96,7",,,
CF12130itkfi,2876508,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61462,https://doi.org/10.15454/9YFN5V,CF12130,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,89,,154,,10,,"77,4",,"113,7",,"90,8",,"4,2",
CF12130itkt,2876509,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61462,https://doi.org/10.15454/9YFN5V,CF12130,VIRTUAL_TRIAL,,,,,,,,treated,2013,96,,156,,"10,7",,"79,9",,"102,9",,106,,,
AO13011itkt,2876501,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,60766,https://doi.org/10.15454/IIFLIA,AO13011,VIRTUAL_TRIAL,,,,,,,,treated,2013,79,,154,,"11,7",,"77,2",,97,,"99,9",,,
RE12002itkt,2876475,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,157,,"11,6",,"72,9",,"103,4",,"106,6",,,
Attlassitkfi,2876514,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,87,,155,,"10,8",,69,,121,,"96,6",,"2,8",
EM12044itkt,2876491,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,49319,https://doi.org/10.15454/QHF1AL,EM12044,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,154,,"11,7",,"73,5",,"97,2",,"100,2",,,
AO13008itkfi,2876516,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,60717,https://doi.org/10.15454/QBK7AX,AO13008,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,75,,154,,"11,2",,"73,7",,"101,2",,"80,8",,"4,5",
EM12040itkfi,2876492,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,83,,150,,"11,4",,"72,4",,"106,5",,85,,"3,5",
CF12149itkfi,2876452,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61479,https://doi.org/10.15454/LE3Y6P,CF12149,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,87,,154,,"11,3",,"70,9",,"101,2",,"80,8",,"5,5",
CF12149itkt,2876453,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61479,https://doi.org/10.15454/LE3Y6P,CF12149,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,155,,"11,9",,"76,2",,"97,8",,"100,7",,,
CF12164itkt,2876459,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61495,https://doi.org/10.15454/79MDPU,CF12164,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,156,,"11,4",,"77,5",,"98,2",,"101,2",,,
