observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
RE11113itknt,2875775,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,110,,,,151,,,,"79,7",,"107,5",,1,,91,,1,,2,
Soissonsitkfi,2875792,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,72,,42,,144,,"10,6",,"79,5",,102,,1,,"75,1",,1,,,
RE11059itkfi,2875720,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,"48,2",,150,,"11,6",,"81,9",,"85,9",,1,,"63,2",,1,,,
EM11604itknt,2875751,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,90,,,,147,,,,"78,8",,"103,2",,"1,5",,"87,3",,1,,2,
EM11400itkfi,2875762,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,"54,9",,146,,"10,9",,"75,3",,"92,8",,1,,"68,4",,1,,,
RE11059itkt,2875722,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,"51,3",,148,,"10,8",,"81,4",,"88,5",,,,"79,8",,,,,
RE11059itknt,2875721,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,92,,,,146,,,,"81,2",,92,,"1,5",,"77,8",,1,,2,
Soissonsitknt,2875793,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,92,,,,142,,,,"78,3",,"90,7",,1,,"76,7",,1,,0,
RE11091itkt,2875719,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,VIRTUAL_TRIAL,,,,,,,,treated,2013,92,,"57,2",,150,,"10,6",,"78,2",,"92,3",,,,"83,2",,,,,
RE11091itknt,2875718,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,102,,,,148,,,,"77,8",,99,,1,,"83,8",,1,,2,
CF11215itknt,2875685,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49188,https://doi.org/10.15454/5IXUYK,CF11215,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,98,,,,146,,,,"79,2",,"91,9",,2,,"77,8",,1,,5,
AO13012itkfi,2875768,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,60784,https://doi.org/10.15454/3K0RWB,AO13012,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,"50,5",,152,,"11,2",,"80,8",,"103,2",,1,,76,,1,,,
RE11091itkfi,2875717,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,"56,2",,150,,"11,4",,79,,"102,8",,1,,"75,7",,1,,,
AO13012itknt,2875769,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,60784,https://doi.org/10.15454/3K0RWB,AO13012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,95,,,,150,,,,"80,2",,"86,4",,"1,5",,"73,1",,1,,2,
CF11215itkt,2875686,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49188,https://doi.org/10.15454/5IXUYK,CF11215,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,"48,9",,150,,"10,2",,79,,"86,4",,,,"77,9",,,,,
CF11215itkfi,2875684,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49188,https://doi.org/10.15454/5IXUYK,CF11215,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,"46,5",,150,,"11,5",,"79,8",,"97,7",,1,,72,,1,,,
AO13012itkt,2875770,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,60784,https://doi.org/10.15454/3K0RWB,AO13012,VIRTUAL_TRIAL,,,,,,,,treated,2013,92,,"51,2",,152,,"10,1",,"78,4",,"85,1",,,,"76,8",,,,,
RE11094itknt,2875715,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48366,https://doi.org/10.15454/ZSJORF,RE11094,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,105,,,,148,,,,"75,2",,"102,5",,1,,"86,7",,1,,2,
RE11116itknt,2875781,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,105,,,,148,,,,"75,8",,108,,1,,"91,4",,1,,"3,5",
EM11400itkt,2875764,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,"58,3",,146,,"10,1",,"75,2",,"90,9",,,,82,,,,,
RE11058itknt,2875724,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,100,,,,147,,,,"77,9",,"103,1",,"1,5",,"87,2",,1,,3,
RE11058itkt,2875725,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,"51,8",,148,,"9,9",,"77,6",,"88,4",,,,"79,7",,,,,
RE11094itkt,2875716,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48366,https://doi.org/10.15454/ZSJORF,RE11094,VIRTUAL_TRIAL,,,,,,,,treated,2013,95,,"58,9",,150,,"10,1",,77,,"100,6",,,,"90,8",,,,,
RE11094itkfi,2875714,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48366,https://doi.org/10.15454/ZSJORF,RE11094,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,"58,2",,150,,"10,8",,"77,9",,"110,3",,1,,"81,2",,1,,,
RE11058itkfi,2875723,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,"51,8",,147,,"10,9",,"78,7",,"97,4",,1,,"71,7",,1,,,
CF11291itkt,2875803,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,"38,7",,144,,"11,1",,79,,"99,5",,,,"89,8",,,,,
RE11095itkt,2875713,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49685,https://doi.org/10.15454/NZBGQD,RE11095,VIRTUAL_TRIAL,,,,,,,,treated,2013,100,,"63,6",,150,,"10,6",,78,,95,,,,"85,6",,,,,
CF11291itknt,2875802,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,90,,,,143,,,,"76,5",,"92,4",,1,,"78,1",,1,,9,
CF11291itkfi,2875801,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,"41,3",,144,,"10,4",,"78,7",,"99,7",,1,,"73,4",,1,,,
RE11116itkt,2875782,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,treated,2013,100,,50,,150,,"8,8",,"76,4",,"112,2",,,,"101,2",,,,,
DI12005itknt,2875730,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,98,,,,152,,,,"77,6",,"116,8",,1,,"98,8",,"2,5",,2,
RE11095itkfi,2875711,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49685,https://doi.org/10.15454/NZBGQD,RE11095,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,"61,2",,149,,"10,9",,"78,8",,"99,5",,1,,"73,2",,1,,,
RE11095itknt,2875712,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49685,https://doi.org/10.15454/NZBGQD,RE11095,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,108,,,,148,,,,"77,3",,"103,4",,"1,5",,"87,4",,1,,2,
RE11116itkfi,2875780,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,102,,"45,1",,150,,"10,2",,"76,1",,"119,7",,1,,"88,1",,1,,,
EM11400itknt,2875763,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,85,,,,146,,,,"76,6",,103,,"1,5",,"87,1",,1,,6,
DI12005itkt,2875731,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,"57,8",,154,,"9,5",,"78,7",,107,,,,"96,5",,,,,
RE11096itknt,2875709,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48664,https://doi.org/10.15454/ITWRUM,RE11096,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,92,,,,148,,,,"77,9",,"105,2",,3,,89,,1,,2,
DI12005itkfi,2875729,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,58,,152,,"10,2",,"78,6",,"112,3",,1,,"82,7",,1,,,
