observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volL(CO_321:1000245),volL(CO_321:1000245).date,volS(CO_321:1000250),volS(CO_321:1000250).date
DI10001-2itkfi,2862046,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
DI10001-2itkt,2862047,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,treated,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,,NA,
EM09227itkt,2862037,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48498,https://doi.org/10.15454/GGN6HS,EM09227,VIRTUAL_TRIAL,,,,,,,,treated,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,,NA,
EM09227itkfi,2862036,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48498,https://doi.org/10.15454/GGN6HS,EM09227,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,"18,9",,72,,100,,,,"10,8",,,,"75,5",,,,"186,2",,,,94,,"1,3",,238,,85,,426,,"11,1",,"80,4",,1200,,,
EM09320itkt,2861969,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,,NA,
EM09320itkfi,2861968,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
DI11002itkfi,2862008,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,"21,9",,97,,100,,,,"40,2",,,,100,,,,"240,2",,,,50,,"0,52",,171,,39,,372,,11,,"78,9",,1800,,,
DI11002itkt,2862009,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,treated,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,,NA,
RE09001itkt,2862013,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48746,https://doi.org/10.15454/ZEEZIW,RE09001,VIRTUAL_TRIAL,,,,,,,,treated,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,,NA,
RE09001itkfi,2862012,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48746,https://doi.org/10.15454/ZEEZIW,RE09001,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
EM07117itkt,2861985,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,6",,70,,,,94,,,,10,,,,58,,,,163,,59,,"0,84",,155,,,,284,,"12,14",,"81,7",,,,1315,
EM07117itkfi,2861984,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
CF09169itkt,2861993,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,,NA,
CF09169itkfi,2861992,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
DI10011itkfi,2861962,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
DI10011itkt,2861963,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,treated,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,,NA,
RE10099itkfi,2862010,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,49222,https://doi.org/10.15454/YP9ZYW,RE10099,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,"26,1",,138,,91,,,,"51,8",,,,62,,,,"204,8",,,,34,,"0,25",,123,,36,,381,,"10,7",,"79,5",,1590,,,
RE10099itkt,2862011,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,49222,https://doi.org/10.15454/YP9ZYW,RE10099,VIRTUAL_TRIAL,,,,,,,,treated,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,,NA,
DI11014itkfi,2862058,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,"21,1",,90,,100,,,,"72,1",,,,87,,,,"259,1",,,,67,,"0,75",,177,,100,,445,,"10,5",,"81,7",,1620,,,
DI11014itkt,2862059,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,,NA,
EM09318itkt,2862005,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,treated,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,,NA,
EM09318itkfi,2862004,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
AO11001itkfi,2862020,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48474,https://doi.org/10.15454/72RLFQ,AO11001,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
AO11001itkt,2862021,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48474,https://doi.org/10.15454/72RLFQ,AO11001,VIRTUAL_TRIAL,,,,,,,,treated,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,,NA,
AO11002itkt,2862023,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48844,https://doi.org/10.15454/IYISPL,AO11002,VIRTUAL_TRIAL,,,,,,,,treated,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,,NA,
AO11002itkfi,2862022,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48844,https://doi.org/10.15454/IYISPL,AO11002,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
AO11005itkt,2861997,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,49011,https://doi.org/10.15454/08Z5FH,AO11005,VIRTUAL_TRIAL,,,,,,,,treated,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,,NA,
AO11005itkfi,2861996,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,49011,https://doi.org/10.15454/08Z5FH,AO11005,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
AO11008itkt,2862017,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,49376,https://doi.org/10.15454/DLSQIN,AO11008,VIRTUAL_TRIAL,,,,,,,,treated,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,,NA,
AO11008itkfi,2862016,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,49376,https://doi.org/10.15454/DLSQIN,AO11008,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
EM09221itkfi,2862042,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
EM09221itkt,2862043,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,treated,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,,NA,
EM09222itkt,2862041,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,,NA,
EM09222itkfi,2862040,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
