,study_unique_id,study_title,study_description,description_of_the_experimental_design,start_date_of_study,end_date_of_study,contact_institution,geographic_location_country,experimental_site_name,geographic_location_lattitude,geographic_location_longitude,geographic_location_altitude,observatin_unit_description,description_of_growth_facilty
164,BTH_Orgeval_2001_SetA1,BTH_Orgeval_2001_SetA1,,,2000-10-20,2001-07-31,NA,,Orgeval,48.838,1.953,,NA,field
165,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,,,2004-10-20,2005-07-31,NA,,Dijon,47.277,5.094,,NA,field
166,BTH_Estrées-Mons_2005_SetA1,BTH_Estrées-Mons_2005_SetA1,,,2004-10-20,2005-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
167,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,,,2012-10-20,2013-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
168,BTH_Estrées-Mons_2001_SetB2,BTH_Estrées-Mons_2001_SetB2,,,2000-10-20,2001-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
169,BTH_Le_Moulon_2002_SetB1,BTH_Le_Moulon_2002_SetB1,,,2001-10-20,2002-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
170,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,,,2010-10-20,2011-07-31,NA,,Rennes,48.106,-1.791,,NA,field
171,BTH_Rennes_2013_SetB3_PIETIN-VERSE,BTH_Rennes_2013_SetB3_PIETIN-VERSE,,,2012-10-20,2013-07-31,NA,,Rennes,48.106,-1.791,,NA,field
172,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,,,2011-10-20,2012-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
173,BTH_Rennes_2004_SetB3,BTH_Rennes_2004_SetB3,,,2003-10-20,2004-07-31,NA,,Rennes,48.106,-1.791,,NA,field
174,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,,,2007-10-20,2008-07-31,NA,,Rennes,48.106,-1.791,,NA,field
175,BTH_Chaux_des_Prés_2011_SetA1,BTH_Chaux_des_Prés_2011_SetA1,,,2010-10-20,2011-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
176,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,,,2009-10-20,2010-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
177,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,,,2011-10-20,2012-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
178,BTH_Le_Moulon_2008_SetA1,BTH_Le_Moulon_2008_SetA1,,,2007-10-20,2008-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
179,BTH_Estrées-Mons_2000_SetB2,BTH_Estrées-Mons_2000_SetB2,,,1999-10-20,2000-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
180,BTH_Lusignan_2011_SetB3,BTH_Lusignan_2011_SetB3,,,2010-10-20,2011-07-31,NA,,Lusignan,46.4,0.07,,NA,field
181,BTH_Rennes_2001_SetB3,BTH_Rennes_2001_SetB3,,,2000-10-20,2001-07-31,NA,,Rennes,48.106,-1.791,,NA,field
182,BTH_Le_Moulon_2001_SetB3,BTH_Le_Moulon_2001_SetB3,,,2000-10-20,2001-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
183,BTH_Lusignan_2004_SetB2,BTH_Lusignan_2004_SetB2,,,2003-10-20,2004-07-31,NA,,Lusignan,46.4,0.07,,NA,field
184,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,,,2009-10-20,2010-07-31,NA,France,Epi-centre,47.029,2.331,,NA,field
185,BTH_Dijon_2014_SetB3,BTH_Dijon_2014_SetB3,,,2013-10-20,2014-07-31,NA,,Dijon,47.277,5.094,,NA,field
186,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,,,2009-10-20,2010-07-31,NA,,Rennes,48.106,-1.791,,NA,field
187,BTH_Dijon_2014_SetA2,BTH_Dijon_2014_SetA2,,,2013-10-20,2014-07-31,NA,,Dijon,47.277,5.094,,NA,field
188,BTH_Estrées-Mons_2014_SetA1,BTH_Estrées-Mons_2014_SetA1,,,2013-10-20,2014-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
189,BTH_Rennes_2006_SetA1,BTH_Rennes_2006_SetA1,,,2005-10-20,2006-07-31,NA,,Rennes,48.106,-1.791,,NA,field
190,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,,,2012-10-20,2013-07-31,NA,,Lusignan,46.4,0.07,,NA,field
191,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,,,2006-10-20,2007-07-31,NA,,Orgeval,48.838,1.953,,NA,field
192,BTH_Lusignan_2006_SetA2,BTH_Lusignan_2006_SetA2,,,2005-10-20,2006-07-31,NA,,Lusignan,46.4,0.07,,NA,field
193,BTH_Chaux_des_Prés_2008_SetB1,BTH_Chaux_des_Prés_2008_SetB1,,,2007-10-20,2008-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
194,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,,,2000-10-20,2001-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
195,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,,,2004-10-20,2005-07-31,NA,,Rennes,48.106,-1.791,,NA,field
196,BTH_Lusignan_2014_SetA2,BTH_Lusignan_2014_SetA2,,,2013-10-20,2014-07-31,NA,,Lusignan,46.4,0.07,,NA,field
197,BTH_Lusignan_2004_SetB3,BTH_Lusignan_2004_SetB3,,,2003-10-20,2004-07-31,NA,,Lusignan,46.4,0.07,,NA,field
198,BTH_Orgeval_2004_SetB3,BTH_Orgeval_2004_SetB3,,,2003-10-20,2004-07-31,NA,,Orgeval,48.838,1.953,,NA,field
199,BTH_Dijon_2004_SetB2,BTH_Dijon_2004_SetB2,,,2003-10-20,2004-07-31,NA,,Dijon,47.277,5.094,,NA,field
200,BTH_Colmar_2006_SetB1,BTH_Colmar_2006_SetB1,,,2005-10-20,2006-07-31,NA,,Colmar,48.064,7.33,,NA,field
201,BTH_Rennes_2011_SetB1,BTH_Rennes_2011_SetB1,,,2010-10-20,2011-07-31,NA,,Rennes,48.106,-1.791,,NA,field
202,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,,,2009-10-20,2010-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
203,BTH_Orgeval_2006_SetA1,BTH_Orgeval_2006_SetA1,,,2005-10-20,2006-07-31,NA,,Orgeval,48.838,1.953,,NA,field
204,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,,,2014-10-20,2015-07-31,NA,,Rennes,48.106,-1.791,,NA,field
205,BTH_Estrées-Mons_2009_SetB3,BTH_Estrées-Mons_2009_SetB3,,,2008-10-20,2009-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
206,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,,,2010-10-20,2011-07-31,NA,,Rennes,48.106,-1.791,,NA,field
207,BTH_Le_Moulon_2004_SetA2,BTH_Le_Moulon_2004_SetA2,,,2003-10-20,2004-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
208,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,,,2007-10-20,2008-07-31,NA,,Rennes,48.106,-1.791,,NA,field
209,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,,,2013-10-20,2014-07-31,NA,,Rennes,48.106,-1.791,,NA,field
210,BTH_Chaux_des_Prés_2002_SetA2,BTH_Chaux_des_Prés_2002_SetA2,,,2001-10-20,2002-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
211,BTH_Estrées-Mons_2015_SetB3,BTH_Estrées-Mons_2015_SetB3,,,2014-10-20,2015-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
212,BTH_Estrées-Mons_2006_SetA2,BTH_Estrées-Mons_2006_SetA2,,,2005-10-20,2006-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
213,BTH_Estrées-Mons_2000_SetB3,BTH_Estrées-Mons_2000_SetB3,,,1999-10-20,2000-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
214,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,,,2007-10-20,2008-07-31,NA,,Orgeval,48.838,1.953,,NA,field
215,BTH_Lusignan_2015_SetB3,BTH_Lusignan_2015_SetB3,,,2014-10-20,2015-07-31,NA,,Lusignan,46.4,0.07,,NA,field
216,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,,,2000-10-20,2001-07-31,NA,,Rennes,48.106,-1.791,,NA,field
217,BTH_Colmar_2001_SetB3,BTH_Colmar_2001_SetB3,,,2000-10-20,2001-07-31,NA,,Colmar,48.064,7.33,,NA,field
218,BTH_Chaux_des_Prés_2005_SetB3,BTH_Chaux_des_Prés_2005_SetB3,,,2004-10-20,2005-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
219,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,,,2004-10-20,2005-07-31,NA,,Dijon,47.277,5.094,,NA,field
220,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,,,2011-10-20,2012-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
221,BTH_Chaux_des_Prés_2007_SetA1,BTH_Chaux_des_Prés_2007_SetA1,,,2006-10-20,2007-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
222,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,,,2004-10-20,2005-07-31,NA,,Rennes,48.106,-1.791,,NA,field
223,BTH_Dijon_2011_SetB1,BTH_Dijon_2011_SetB1,,,2010-10-20,2011-07-31,NA,,Dijon,47.277,5.094,,NA,field
224,BTH_Clermont-Ferrand_2008_TECH,BTH_Clermont-Ferrand_2008_TECH,,,2007-10-20,2008-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
225,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,,,2011-10-20,2012-07-31,NA,,Dijon,47.277,5.094,,NA,field
226,BTH_Rennes_2014_SetA1_PIETIN-VERSE,BTH_Rennes_2014_SetA1_PIETIN-VERSE,,,2013-10-20,2014-07-31,NA,,Rennes,48.106,-1.791,,NA,field
227,BTH_Le_Moulon_2014_SetA2,BTH_Le_Moulon_2014_SetA2,,,2013-10-20,2014-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
228,BTH_Dijon_2009_SetB2,BTH_Dijon_2009_SetB2,,,2008-10-20,2009-07-31,NA,,Dijon,47.277,5.094,,NA,field
229,BTH_Le_Moulon_2009_TECH,BTH_Le_Moulon_2009_TECH,,,2008-10-20,2009-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
230,BTH_Orgeval_2012_SetA2,BTH_Orgeval_2012_SetA2,,,2011-10-20,2012-07-31,NA,,Orgeval,48.838,1.953,,NA,field
231,BTH_Chaux_des_Prés_2007_SetB3,BTH_Chaux_des_Prés_2007_SetB3,,,2006-10-20,2007-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
232,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,,,2008-10-20,2009-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
233,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,,,2007-10-20,2008-07-31,NA,,Rennes,48.106,-1.791,,NA,field
234,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,,,2006-10-20,2007-07-31,NA,,Rennes,48.106,-1.791,,NA,field
235,BTH_Le_Moulon_2002_SetB3,BTH_Le_Moulon_2002_SetB3,,,2001-10-20,2002-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
236,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,,,2007-10-20,2008-07-31,NA,,Rennes,48.106,-1.791,,NA,field
237,BTH_Dijon_2007_SetB1,BTH_Dijon_2007_SetB1,,,2006-10-20,2007-07-31,NA,,Dijon,47.277,5.094,,NA,field
238,BTH_Dijon_2012_SetB3,BTH_Dijon_2012_SetB3,,,2011-10-20,2012-07-31,NA,,Dijon,47.277,5.094,,NA,field
239,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,,,2006-10-20,2007-07-31,NA,,Rennes,48.106,-1.791,,NA,field
240,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,,,2004-10-20,2005-07-31,NA,,Orgeval,48.838,1.953,,NA,field
241,BTH_Lusignan_2011_TECH,BTH_Lusignan_2011_TECH,,,2010-10-20,2011-07-31,NA,,Lusignan,46.4,0.07,,NA,field
242,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,,,2006-10-20,2007-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
243,BTH_Le_Moulon_2012_SetA1,BTH_Le_Moulon_2012_SetA1,,,2011-10-20,2012-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
244,BTH_Chaux_des_Prés_2002_SetA1,BTH_Chaux_des_Prés_2002_SetA1,,,2001-10-20,2002-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
245,BTH_Estrées-Mons_2006_SetB3,BTH_Estrées-Mons_2006_SetB3,,,2005-10-20,2006-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
246,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,,,2006-10-20,2007-07-31,NA,,Rennes,48.106,-1.791,,NA,field
247,BTH_Colmar_2005_SetB1,BTH_Colmar_2005_SetB1,,,2004-10-20,2005-07-31,NA,,Colmar,48.064,7.33,,NA,field
248,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,,,2009-10-20,2010-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
249,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,,,2009-10-20,2010-07-31,NA,,Dijon,47.277,5.094,,NA,field
250,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,,,2002-10-20,2003-07-31,NA,,Lusignan,46.4,0.07,,NA,field
251,BTH_Clermont-Ferrand_2002_SetA2,BTH_Clermont-Ferrand_2002_SetA2,,,2001-10-20,2002-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
252,BTH_Lusignan_2002_SetB2,BTH_Lusignan_2002_SetB2,,,2001-10-20,2002-07-31,NA,,Lusignan,46.4,0.07,,NA,field
253,BTH_Rennes_200_SetB1_PIETIN-VERSE,BTH_Rennes_2004_SetB1_PIETIN-VERSE,,,2003-10-20,2004-07-31,NA,,Rennes,48.106,-1.791,,NA,field
254,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,,,2012-10-20,2013-07-31,NA,,Rennes,48.106,-1.791,,NA,field
255,BTH_Dijon_2002_SetB1,BTH_Dijon_2002_SetB1,,,2001-10-20,2002-07-31,NA,,Dijon,47.277,5.094,,NA,field
256,BTH_Estrées-Mons_2006_SetB2,BTH_Estrées-Mons_2006_SetB2,,,2005-10-20,2006-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
257,BTH_Estrées-Mons_2004_SetB3,BTH_Estrées-Mons_2004_SetB3,,,2003-10-20,2004-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
258,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,,,2014-10-20,2015-07-31,NA,,Lusignan,46.4,0.07,,NA,field
259,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,,,2008-10-20,2009-07-31,NA,,Dijon,47.277,5.094,,NA,field
260,BTH_Lusignan_2000_SetB2,BTH_Lusignan_2000_SetB2,,,1999-10-20,2000-07-31,NA,,Lusignan,46.4,0.07,,NA,field
261,BTH_Lusignan_2009_SetA2,BTH_Lusignan_2009_SetA2,,,2008-10-20,2009-07-31,NA,,Lusignan,46.4,0.07,,NA,field
262,BTH_Chaux_des_Prés_2006_SetA1,BTH_Chaux_des_Prés_2006_SetA1,,,2005-10-20,2006-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
263,BTH_Orgeval_2000_SetB2,BTH_Orgeval_2000_SetB2,,,1999-10-20,2000-07-31,NA,,Orgeval,48.838,1.953,,NA,field
264,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,,,2012-10-20,2013-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
265,BTH_Lusignan_2011_SetA2,BTH_Lusignan_2011_SetA2,,,2010-10-20,2011-07-31,NA,,Lusignan,46.4,0.07,,NA,field
266,BTH_Chaux_des_Prés_2011_SetB3,BTH_Chaux_des_Prés_2011_SetB3,,,2010-10-20,2011-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
267,BTH_Clermont-Ferrand_2004_TECH,BTH_Clermont-Ferrand_2004_TECH,,,2003-10-20,2004-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
268,BTH_Dijon_2007_SetA2,BTH_Dijon_2007_SetA2,,,2006-10-20,2007-07-31,NA,,Dijon,47.277,5.094,,NA,field
269,BTH_Lusignan_2013_SetA1,BTH_Lusignan_2013_SetA1,,,2012-10-20,2013-07-31,NA,,Lusignan,46.4,0.07,,NA,field
270,BTH_Le_Moulon_2008_SetA2,BTH_Le_Moulon_2008_SetA2,,,2007-10-20,2008-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
271,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,,,2007-10-20,2008-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
272,BTH_Rennes_2011_SetB3,BTH_Rennes_2011_SetB3,,,2010-10-20,2011-07-31,NA,,Rennes,48.106,-1.791,,NA,field
273,BTH_Estrées-Mons_2006_SetA1,BTH_Estrées-Mons_2006_SetA1,,,2005-10-20,2006-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
274,BTH_Estrées-Mons_2002_SetB1,BTH_Estrées-Mons_2002_SetB1,,,2001-10-20,2002-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
275,BTH_Le_Moulon_2004_SetA1,BTH_Le_Moulon_2004_SetA1,,,2003-10-20,2004-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
276,BTH_Clermont-Ferrand_2010_SetB1,BTH_Clermont-Ferrand_2010_SetB1,,,2009-10-20,2010-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
277,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,,,2007-10-20,2008-07-31,NA,,Dijon,47.277,5.094,,NA,field
278,BTH_Clermont-Ferrand_2011_SetB3,BTH_Clermont-Ferrand_2011_SetB3,,,2010-10-20,2011-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
279,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,,,2012-10-20,2013-07-31,NA,,Lusignan,46.4,0.07,,NA,field
280,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,,,2006-10-20,2007-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
281,BTH_Chaux_des_Prés_2012_SetB3,BTH_Chaux_des_Prés_2012_SetB3,,,2011-10-20,2012-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
282,BTH_Dijon_2009_SetB1,BTH_Dijon_2009_SetB1,,,2008-10-20,2009-07-31,NA,,Dijon,47.277,5.094,,NA,field
283,BTH_Dijon_2001_SetA2,BTH_Dijon_2001_SetA2,,,2000-10-20,2001-07-31,NA,,Dijon,47.277,5.094,,NA,field
284,BTH_Dijon_2000_SetA,BTH_Dijon_2000_SetA,,,1999-10-20,2000-07-31,NA,,Dijon,47.277,5.094,,NA,field
285,BTH_Lusignan_2009_SetB3,BTH_Lusignan_2009_SetB3,,,2008-10-20,2009-07-31,NA,,Lusignan,46.4,0.07,,NA,field
286,BTH_Colmar_2000_SetB2,BTH_Colmar_2000_SetB2,,,1999-10-20,2000-07-31,NA,,Colmar,48.064,7.33,,NA,field
287,BTH_Chaux_des_Prés_2002_SetB1,BTH_Chaux_des_Prés_2002_SetB1,,,2001-10-20,2002-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
288,BTH_Clermont-Ferrand_2009_TECH,BTH_Clermont-Ferrand_2009_TECH,,,2008-10-20,2009-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
289,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,,,2012-10-20,2013-07-31,NA,,Rennes,48.106,-1.791,,NA,field
290,BTH_Rennes_2005_SetB1,BTH_Rennes_2005_SetB1,,,2004-10-20,2005-07-31,NA,,Rennes,48.106,-1.791,,NA,field
291,BTH_Champagne-céréales_2011_SetA1,BTH_Champagne-céréales_2011_SetA1,,,2010-10-20,2011-07-31,NA,France,Champagne-céréales,49.42,4.272,,NA,field
292,BTH_Orgeval_2003_SetA1,BTH_Orgeval_2003_SetA1,,,2002-10-20,2003-07-31,NA,,Orgeval,48.838,1.953,,NA,field
293,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,,,2002-10-20,2003-07-31,NA,,Rennes,48.106,-1.791,,NA,field
294,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,,,2003-10-20,2004-07-31,NA,,Lusignan,46.4,0.07,,NA,field
295,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,,,1999-10-20,2000-07-31,NA,,Rennes,48.106,-1.791,,NA,field
296,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,,,2011-10-20,2012-07-31,NA,,Rennes,48.106,-1.791,,NA,field
297,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,,,2009-10-20,2010-07-31,NA,,Orgeval,48.838,1.953,,NA,field
298,BTH_Le_Moulon_2014_SetB3,BTH_Le_Moulon_2014_SetB3,,,2013-10-20,2014-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
299,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,,,2009-10-20,2010-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
300,BTH_Orgeval_2011_SetB2,BTH_Orgeval_2011_SetB2,,,2010-10-20,2011-07-31,NA,,Orgeval,48.838,1.953,,NA,field
301,BTH_Orgeval_2008_SetB2,BTH_Orgeval_2008_SetB2,,,2007-10-20,2008-07-31,NA,,Orgeval,48.838,1.953,,NA,field
302,BTH_Rennes_2002_SetA1,BTH_Rennes_2002_SetA1,,,2001-10-20,2002-07-31,NA,,Rennes,48.106,-1.791,,NA,field
303,BTH_Rennes_2003_SetB1,BTH_Rennes_2003_SetB1,,,2002-10-20,2003-07-31,NA,,Rennes,48.106,-1.791,,NA,field
304,BTH_Clermont-Ferrand_2011_SetB1,BTH_Clermont-Ferrand_2011_SetB1,,,2010-10-20,2011-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
305,BTH_Le_Moulon_2012_SetB1,BTH_Le_Moulon_2012_SetB1,,,2011-10-20,2012-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
306,BTH_Lusignan_2005_SetA2,BTH_Lusignan_2005_SetA2,,,2004-10-20,2005-07-31,NA,,Lusignan,46.4,0.07,,NA,field
307,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,,,2014-10-20,2015-07-31,NA,France,Epi-centre,47.029,2.331,,NA,field
308,BTH_Estrées-Mons_2000_SetA,BTH_Estrées-Mons_2000_SetA,,,1999-10-20,2000-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
309,BTH_Rennes_2014_SetB2_PIETIN-VERSE,BTH_Rennes_2014_SetB2_PIETIN-VERSE,,,2013-10-20,2014-07-31,NA,,Rennes,48.106,-1.791,,NA,field
310,BTH_Clermont-Ferrand_2006_SetB1,BTH_Clermont-Ferrand_2006_SetB1,,,2005-10-20,2006-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
311,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,,,2000-10-20,2001-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
312,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,,,2014-10-20,2015-07-31,NA,France,Champagne-céréales,49.42,4.272,,NA,field
313,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,,,2006-10-20,2007-07-31,NA,,Lusignan,46.4,0.07,,NA,field
314,BTH_Clermont-Ferrand_2003_SetB2,BTH_Clermont-Ferrand_2003_SetB2,,,2002-10-20,2003-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
315,BTH_Dijon_2000_SetB2,BTH_Dijon_2000_SetB2,,,1999-10-20,2000-07-31,NA,,Dijon,47.277,5.094,,NA,field
316,BTH_Chaux_des_Prés_2000_SetB1,BTH_Chaux_des_Prés_2000_SetB1,,,1999-10-20,2000-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
317,BTH_Rennes_2002_SetA2_PIETIN-VERSE,BTH_Rennes_2002_SetA2_PIETIN-VERSE,,,2001-10-20,2002-07-31,NA,,Rennes,48.106,-1.791,,NA,field
318,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,,,2005-10-20,2006-07-31,NA,,Colmar,48.064,7.33,,NA,field
319,BTH_Rennes_2001_SetB1,BTH_Rennes_2001_SetB1,,,2000-10-20,2001-07-31,NA,,Rennes,48.106,-1.791,,NA,field
320,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,,,2009-10-20,2010-07-31,NA,,Lusignan,46.4,0.07,,NA,field
321,BTH_Clermont-Ferrand_2009_SetB1,BTH_Clermont-Ferrand_2009_SetB1,,,2008-10-20,2009-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
322,BTH_Colmar_2000_SetA,BTH_Colmar_2000_SetA,,,1999-10-20,2000-07-31,NA,,Colmar,48.064,7.33,,NA,field
323,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,,,2007-10-20,2008-07-31,NA,,Dijon,47.277,5.094,,NA,field
324,BTH_Lusignan_2011_SetA1,BTH_Lusignan_2011_SetA1,,,2010-10-20,2011-07-31,NA,,Lusignan,46.4,0.07,,NA,field
325,BTH_Lusignan_2004_SetA2,BTH_Lusignan_2004_SetA2,,,2003-10-20,2004-07-31,NA,,Lusignan,46.4,0.07,,NA,field
326,BTH_Orgeval_2009_SetB3,BTH_Orgeval_2009_SetB3,,,2008-10-20,2009-07-31,NA,,Orgeval,48.838,1.953,,NA,field
327,BTH_Lusignan_2000_TECH,BTH_Lusignan_2000_TECH,,,1999-10-20,2000-07-31,NA,,Lusignan,46.4,0.07,,NA,field
328,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,,,2012-10-20,2013-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
