observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2821712,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,27042,https://doi.org/10.15454/1NUEUQ,RE05041,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,41",,"74,6",,1,,"65,16",
1,2821714,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,27042,https://doi.org/10.15454/1NUEUQ,RE05041,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,52",,"78,3",,,,"80,92",
2,2821713,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,27042,https://doi.org/10.15454/1NUEUQ,RE05041,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,14",,"75,2",,"1,5",,"59,21",
2,2821715,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,27042,https://doi.org/10.15454/1NUEUQ,RE05041,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,76",,"77,3",,,,"73,19",
1,2821754,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,82",,"78,8",,,,"88,21",
2,2821753,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,33",,70,,8,,"50,57",
1,2821752,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,83",,"69,8",,"4,2",,"48,96",
2,2821755,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,61",,"78,2",,,,"87,73",
1,2821764,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"14,26",,68,,"4,5",,"45,05",
2,2821765,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"14,72",,"68,6",,6,,"42,5",
2,2821767,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,91",,"75,5",,,,"76,66",
1,2821766,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,16",,"77,6",,,,"76,83",
2,2821705,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,48450,https://doi.org/10.15454/XWZ3V6,EM05312,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,64",,"68,1",,"4,8",,"48,94",
1,2821706,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,48450,https://doi.org/10.15454/XWZ3V6,EM05312,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,64",,"76,2",,,,"75,16",
1,2821704,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,48450,https://doi.org/10.15454/XWZ3V6,EM05312,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,83",,"69,6",,"2,5",,"50,27",
2,2821707,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,48450,https://doi.org/10.15454/XWZ3V6,EM05312,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,98",,"75,6",,,,"75,17",
2,2821731,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49523,https://doi.org/10.15454/MMQSM6,CF05140,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,65",,"81,2",,,,"72,55",
1,2821730,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49523,https://doi.org/10.15454/MMQSM6,CF05140,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,8",,"76,7",,,,"72,33",
2,2821729,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49523,https://doi.org/10.15454/MMQSM6,CF05140,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,61",,"72,2",,"4,2",,"51,84",
1,2821728,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49523,https://doi.org/10.15454/MMQSM6,CF05140,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,78",,"70,6",,"2,8",,49,
2,2821745,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26974,https://doi.org/10.15454/BQTYVO,CF05161,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,69",,"68,1",,"3,5",,"46,74",
2,2821747,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26974,https://doi.org/10.15454/BQTYVO,CF05161,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,25",,"73,3",,,,"70,96",
1,2821746,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26974,https://doi.org/10.15454/BQTYVO,CF05161,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,27",,"73,9",,,,"77,03",
