observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2824431,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48712,gnpis_pui:holding-921_taxon-4898_accession-48712,EM06170,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,31",,64,,"103,21",
2,2824467,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48857,gnpis_pui:holding-921_taxon-4898_accession-48857,AO07301,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,16",,"71,3",,"94,06",
1,2824464,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48857,gnpis_pui:holding-921_taxon-4898_accession-48857,AO07301,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"8,45",,"69,9",,"72,91",
2,2824465,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48857,gnpis_pui:holding-921_taxon-4898_accession-48857,AO07301,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"8,9",,"69,9",,"71,4",
1,2824466,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48857,gnpis_pui:holding-921_taxon-4898_accession-48857,AO07301,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,19",,"70,7",,"95,81",
2,2824451,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48866,gnpis_pui:holding-921_taxon-4898_accession-48866,DI07012,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,86",,"68,4",,"98,67",
2,2824449,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48866,gnpis_pui:holding-921_taxon-4898_accession-48866,DI07012,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"10,45",,67,,"76,5",
1,2824448,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48866,gnpis_pui:holding-921_taxon-4898_accession-48866,DI07012,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"10,24",,"67,1",,"71,72",
1,2824450,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48866,gnpis_pui:holding-921_taxon-4898_accession-48866,DI07012,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,64",,"67,4",,"93,1",
2,2824535,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49542,gnpis_pui:holding-921_taxon-4898_accession-49542,DI07010,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,32",,"71,9",,"96,69",
2,2824533,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49542,gnpis_pui:holding-921_taxon-4898_accession-49542,DI07010,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"9,75",,"70,5",,"72,92",
1,2824534,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49542,gnpis_pui:holding-921_taxon-4898_accession-49542,DI07010,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,68",,"72,5",,"106,09",
1,2824532,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49542,gnpis_pui:holding-921_taxon-4898_accession-49542,DI07010,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,72",,70,,"75,98",
1,2824550,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49553,gnpis_pui:holding-921_taxon-4898_accession-49553,EM06090,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,04",,"71,8",,"107,74",
2,2824551,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49553,gnpis_pui:holding-921_taxon-4898_accession-49553,EM06090,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,67",,"72,8",,"103,14",
2,2824549,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49553,gnpis_pui:holding-921_taxon-4898_accession-49553,EM06090,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"8,86",,"70,7",,"76,81",
1,2824548,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49553,gnpis_pui:holding-921_taxon-4898_accession-49553,EM06090,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,96",,"70,2",,"73,41",
1,2824514,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48479,gnpis_pui:holding-921_taxon-4898_accession-48479,CF06200,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,87",,"67,3",,"91,16",
2,2824515,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48479,gnpis_pui:holding-921_taxon-4898_accession-48479,CF06200,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,63",,"64,9",,"94,45",
2,2824513,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48479,gnpis_pui:holding-921_taxon-4898_accession-48479,CF06200,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"10,87",,"65,1",,73,
1,2824512,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48479,gnpis_pui:holding-921_taxon-4898_accession-48479,CF06200,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,02",,"74,1",,"67,42",
2,2824479,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49672,gnpis_pui:holding-921_taxon-4898_accession-49672,RE06078,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,31",,"74,7",,"92,98",
