observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,ht(CO_321:1000218),ht(CO_321:1000218).date,itk,oid(CO_321:1000145),oid(CO_321:1000145).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
ARKEOSitknt,2970660,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,27751,https://doi.org/10.15454/OYNH7Y,ARKEOS,VIRTUAL_TRIAL,,,,,,,,2015,92,,non traite fongicides,1,,37.5,,130,,11.3,,76.2,,103.1,,3,,96.7,,3.5,,5.5,,1,
ARKEOSitkfi,2970659,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,27751,https://doi.org/10.15454/OYNH7Y,ARKEOS,VIRTUAL_TRIAL,,,,,,,,2015,98,,faible intrant,1,,38.7,,130,,11.3,,76.2,,98.4,,2.5,,91.9,,1,,5,,1,
EM12096itk15,2970522,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,,,1,,,,,,,,,
EM12096itknt,2970524,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,2015,98,,non traite fongicides,1,,47.5,,140,,12.2,,82.8,,107.1,,2,,100.5,,1,,3,,1,
EM12096itkt,2970525,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,2015,98,,traite,,,52.8,,140,,12.3,,83.8,,97.8,,,,116.7,,,,,,1,
EM12096itkfi,2970523,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,2015,97,,faible intrant,1,,49.5,,139,,11.4,,83.2,,100.6,,3,,94,,1,,2.5,,1,
EM12231itk15,2970602,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,,,1,,,,,,,,,
EM12231itkt,2970605,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,2015,98,,traite,,,47.8,,133,,11.7,,82.3,,97.3,,,,116.1,,,,,,3.5,
EM12231itkfi,2970603,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,2015,96,,faible intrant,1,,47.4,,134,,10.9,,82.3,,111.9,,2,,104.6,,1,,5.5,,1,
EM12231itknt,2970604,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,2015,94,,non traite fongicides,1,,43.9,,134,,11.3,,81.6,,104,,2,,97.5,,1,,5.5,,2,
