observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2819658,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,,,"64,7",,"79,02",
1,2819660,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"47,84",,"10,73",,"70,2",,"110,5",
1,2819656,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"41,55",,"8,83",,64,,"81,6",
2,2819599,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,,,"60,9",,"68,24",
1,2819596,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"44,84",,"9,9",,"67,8",,"65,73",
2,2819601,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"56,71",,"11,64",,"72,4",,"102,98",
1,2819598,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,,,"57,3",,"70,61",
2,2819597,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"42,31",,"9,78",,"64,5",,"64,26",
1,2819600,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"53,76",,"11,17",,"70,2",,"100,94",
2,2819745,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"53,66",,"10,46",,"71,4",,"107,84",
1,2819744,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"55,45",,"10,68",,"73,4",,"114,58",
1,2819742,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,,,"69,6",,"81,77",
