observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,ht(CO_321:1000218),ht(CO_321:1000218).date,itk,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF13085itkt,2972613,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,2015,114,,traite,,,131,,10.9,,82.5,,107.4,,,,124.3,,,,,,2.5,
CF13187itk15,2972706,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61181,https://doi.org/10.15454/RVUPRG,CF13187,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,3,,,,,,,,,
CF13187itkt,2972709,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61181,https://doi.org/10.15454/RVUPRG,CF13187,VIRTUAL_TRIAL,,,,,,,,2015,107,,traite,,,136,,11.2,,79.7,,96.4,,,,111.7,,,,,,1.5,
CF13187itknt,2972708,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61181,https://doi.org/10.15454/RVUPRG,CF13187,VIRTUAL_TRIAL,,,,,,,,2015,105,,non traite fongicides,1,,136,,,,76.5,,93.9,,1,,85.7,,1,,5.5,,1,
CF13187itkfi,2972707,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61181,https://doi.org/10.15454/RVUPRG,CF13187,VIRTUAL_TRIAL,,,,,,,,2015,110,,faible intrant,1,,135,,11.2,,76.8,,111.2,,2.5,,93.6,,1,,4,,1,
EM13073itk15,2972690,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,6,,,,,,,,,
EM13073itkfi,2972691,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,2015,95,,faible intrant,1,,136,,11.2,,78.2,,100.5,,4.5,,84.6,,1,,3,,1,
EM13073itknt,2972692,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,2015,95,,non traite fongicides,1,,138,,,,78,,91.9,,3,,83.8,,1,,3,,1.5,
EM13073itkt,2972693,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,2015,98,,traite,,,136,,11.1,,82,,97.8,,,,113.2,,,,,,1,
EM13249itk15,2972710,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61447,https://doi.org/10.15454/NTKRK8,EM13249,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,2,,,,,,,,,
EM13249itkt,2972713,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61447,https://doi.org/10.15454/NTKRK8,EM13249,VIRTUAL_TRIAL,,,,,,,,2015,88,,traite,,,138,,10.9,,80.5,,101.4,,,,117.3,,,,,,1,
EM13249itknt,2972712,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61447,https://doi.org/10.15454/NTKRK8,EM13249,VIRTUAL_TRIAL,,,,,,,,2015,92,,non traite fongicides,1,,139,,,,77.1,,107,,1,,97.6,,2,,3,,1,
EM13249itkfi,2972711,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61447,https://doi.org/10.15454/NTKRK8,EM13249,VIRTUAL_TRIAL,,,,,,,,2015,90,,faible intrant,1,,138,,11,,77.7,,116.4,,1.5,,97.9,,1,,3.5,,1,
EM13243itk15,2972622,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61431,https://doi.org/10.15454/QSZ1IX,EM13243,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,3,,,,,,,,,
EM13243itkt,2972625,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61431,https://doi.org/10.15454/QSZ1IX,EM13243,VIRTUAL_TRIAL,,,,,,,,2015,96,,traite,,,138,,10.8,,83.8,,108.4,,,,125.5,,,,,,1,
EM13243itknt,2972624,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61431,https://doi.org/10.15454/QSZ1IX,EM13243,VIRTUAL_TRIAL,,,,,,,,2015,98,,non traite fongicides,1,,138,,,,81.6,,110.6,,2,,100.8,,1.5,,3,,1,
EM13243itkfi,2972623,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61431,https://doi.org/10.15454/QSZ1IX,EM13243,VIRTUAL_TRIAL,,,,,,,,2015,96,,faible intrant,1,,138,,10.5,,81.5,,115.2,,2.5,,96.9,,2,,3,,1,
RE13006itk15,2972734,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61514,https://doi.org/10.15454/KLQZHB,RE13006,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,4,,,,,,,,,
RE13006itknt,2972736,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61514,https://doi.org/10.15454/KLQZHB,RE13006,VIRTUAL_TRIAL,,,,,,,,2015,104,,non traite fongicides,1,,133,,,,80.6,,110.3,,1,,100.6,,2,,4,,4,
RE13006itkfi,2972735,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61514,https://doi.org/10.15454/KLQZHB,RE13006,VIRTUAL_TRIAL,,,,,,,,2015,106,,faible intrant,2.5,,132,,11.2,,81,,125.6,,1.5,,105.8,,1.5,,3.5,,1,
RE13006itkt,2972737,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61514,https://doi.org/10.15454/KLQZHB,RE13006,VIRTUAL_TRIAL,,,,,,,,2015,108,,traite,,,132,,11.4,,82.6,,100.2,,,,116,,,,,,5.5,
RE13007itk15,2972738,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61527,https://doi.org/10.15454/JN5VML,RE13007,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,3,,,,,,,,,
RE13007itkt,2972741,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61527,https://doi.org/10.15454/JN5VML,RE13007,VIRTUAL_TRIAL,,,,,,,,2015,102,,traite,,,131,,10.8,,82.2,,106.2,,,,123,,,,,,1,
RE13007itkfi,2972739,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61527,https://doi.org/10.15454/JN5VML,RE13007,VIRTUAL_TRIAL,,,,,,,,2015,100,,faible intrant,1,,128,,10.8,,81.2,,135.1,,1.5,,113.7,,1,,3,,1,
RE13007itknt,2972740,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61527,https://doi.org/10.15454/JN5VML,RE13007,VIRTUAL_TRIAL,,,,,,,,2015,100,,non traite fongicides,1,,132,,,,80.4,,123.4,,1,,112.5,,1,,3.5,,4.5,
RE13093itk15,2972638,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,4,,,,,,,,,
RE13093itknt,2972640,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,2015,110,,non traite fongicides,2,,136,,,,81.2,,119.8,,1.5,,109.3,,2,,3.5,,1,
RE13093itkfi,2972639,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,2015,108,,faible intrant,1,,136,,10.5,,80,,124.7,,2.5,,105,,1.5,,3,,1,
RE13093itkt,2972641,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,2015,108,,traite,,,136,,10.3,,82,,110.3,,,,127.7,,,,,,1,
RE13094itk15,2972646,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,5,,,,,,,,,
RE13094itkt,2972649,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,2015,110,,traite,,,129,,10.5,,78.9,,108.7,,,,125.9,,,,,,1,
RE13094itkfi,2972647,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,2015,110,,faible intrant,1,,128,,10.8,,79.9,,125.3,,3,,105.5,,2,,3.5,,1,
RE13094itknt,2972648,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,2015,112,,non traite fongicides,1,,128,,,,80.3,,122.3,,2,,111.5,,4.5,,3,,1,
AO14026itk15,2972718,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61704,https://doi.org/10.15454/ZZZLIR,AO14026,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,2,,,,,,,,,
AO14026itknt,2972720,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61704,https://doi.org/10.15454/ZZZLIR,AO14026,VIRTUAL_TRIAL,,,,,,,,2015,108,,non traite fongicides,1,,142,,,,80.6,,113.7,,1,,103.7,,1,,4,,1,
