observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2819950,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,97",,"66,5",,"4,2",,"41,77",
2,2820009,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"11,73",,"75,1",,,,"83,54",
1,2820006,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,69",,"64,2",,3,,"46,39",
1,2820008,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"11,38",,"74,6",,,,"77,28",
2,2820007,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,68",,"65,9",,"4,5",,"50,26",
2,2819939,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,05",,"65,6",,"4,2",,"44,64",
2,2819941,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"11,37",,"67,5",,,,"78,96",
1,2819940,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"11,54",,"73,6",,,,"71,97",
1,2819938,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,52",,"66,7",,"2,5",,"41,29",
2,2819899,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,51",,62,,6,,"36,59",
1,2819898,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,55",,"64,5",,"5,2",,"39,14",
2,2819901,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"12,03",,"71,6",,,,"75,03",
1,2819900,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"12,42",,"73,2",,,,"72,15",
2,2819997,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"11,29",,"78,5",,,,"82,86",
1,2819994,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,74",,"67,9",,"2,5",,"45,49",
1,2819996,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"11,8",,"73,5",,,,"84,18",
2,2819995,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,1",,NA,,"4,5",,"50,62",
2,2819915,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,28",,"69,7",,"8,5",,"57,15",
2,2819917,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"11,47",,"70,9",,,,"89,19",
1,2819916,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"12,26",,"74,4",,,,"94,92",
1,2819914,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,3",,"64,6",,6,,"53,81",
1,2819992,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"11,32",,"70,7",,,,"79,61",
2,2819993,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"11,53",,"70,7",,,,"81,52",
1,2819990,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,76",,"66,5",,1,,"60,45",
2,2819991,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,06",,"66,6",,1,,"63,05",
