observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2868136,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48469,https://doi.org/10.15454/ENAZXW,RE11058,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"102,16",,4,
2,2868126,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49688,https://doi.org/10.15454/F0TXTO,RE11073,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"94,63",,3,
1,2868125,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49688,https://doi.org/10.15454/F0TXTO,RE11073,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"101,92",,6,
2,2868122,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49577,https://doi.org/10.15454/DGTMEC,RE11075,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"101,2",,6,
1,2868121,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49577,https://doi.org/10.15454/DGTMEC,RE11075,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"105,79",,7,
2,2868162,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49419,https://doi.org/10.15454/IRCHBB,RE11087,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"89,12",,5,
1,2868161,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49419,https://doi.org/10.15454/IRCHBB,RE11087,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"100,91",,3,
1,2868167,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,60929,https://doi.org/10.15454/2XDPMU,AO12019,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"95,34",,7,
2,2868168,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,60929,https://doi.org/10.15454/2XDPMU,AO12019,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"95,58",,2,
1,2868169,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,60912,https://doi.org/10.15454/5FEVH3,AO12018,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"86,08",,3,
2,2868170,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,60912,https://doi.org/10.15454/5FEVH3,AO12018,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"71,7",,7,
1,2868123,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,60945,https://doi.org/10.15454/VXRK5Y,AO12020,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"93,3",,6,
2,2868124,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,60945,https://doi.org/10.15454/VXRK5Y,AO12020,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"89,04",,8,
1,2868157,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61023,https://doi.org/10.15454/NQSOJJ,RE11060,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,89,,8,
2,2868158,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61023,https://doi.org/10.15454/NQSOJJ,RE11060,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"91,04",,7,
2,2868156,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"100,59",,1,
1,2868155,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"98,36",,1,
2,2868128,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"98,64",,1,
1,2868127,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"104,73",,1,
2,2868130,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49318,https://doi.org/10.15454/WXGPLG,AO12014,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"106,49",,9,
1,2868153,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61443,https://doi.org/10.15454/61JYKU,CF11140,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"90,93",,1,
