observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2852140,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48814,https://doi.org/10.15454/QM62JM,DI10015,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"61,81",
2,2852150,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"63,23",
1,2852149,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"61,38",
2,2852118,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,26978,https://doi.org/10.15454/Z3MNYF,BAROK,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"58,57",
1,2852117,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,26978,https://doi.org/10.15454/Z3MNYF,BAROK,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"71,14",
2,2852190,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48451,https://doi.org/10.15454/L5GF1L,CF09225,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"60,56",
1,2852189,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48451,https://doi.org/10.15454/L5GF1L,CF09225,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"53,71",
2,2852194,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48700,https://doi.org/10.15454/C60S9I,CF09227,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"55,82",
1,2852193,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48700,https://doi.org/10.15454/C60S9I,CF09227,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"62,41",
2,2852148,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48805,https://doi.org/10.15454/XQX8MF,CF09276,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"56,02",
1,2852147,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48805,https://doi.org/10.15454/XQX8MF,CF09276,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"69,38",
1,2852181,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49158,https://doi.org/10.15454/UFYMWM,EM08231,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"62,63",
2,2852182,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49158,https://doi.org/10.15454/UFYMWM,EM08231,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"62,49",
2,2852168,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48542,https://doi.org/10.15454/XWSV3O,RE09063,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"64,41",
1,2852167,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48542,https://doi.org/10.15454/XWSV3O,RE09063,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"59,74",
2,2852134,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49050,https://doi.org/10.15454/6F6EN3,RE09079,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"58,02",
1,2852133,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49050,https://doi.org/10.15454/6F6EN3,RE09079,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"62,92",
2,2852130,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,26914,https://doi.org/10.15454/5YB44K,PREMIO,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"55,18",
1,2852129,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,26914,https://doi.org/10.15454/5YB44K,PREMIO,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"56,15",
1,2852163,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49428,https://doi.org/10.15454/MX3ENS,RE09073,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"58,29",
2,2852164,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49428,https://doi.org/10.15454/MX3ENS,RE09073,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"57,25",
2,2852180,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49344,gnpis_pui:holding-921_taxon-4898_accession-49344,AO10027,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"54,34",
1,2852179,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49344,gnpis_pui:holding-921_taxon-4898_accession-49344,AO10027,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"58,15",
2,2852128,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49728,gnpis_pui:holding-921_taxon-4898_accession-49728,DI10013,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"59,95",
1,2852127,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49728,gnpis_pui:holding-921_taxon-4898_accession-49728,DI10013,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"62,85",
1,2852175,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49420,gnpis_pui:holding-921_taxon-4898_accession-49420,AO10025,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"64,71",
2,2852176,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49420,gnpis_pui:holding-921_taxon-4898_accession-49420,AO10025,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,NA,
2,2852146,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49183,gnpis_pui:holding-921_taxon-4898_accession-49183,EM08147,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"68,49",
1,2852145,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49183,gnpis_pui:holding-921_taxon-4898_accession-49183,EM08147,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,NA,
1,2852171,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49328,gnpis_pui:holding-921_taxon-4898_accession-49328,EM08012,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"57,61",
2,2852172,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49328,gnpis_pui:holding-921_taxon-4898_accession-49328,EM08012,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"54,8",
2,2852126,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48684,gnpis_pui:holding-921_taxon-4898_accession-48684,DI10012,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"54,46",
1,2852125,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48684,gnpis_pui:holding-921_taxon-4898_accession-48684,DI10012,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"60,16",
1,2852143,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49122,gnpis_pui:holding-921_taxon-4898_accession-49122,EM08222,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"58,98",
2,2852144,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49122,gnpis_pui:holding-921_taxon-4898_accession-49122,EM08222,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"45,55",
1,2852161,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49601,gnpis_pui:holding-921_taxon-4898_accession-49601,HadmF11340,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"65,3",
2,2852162,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49601,gnpis_pui:holding-921_taxon-4898_accession-49601,HadmF11340,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"65,22",
2,2852196,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48589,gnpis_pui:holding-921_taxon-4898_accession-48589,CF09226,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"62,49",
1,2852195,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48589,gnpis_pui:holding-921_taxon-4898_accession-48589,CF09226,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"67,22",
