observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF07018itknt,2845891,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,88,,,,"52,1",,148,,,,"80,2",,"97,3",,"1,5",,"104,6",,"1,5",
Strub061859-1itknt,2845870,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,102,,,,"51,8",,150,,,,"80,6",,"103,9",,1,,"111,7",,"2,5",
Bermudeitknt,2845855,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,86,,,,"52,7",,145,,,,"80,6",,"104,7",,2,,"112,5",,1,
RE07019itknt,2845858,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,84,,,,"50,8",,144,,,,"81,4",,"98,6",,"1,5",,106,,1,
RE07019itkfi,2845857,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,81,,1,,"52,8",,144,,"9,82",,"81,8",,"98,8",,"1,5",,"98,8",,2,
Granamaxitkt,2845928,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2010,79,,,,"58,4",,145,,"10,5",,"80,6",,"107,1",,,,"116,9",,1,
Flamenkoitknt,2845912,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,89,,,,52,,144,,,,"78,8",,98,,1,,"105,4",,1,
RE07019itkt,2845859,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2010,74,,,,51,,144,,"10,62",,"82,2",,101,,,,"110,3",,1,
Flamenkoitkfi,2845911,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,"1,5",,"54,2",,144,,"9,81",,"77,6",,"99,1",,"1,5",,"99,1",,1,
EM07117itkt,2845865,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2010,84,,,,"46,8",,150,,"10,16",,"81,1",,"108,3",,,,"118,3",,1,
EM07117itkfi,2845863,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,92,,"1,5",,"49,8",,150,,"8,84",,"80,8",,"104,5",,1,,"104,5",,1,
RE07093itknt,2845888,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,84,,,,"55,4",,144,,,,"81,4",,"95,8",,"1,5",,103,,2,
RE07093itkfi,2845887,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,1,,"55,2",,144,,"10,39",,81,,"100,2",,"1,5",,"100,2",,1,
AO10001itknt,2845900,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,49021,https://doi.org/10.15454/JP7IQ2,AO10001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,,,"54,6",,145,,,,"81,3",,"91,4",,1,,"98,3",,1,
EM07117itknt,2845864,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,94,,,,"48,3",,146,,,,"81,6",,"104,1",,1,,"111,9",,4,
RE07093itkt,2845889,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,,,"54,5",,144,,"10,87",,"81,4",,"106,3",,,,"116,1",,1,
AO10001itkt,2845901,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,49021,https://doi.org/10.15454/JP7IQ2,AO10001,VIRTUAL_TRIAL,,,,,,,,treated,2010,79,,,,"55,4",,146,,"10,76",,"81,6",,"94,6",,,,"103,3",,4,
CF07267itkfi,2845932,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27794,https://doi.org/10.15454/LNBBQV,CF07267,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,1,,58,,144,,"9,96",,"80,6",,"96,7",,"1,5",,"96,7",,1,
Caphornitknt,2845903,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,78,,,,52,,144,,,,"77,4",,"94,1",,1,,"101,1",,"1,5",
EM06017itkt,2845847,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,,,"51,3",,144,,"11,26",,"84,2",,"100,8",,,,"110,1",,1,
AO10001itkfi,2845899,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,49021,https://doi.org/10.15454/JP7IQ2,AO10001,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,1,,57,,150,,"10,27",,"81,2",,"97,4",,1,,"97,4",,1,
Hendrixitkt,2845838,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,,,"51,2",,145,,"11,33",,"82,3",,"93,8",,,,"102,4",,1,
Hendrixitknt,2845837,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,,,"50,7",,148,,,,"83,1",,"90,2",,1,,97,,"1,5",
Hendrixitkfi,2845836,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,1,,"53,3",,145,,"10,18",,82,,"100,7",,1,,"100,6",,1,
Bermudeitkt,2845856,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2010,77,,,,"52,5",,145,,"10,04",,"81,2",,"110,1",,,,"120,2",,1,
Bermudeitkfi,2845854,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,1,,54,,150,,"9,95",,79,,"105,7",,"1,5",,"105,7",,1,
Lyrikitknt,2845945,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,,,"52,7",,145,,,,"80,8",,"106,7",,1,,"114,6",,1,
Caphornitkt,2845904,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2010,68,,,,"51,5",,144,,"10,53",,"80,1",,96,,,,"104,8",,1,
