observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF03125itkt,2799166,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48636,gnpis_pui:holding-921_taxon-4898_accession-48636,CF03125,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,57",,"101,5",,"95,6",
RE02072itkt,2799156,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49136,https://doi.org/10.15454/GVNGUK,RE02072,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,48",,"97,2",,"91,6",
RE02072itkfi,2799155,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49136,https://doi.org/10.15454/GVNGUK,RE02072,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,49",,"103,6",,"88,1",
EM03030itkt,2799158,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49101,gnpis_pui:holding-921_taxon-4898_accession-49101,EM03030,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,52",,"95,2",,"89,7",
EM03030itkfi,2799157,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49101,gnpis_pui:holding-921_taxon-4898_accession-49101,EM03030,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,53",,"113,1",,"96,2",
CF03167itkt,2799154,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,26797,https://doi.org/10.15454/VTWXME,CF03167,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,04",,"103,9",,"97,9",
CF03167itkfi,2799153,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,26797,https://doi.org/10.15454/VTWXME,CF03167,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,34",,"102,6",,"87,2",
CF03102itkt,2799140,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,26794,https://doi.org/10.15454/NWP5WQ,CF03102,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,28",,"95,4",,"89,9",
CF03102itkfi,2799139,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,26794,https://doi.org/10.15454/NWP5WQ,CF03102,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,02",,"102,1",,"86,8",
CF03226itkfi,2799133,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,78",,"108,9",,"92,6",
CF03226itkt,2799134,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,21",,"92,3",,87,
RE03111itkt,2799172,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,treated,2004,10,,"107,8",,"101,5",
RE03111itkfi,2799171,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,52",,"108,8",,"92,6",
RE03094itkfi,2799179,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,26397,https://doi.org/10.15454/A8ZRSZ,RE03094,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,9",,"111,4",,"94,7",
RE03094itkt,2799180,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,26397,https://doi.org/10.15454/A8ZRSZ,RE03094,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,39",,"107,3",,"101,1",
Isengrainitkfi,2799169,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,7",,"102,1",,"86,8",
Isengrainitkt,2799170,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,29",,102,,"96,1",
EM03028itkfi,2799105,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,57",,"114,5",,"97,4",
EM03028itkt,2799106,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,4",,"109,6",,"103,2",
