observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CROUSTYitkt,2969411,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,traite,2015,144,,12.3,,79.9,,87.8,,,,108.2,,,,,,2.5,
CROUSTYitknt,2969410,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,144,,,,,,65.6,,NA,,70.4,,9,,NA,,3,
CROUSTYitkfi,2969409,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,144,,10.9,,79.3,,74.9,,NA,,74.7,,9,,NA,,2.5,
Galibieritkt,2969363,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,traite,2015,132,,15.3,,78.1,,68.6,,,,84.6,,,,,,7,
Galibieritknt,2969362,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,131,,,,,,78.6,,NA,,84.4,,9,,NA,,7,
Galibieritkfi,2969361,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,132,,13.9,,78.8,,67.9,,NA,,67.7,,9,,NA,,6.5,
RUBISKOitknt,2969434,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,140,,,,,,107,,1,,115,,3,,6,,6,
RUBISKOitkfi,2969433,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,139,,11.3,,78.2,,107.4,,1,,107.1,,2,,4.5,,3.5,
RUBISKOitkt,2969435,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,traite,2015,141,,11.7,,77.1,,99.6,,,,122.8,,,,,,3,
AO13026itkt,2969336,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,traite,2015,142,,12.4,,80.8,,94.5,,,,116.4,,,,,,2.5,
ARKEOSitknt,2969425,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,27751,https://doi.org/10.15454/OYNH7Y,ARKEOS,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,138,,,,,,86.3,,NA,,92.7,,9,,NA,,7,
ARKEOSitkfi,2969424,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,27751,https://doi.org/10.15454/OYNH7Y,ARKEOS,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,138,,11.1,,78.5,,99.4,,3,,99.1,,3.5,,6,,3.5,
EM12096itknt,2969323,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,146,,,,,,94.7,,7,,101.8,,1,,5.5,,4,
EM12096itkfi,2969322,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,146,,13.1,,81.8,,90.1,,5,,89.8,,1,,4,,2,
EM12096itkt,2969324,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,traite,2015,146,,13,,81.4,,86.6,,,,106.7,,,,,,2,
EM12231itkt,2969384,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,traite,2015,142,,11.9,,80.3,,95.4,,,,117.5,,,,,,5,
EM12231itknt,2969383,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,142,,,,,,93,,5,,99.9,,2,,7,,8,
EM12231itkfi,2969382,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,140,,11.7,,81.8,,96.7,,5,,96.4,,1.5,,4.5,,6,
EM12234itkt,2969381,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,traite,2015,144,,13.2,,78.7,,99.5,,,,122.6,,,,,,1.5,
EM12234itknt,2969380,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,143,,,,,,111.9,,6,,120.2,,1,,5.5,,6.5,
EM12234itkfi,2969379,BTH_Estrées-Mons_2015_SetA1,BTH_Estrées-Mons_2015_SetA1,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,142,,12.6,,79.2,,110.1,,5,,109.7,,1,,4,,3,
