observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM02429itkt,2797736,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48367,gnpis_pui:holding-921_taxon-4898_accession-48367,EM02429,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,64",,92,,"101,2",,1,
DI04005itkfi,2797789,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48460,gnpis_pui:holding-921_taxon-4898_accession-48460,DI04005,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,39",,"94,5",,"80,8",,1,
LM03004itkt,2797730,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48678,gnpis_pui:holding-921_taxon-4898_accession-48678,LM03004,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,69",,"90,1",,99,,1,
LM03004itkfi,2797729,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48678,gnpis_pui:holding-921_taxon-4898_accession-48678,LM03004,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,32",,"98,9",,"84,6",,1,
EM01068itkfi,2797745,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,6",,"98,8",,"84,6",,1,
DI04004itkfi,2797787,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49220,gnpis_pui:holding-921_taxon-4898_accession-49220,DI04004,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,47",,"87,7",,75,,1,
DI04006itkfi,2797791,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48441,gnpis_pui:holding-921_taxon-4898_accession-48441,DI04006,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,91",,"95,4",,"81,6",,1,
EM02414itkfi,2797715,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48533,gnpis_pui:holding-921_taxon-4898_accession-48533,EM02414,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,82",,"94,1",,"80,5",,1,
DI04003itkfi,2797801,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49560,gnpis_pui:holding-921_taxon-4898_accession-49560,DI04003,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,24",,103,,"88,1",,1,
EM01068itkt,2797746,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,68",,"99,2",,"109,1",,1,
EM02414itkt,2797716,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48533,gnpis_pui:holding-921_taxon-4898_accession-48533,EM02414,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,55",,"92,7",,"101,9",,1,
DI04006itkt,2797792,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48441,gnpis_pui:holding-921_taxon-4898_accession-48441,DI04006,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,38",,97,,"106,6",,1,
