observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF08021itkfi,2841017,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,49645,https://doi.org/10.15454/GXTRDY,CF08021,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"47,8",,144,,"8,98",,"71,7",,"108,6",,"64,6",
AO09015itkt,2840992,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27897,https://doi.org/10.15454/QWJPTN,AO09015,VIRTUAL_TRIAL,,,,,,,,treated,2009,85,,"54,3",,136,,"9,4",,"77,6",,"91,1",,"83,2",
Attlassitkt,2841004,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2009,90,,"51,5",,144,,"8,62",,78,,"107,7",,"98,4",
RE08018itkfi,2840953,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,62130,https://doi.org/10.15454/8V9KEO,RE08018,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,88,,"43,7",,146,,"9,51",,"74,7",,"106,7",,"63,4",
RE08018itkt,2840954,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,62130,https://doi.org/10.15454/8V9KEO,RE08018,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"43,6",,144,,"9,65",,"76,6",,"95,1",,87,
AO09016itkt,2840990,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27898,https://doi.org/10.15454/BSXMIF,AO09016,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"49,3",,138,,"9,74",,"76,1",,"91,5",,"83,6",
Sankaraitkfi,2840981,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,68,,43,,145,,"9,32",,72,,"97,4",,"57,9",
DI09006itkt,2840976,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"49,1",,144,,"8,28",,"74,6",,"111,7",,"102,2",
DI09006itkfi,2840975,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"44,2",,146,,"8,39",,"70,2",,"109,6",,"65,2",
EM08080itkt,2840962,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,61868,https://doi.org/10.15454/J7YM4E,EM08080,VIRTUAL_TRIAL,,,,,,,,treated,2009,75,,45,,144,,"9,25",,"75,6",,"103,3",,"94,4",
EM08080itkfi,2840961,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,61868,https://doi.org/10.15454/J7YM4E,EM08080,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,68,,44,,144,,"8,64",,75,,"115,8",,"68,8",
DI09005itkfi,2840977,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27809,https://doi.org/10.15454/VX6AQV,DI09005,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"49,5",,144,,"9,41",,"71,9",,"101,2",,"60,2",
Caphornitkt,2840984,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"51,4",,142,,"8,94",,"74,1",,"95,8",,"87,6",
AO09016itkfi,2840989,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27898,https://doi.org/10.15454/BSXMIF,AO09016,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,70,,"47,4",,138,,"10,24",,"73,3",,"84,6",,"50,3",
RE08008itkt,2841008,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,62083,https://doi.org/10.15454/PJSXXF,RE08008,VIRTUAL_TRIAL,,,,,,,,treated,2009,90,,"44,5",,146,,"9,02",,"76,2",,"94,4",,"86,3",
EM08026itkfi,2840955,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,61851,https://doi.org/10.15454/LDLPMS,EM08026,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,70,,"50,8",,143,,"10,03",,"74,2",,"105,3",,"62,6",
EM08026itkt,2840956,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,61851,https://doi.org/10.15454/LDLPMS,EM08026,VIRTUAL_TRIAL,,,,,,,,treated,2009,78,,"51,9",,142,,"9,59",,"76,1",,91,,"83,2",
EM08024itkfi,2840957,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27822,https://doi.org/10.15454/KNNDVP,EM08024,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"47,4",,146,,"8,78",,70,,"110,8",,"65,9",
Sankaraitkt,2840982,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,46,,144,,"8,91",,"76,2",,92,,"84,1",
