observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI10001-2itknt,2863370,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,95,,151,,,,"100,5",,1,,"73,5",,1,,"2,5",,2,
DI10001-2itkfi,2863369,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,90,,152,,"12,01",,"98,8",,1,,"66,4",,1,,2,,1,
Gotikitkt,2863356,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,100,,152,,"11,5",,98,,,,"83,2",,"1,5",,2,,"4,5",
Premioitkfi,2863276,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,82,,150,,"11,36",,"121,2",,3,,"81,5",,1,,3,,1,
Gotikitknt,2863355,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,95,,152,,,,"90,1",,4,,"65,9",,"4,5",,3,,1,
Premioitkt,2863278,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,88,,148,,"11,46",,"110,9",,,,"94,2",,"1,5",,2,,3,
Premioitknt,2863277,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,82,,150,,,,"117,7",,1,,"86,1",,1,,"3,5",,1,
Gotikitkfi,2863354,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,98,,153,,"10,58",,"95,9",,2,,"64,4",,"5,5",,2,,1,
EM09221itknt,2863364,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"3,5",,75,,149,,,,"110,2",,7,,"80,6",,1,,3,,2,
EM09003itknt,2863295,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,95,,151,,,,"86,8",,4,,"63,5",,1,,4,,6,
EM09320itkfi,2863288,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,90,,151,,"10,43",,"92,5",,"2,5",,"62,2",,"4,5",,"3,5",,2,
EM09003itkt,2863296,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,treated,2012,3,,95,,152,,"12,06",,"79,8",,,,"67,8",,"1,5",,2,,9,
EM09003itkfi,2863294,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"2,5",,90,,152,,"10,88",,"73,2",,5,,"49,2",,1,,"3,5",,4,
EM09318itkt,2863329,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,82,,150,,"11,85",,"96,1",,,,"81,6",,1,,2,,"2,5",
EM09318itkfi,2863327,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,80,,152,,"11,35",,"95,6",,"3,5",,"64,3",,3,,2,,1,
Gallixeitkfi,2863372,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,82,,151,,"10,11",,"91,9",,3,,"61,8",,1,,"1,5",,1,
Bermudeitkt,2863305,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2012,"2,5",,85,,152,,"10,42",,"102,6",,,,"87,1",,2,,2,,"2,5",
Gallixeitkt,2863374,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,85,,148,,"11,5",,"109,8",,,,"93,2",,"1,5",,2,,"6,5",
DI10001itkt,2863353,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,100,,152,,"13,17",,"93,4",,,,"79,4",,"1,5",,"1,5",,"2,5",
DI10001itkfi,2863351,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"2,5",,95,,153,,"11,99",,"103,4",,"1,5",,"69,6",,1,,"2,5",,2,
Gallixeitknt,2863373,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,85,,150,,,,110,,"5,5",,"80,5",,1,,3,,1,
EM09320itknt,2863289,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,95,,150,,,,100,,"5,5",,"73,1",,1,,"3,5",,1,
EM09222itkt,2863362,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2012,2,,92,,148,,"12,79",,100,,,,85,,"1,5",,2,,9,
EM09222itkfi,2863360,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,95,,150,,"11,04",,"113,6",,4,,"76,4",,1,,"1,5",,"3,5",
EM09320itkt,2863290,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,92,,148,,"11,03",,"106,3",,,,"90,3",,1,,2,,4,
DI10001itknt,2863352,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,100,,151,,,,98,,1,,"71,7",,1,,3,,3,
AO11002itkt,2863347,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,48844,https://doi.org/10.15454/IYISPL,AO11002,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,95,,150,,"11,39",,"94,8",,,,"80,5",,2,,2,,"3,5",
Apacheitkfi,2863324,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,82,,151,,"11,64",,"93,4",,3,,"62,8",,3,,3,,1,
Apacheitkt,2863326,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,82,,148,,12,,"95,1",,,,"80,8",,"1,5",,2,,1,
Apacheitknt,2863325,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,82,,149,,,,"99,4",,3,,"72,7",,3,,"3,5",,1,
EM07117itkfi,2863306,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,95,,153,,"10,12",,"117,4",,3,,79,,1,,2,,2,
Bermudeitknt,2863304,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,85,,152,,,,"92,3",,5,,"67,5",,1,,"3,5",,1,
AO11002itknt,2863346,BTH_Estrées-Mons_2012_SetA1,BTH_Estrées-Mons_2012_SetA1,48844,https://doi.org/10.15454/IYISPL,AO11002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,92,,151,,,,"87,5",,7,,64,,2,,3,,1,
