observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO12033itkt,2872881,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,60771,https://doi.org/10.15454/KH7BKH,AO12033,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,156,,"11,3",,76,,"96,9",,"101,2",,,,,,1,
AO12033itknt,2872880,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,60771,https://doi.org/10.15454/KH7BKH,AO12033,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,87,,155,,,,"77,2",,"100,5",,"93,3",,1,,7,,1,
DI11002itknt,2872862,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,91,,154,,,,"72,1",,"108,7",,101,,1,,"3,5",,1,
DI11002itkt,2872863,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,156,,"11,8",,"68,7",,"96,8",,"101,1",,,,,,1,
DI11002itkfi,2872861,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,154,,"10,8",,"70,7",,"103,2",,89,,1,,,,1,
AO12021itkfi,2872816,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,94,,154,,"11,1",,76,,110,,"94,8",,1,,,,1,
AO12021itknt,2872817,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,88,,154,,,,"75,2",,"110,1",,"102,2",,1,,"3,5",,4,
AO12021itkt,2872818,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2013,94,,154,,"11,6",,"76,2",,"109,4",,"114,3",,,,,,2,
CF09169itkt,2872845,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,154,,"11,8",,"75,2",,"95,9",,"100,2",,,,,,1,
CF09169itknt,2872844,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,88,,154,,,,"78,1",,"107,4",,"99,7",,1,,3,,1,
CF09169itkfi,2872843,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,154,,"11,1",,"77,4",,"102,5",,"88,4",,1,,,,1,
DI11014itkt,2872914,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,156,,"11,6",,73,,"103,3",,"107,9",,,,,,1,
DI11014itkfi,2872912,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,156,,"10,9",,"74,5",,112,,"96,5",,1,,,,1,
DI11014itknt,2872913,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,89,,156,,,,"71,2",,"110,8",,"102,9",,1,,"3,8",,1,
Altigoitkfi,2872867,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,152,,"11,4",,"74,5",,"100,6",,"86,7",,1,,,,1,
Altigoitkt,2872869,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,154,,"12,1",,"77,1",,100,,"104,5",,,,,,1,
Altigoitknt,2872868,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,85,,154,,,,"72,2",,"97,5",,"90,6",,1,,7,,1,
Bermudeitknt,2872826,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,86,,154,,,,"72,9",,"110,5",,"102,6",,1,,"7,5",,1,
Bermudeitkfi,2872825,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,154,,"10,9",,76,,"103,1",,"88,9",,1,,,,1,
Bermudeitkt,2872827,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,154,,"11,3",,"75,2",,"103,2",,"107,8",,,,,,1,
EM09222itkt,2872890,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2013,87,,154,,"11,6",,"73,5",,"100,9",,"105,4",,,,,,1,
EM09222itkfi,2872888,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,89,,154,,"10,9",,"74,5",,"115,1",,"99,3",,1,,,,1,
EM09222itknt,2872889,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,90,,154,,,,"75,8",,"115,3",,107,,1,,"3,8",,1,
AO12014itknt,2872832,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,87,,156,,,,"71,4",,"98,4",,"91,4",,2,,5,,"3,5",
AO12014itkfi,2872831,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,156,,"10,2",,"69,7",,"91,6",,79,,2,,,,2,
AO12014itkt,2872833,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,156,,"10,6",,"76,2",,"109,9",,"114,8",,,,,,"2,5",
AO12035itknt,2872871,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,49348,https://doi.org/10.15454/NFBGKG,AO12035,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,86,,155,,,,"74,7",,"95,9",,"89,1",,1,,8,,1,
AO12035itkt,2872872,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,49348,https://doi.org/10.15454/NFBGKG,AO12035,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,155,,"11,4",,"77,5",,"102,1",,"106,6",,,,,,1,
AO12035itkfi,2872870,BTH_Le_Moulon_2013_SetA1,BTH_Le_Moulon_2013_SetA1,49348,https://doi.org/10.15454/NFBGKG,AO12035,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,154,,"11,1",,"75,5",,"102,9",,"88,7",,1,,,,1,
