observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pel(CO_321:1000223),pel(CO_321:1000223).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI01019itkt,2775387,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,48621,gnpis_pui:holding-921_taxon-4898_accession-48621,DI01019,VIRTUAL_TRIAL,,,,,,,,treated,2001,"23,1",,108,,129,,63,,192,,46,,"0,43",,171,,12,,256,,109,,"43,75",,"12,1",,78,,44,,"2,34",,26,
RE00164itkt,2775361,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,48472,gnpis_pui:holding-921_taxon-4898_accession-48472,RE00164,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,2",,67,,124,,57,,181,,75,,"1,12",,164,,49,,308,,84,,"45,95",,"11,6",,81,,42,,"2,43",,27,
Soissonsitkt,2775397,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,5",,77,,131,,63,,194,,75,,"0,97",,249,,36,,357,,166,,"39,95",,"11,5",,81,,59,,"1,68",,36,
EM00302itkt,2775381,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26864,https://doi.org/10.15454/XVZVZD,EM00302,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,8",,79,,132,,72,,204,,55,,"0,7",,175,,8,,311,,136,,"42,65",,"10,9",,78,,45,,"1,63",,26,
RE00160itkt,2775364,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26871,https://doi.org/10.15454/5JJD7K,RE00160,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,6",,70,,104,,63,,167,,41,,"0,58",,119,,14,,207,,178,,"43,65",,"11,7",,"80,5",,57,,"2,17",,39,
EM99006itkt,2775375,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,9",,80,,146,,72,,218,,76,,"0,95",,237,,40,,332,,177,,"45,8",,"12,3",,80,,56,,"2,2",,37,
DI01021itkt,2775358,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,49218,gnpis_pui:holding-921_taxon-4898_accession-49218,DI01021,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,6",,95,,126,,54,,180,,52,,"0,55",,182,,1,,211,,85,,"45,1",,"11,8",,78,,53,,"2,67",,27,
DI01032itkt,2775386,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,49224,gnpis_pui:holding-921_taxon-4898_accession-49224,DI01032,VIRTUAL_TRIAL,,,,,,,,treated,2001,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM00074itkt,2775390,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,treated,2001,21,,89,,155,,77,,232,,64,,"0,72",,211,,69,,342,,152,,"44,65",,"11,2",,82,,50,,"2,02",,31,
EM00015itkt,2775389,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,48653,gnpis_pui:holding-921_taxon-4898_accession-48653,EM00015,VIRTUAL_TRIAL,,,,,,,,treated,2001,18,,65,,130,,64,,194,,98,,"1,5",,257,,52,,350,,177,,"41,2",,"11,4",,"77,5",,55,,"2,39",,37,
DI01004itkt,2775355,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,49003,gnpis_pui:holding-921_taxon-4898_accession-49003,DI01004,VIRTUAL_TRIAL,,,,,,,,treated,2001,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM00107itkt,2775374,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,8",,88,,138,,69,,207,,63,,"0,71",,184,,49,,288,,144,,"41,4",,"10,5",,"81,5",,48,,"2,3",,29,
EM00301itkt,2775382,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,48481,gnpis_pui:holding-921_taxon-4898_accession-48481,EM00301,VIRTUAL_TRIAL,,,,,,,,treated,2001,"14,8",,45,,135,,68,,203,,106,,"2,37",,203,,54,,327,,179,,"40,1",,"11,5",,77,,59,,"2,44",,35,
RE00113itkt,2775398,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,49700,gnpis_pui:holding-921_taxon-4898_accession-49700,RE00113,VIRTUAL_TRIAL,,,,,,,,treated,2001,"14,7",,44,,111,,58,,169,,67,,"1,54",,133,,20,,218,,222,,"46,65",,"11,1",,80,,43,,"2,02",,31,
CF99075itkt,2775366,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,48935,https://doi.org/10.15454/KCTYDW,CF99075,VIRTUAL_TRIAL,,,,,,,,treated,2001,"23,2",,109,,144,,65,,209,,40,,"0,37",,167,,14,,163,,120,,"42,55",,"12,4",,79,,62,,"1,81",,35,
