observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
2,2832277,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,27788,https://doi.org/10.15454/72PHHY,CF07018,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"44,34",,"4,2",
1,2832262,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,27305,https://doi.org/10.15454/OPZZGX,RE07019,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"41,24",,4,
2,2832263,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,27305,https://doi.org/10.15454/OPZZGX,RE07019,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"44,12",,"4,2",
2,2832253,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,27269,https://doi.org/10.15454/N0JGJL,RE07012,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"44,32",,5,
1,2832252,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,27269,https://doi.org/10.15454/N0JGJL,RE07012,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"47,22",,4,
2,2832243,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"37,97",,"6,5",
1,2832242,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"38,95",,"4,5",
1,2832254,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48745,gnpis_pui:holding-921_taxon-4898_accession-48745,RE07013,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"41,1",,"3,5",
2,2832255,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48745,gnpis_pui:holding-921_taxon-4898_accession-48745,RE07013,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"40,9",,"4,5",
2,2832271,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49448,gnpis_pui:holding-921_taxon-4898_accession-49448,EM07118,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"43,41",,"4,5",
1,2832270,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49448,gnpis_pui:holding-921_taxon-4898_accession-49448,EM07118,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"43,56",,"3,5",
1,2832294,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49329,gnpis_pui:holding-921_taxon-4898_accession-49329,DI08006,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"46,14",,3,
2,2832295,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49329,gnpis_pui:holding-921_taxon-4898_accession-49329,DI08006,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"40,42",,"3,5",
2,2832307,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49578,gnpis_pui:holding-921_taxon-4898_accession-49578,AO08202,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"24,29",,8,
1,2832306,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49578,gnpis_pui:holding-921_taxon-4898_accession-49578,AO08202,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"25,14",,6,
2,2832245,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48691,gnpis_pui:holding-921_taxon-4898_accession-48691,EM07186,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"34,69",,6,
1,2832244,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48691,gnpis_pui:holding-921_taxon-4898_accession-48691,EM07186,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"41,53",,"4,5",
1,2832240,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48692,gnpis_pui:holding-921_taxon-4898_accession-48692,RE07005,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"39,42",,"4,5",
2,2832241,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,48692,gnpis_pui:holding-921_taxon-4898_accession-48692,RE07005,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"36,53",,"6,2",
2,2832287,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49435,gnpis_pui:holding-921_taxon-4898_accession-49435,DI08002,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"38,27",,4,
1,2832286,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49435,gnpis_pui:holding-921_taxon-4898_accession-49435,DI08002,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"43,16",,"2,5",
2,2832261,BTH_Lusignan_2008_SetB1,BTH_Lusignan_2008_SetB1,49619,gnpis_pui:holding-921_taxon-4898_accession-49619,RE07017,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"39,94",,"4,5",
