observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2862286,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"8,49",,"90,26",,,
2,2862248,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48904,https://doi.org/10.15454/QDMSRL,AO11012,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"9,96",,"99,6",,1,
2,2862246,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48904,https://doi.org/10.15454/QDMSRL,AO11012,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"8,58",,"87,38",,,
1,2862247,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48904,https://doi.org/10.15454/QDMSRL,AO11012,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"9,96",,"102,68",,1,
1,2862245,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48904,https://doi.org/10.15454/QDMSRL,AO11012,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"8,52",,"85,95",,,
2,2862250,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"8,75",,"98,2",,,
1,2862249,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"9,14",,"94,93",,,
2,2862252,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"9,72",,"102,3",,1,
1,2862251,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"9,28",,"102,3",,1,
1,2862333,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48888,https://doi.org/10.15454/2YKLGU,AO11014,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"8,52",,"84,04",,,
2,2862336,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48888,https://doi.org/10.15454/2YKLGU,AO11014,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"9,22",,"99,93",,1,
1,2862335,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48888,https://doi.org/10.15454/2YKLGU,AO11014,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"9,35",,"102,51",,1,
2,2862334,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48888,https://doi.org/10.15454/2YKLGU,AO11014,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"8,5",,"86,83",,,
1,2862363,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"10,19",,"101,39",,1,
2,2862362,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"9,48",,"89,6",,,
2,2862364,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"10,06",,"99,13",,1,
1,2862361,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"9,47",,"83,33",,,
2,2862254,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"8,64",,"91,77",,,
1,2862255,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"9,81",,"105,71",,1,
1,2862253,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"8,87",,"92,63",,,
2,2862256,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"9,66",,"102,71",,1,
2,2862280,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"10,18",,"97,35",,2,
2,2862278,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"9,92",,"87,62",,,
1,2862279,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"10,46",,"94,17",,4,
1,2862277,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"9,67",,NA,,,
