observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
RE05007itkt,2818558,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,treated,2006,"29,1",,172,,NA,,100,,NA,,"56,1",,NA,,"85,9",,NA,,242,,49,,"0,29",,217,,65,,251,,"13,5",,"76,8",,NA,,1620,,NA,
CF05162itkt,2818575,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2006,27,,148,,NA,,100,,NA,,"62,2",,NA,,"67,2",,NA,,"229,5",,72,,"0,49",,296,,61,,411,,13,,"75,6",,NA,,1750,,NA,
CF03201itkt,2818578,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2006,"21,1",,90,,97,,NA,,80,,NA,,96,,NA,,273,,NA,,86,,"0,96",,261,,61,,448,,"13,35",,"79,7",,1800,,NA,,44,
AO06313itkt,2818564,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,treated,2006,"16,4",,55,,91,,NA,,12,,NA,,68,,NA,,171,,NA,,67,,"1,24",,157,,50,,385,,"11,75",,"79,3",,1275,,NA,,34,
AO06407itkt,2818566,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26982,https://doi.org/10.15454/FCNCUR,AO06407,VIRTUAL_TRIAL,,,,,,,,treated,2006,"23,2",,109,,97,,NA,,39,,NA,,76,,NA,,212,,NA,,49,,"0,45",,164,,49,,390,,"11,65",,"75,2",,1540,,NA,,31,
CF04043itkt,2818604,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,treated,2006,"21,9",,97,,94,,NA,,78,,NA,,91,,NA,,263,,NA,,62,,"0,64",,189,,"55,5",,414,,"12,05",,"76,7",,1735,,NA,,32,
EM05162itkt,2818559,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26971,https://doi.org/10.15454/IAEYHC,EM05162,VIRTUAL_TRIAL,,,,,,,,treated,2006,"21,6",,95,,NA,,100,,NA,,"10,6",,NA,,"79,2",,NA,,"189,8",,66,,"0,69",,236,,71,,381,,"13,1",,"78,5",,NA,,1220,,NA,
Hendrixitkt,2818563,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2006,"24,7",,124,,97,,NA,,69,,NA,,97,,NA,,263,,NA,,84,,"0,68",,337,,74,,473,,"13,55",,"79,7",,1675,,NA,,61,
Folkloritkt,2818561,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2006,"22,5",,103,,NA,,97,,NA,,"46,6",,NA,,69,,NA,,"212,6",,65,,"0,63",,253,,65,,412,,"11,7",,76,,NA,,1760,,NA,
RE05091itkt,2818581,BTH_Le_Moulon_2006_TECH,BTH_Le_Moulon_2006_TECH,27043,https://doi.org/10.15454/QCLAYU,RE05091,VIRTUAL_TRIAL,,,,,,,,treated,2006,"22,1",,99,,NA,,100,,NA,,29,,NA,,"87,4",,NA,,"216,4",,73,,"0,73",,284,,47,,384,,"12,1",,"77,9",,NA,,1250,,NA,
