observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volS(CO_321:1000250),volS(CO_321:1000250).date
RE11096itkfi,2871194,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,48664,https://doi.org/10.15454/ITWRUM,RE11096,VIRTUAL_TRIAL,,,,,,,,2012,"23,1",,108,,100,,,,"6,63",,,,"59,63",,,,"166,26",,,,110,,"1,02",,388,,57,,335,,"34,58",,"13,2",,"77,4",,,
RE11096itkt,2871195,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,48664,https://doi.org/10.15454/ITWRUM,RE11096,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,
RE11098itkt,2871193,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,
RE11098itkfi,2871192,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,2012,"23,6",,113,,100,,,,"20,95",,,,"85,5",,,,"206,45",,,,97,,"0,86",,358,,63,,306,,"37,88",,"12,5",,"82,3",,,
Premioitkt,2871173,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2012,22,,98,,,,100,,,,57,,,,99,,,,255,,87,,"0,89",,281,,,,379,,,,"13,3",,,,1562,
Premioitkfi,2871172,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2012,"28,3",,163,,100,,,,"44,6",,,,87,,,,"231,6",,,,69,,"0,42",,293,,64,,416,,"32,18",,"13,2",,73,,,
Apacheitkfi,2871222,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2012,"33,1",,222,,100,,,,"47,9",,,,"88,5",,,,"236,4",,,,62,,"0,28",,301,,55,,424,,"26,65",,"13,7",,"72,3",,,
Apacheitkt,2871223,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2012,"30,8",,192,,,,94,,,,40,,,,97,,,,231,,72,,"0,38",,321,,,,392,,,,"13,3",,,,1668,
Lyrikitkfi,2871278,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
Lyrikitkt,2871279,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2012,"19,8",,80,,,,94,,,,78,,,,97,,,,269,,93,,"1,18",,250,,,,357,,,,11,,,,1485,
Grapeliitkt,2871207,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,2012,"21,9",,97,,,,94,,,,44,,,,99,,,,236,,63,,"0,65",,183,,,,330,,,,"10,5",,,,1214,
Grapeliitkfi,2871206,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
CF08027itkfi,2871276,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
CF08027itkt,2871277,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,2012,"22,5",,103,,,,97,,,,51,,,,99,,,,246,,88,,"0,86",,266,,,,282,,,,"12,2",,,,1420,
Granamaxitkfi,2871226,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
Granamaxitkt,2871227,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,2012,"19,7",,79,,,,97,,,,20,,,,88,,,,205,,112,,"1,44",,288,,,,280,,,,"11,5",,,,1361,
AO11011itkt,2871179,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,
AO11011itkfi,2871178,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
Gotikitkt,2871245,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,2012,"21,1",,90,,,,94,,,,70,,,,79,,,,243,,70,,"0,74",,195,,,,343,,,,"11,5",,,,1349,
Gotikitkfi,2871244,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
AO12011itkt,2871259,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,
