observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2817710,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"10,28",,"92,64",
1,2817709,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"10,68",,"93,13",
2,2817668,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48769,gnpis_pui:holding-921_taxon-4898_accession-48769,CF05083,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"12,48",,"102,24",
1,2817667,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48769,gnpis_pui:holding-921_taxon-4898_accession-48769,CF05083,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"11,94",,"95,54",
2,2817666,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48769,gnpis_pui:holding-921_taxon-4898_accession-48769,CF05083,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"11,48",,"83,76",
1,2817665,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48769,gnpis_pui:holding-921_taxon-4898_accession-48769,CF05083,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"10,7",,"84,53",
2,2817704,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48473,gnpis_pui:holding-921_taxon-4898_accession-48473,DI06018,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"11,3",,"98,04",
2,2817702,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48473,gnpis_pui:holding-921_taxon-4898_accession-48473,DI06018,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"10,66",,"77,81",
1,2817703,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48473,gnpis_pui:holding-921_taxon-4898_accession-48473,DI06018,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"11,2",,"93,78",
1,2817701,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48473,gnpis_pui:holding-921_taxon-4898_accession-48473,DI06018,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"10,08",,"78,94",
1,2817713,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49717,gnpis_pui:holding-921_taxon-4898_accession-49717,RE05036,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"10,11",,"96,69",
2,2817714,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49717,gnpis_pui:holding-921_taxon-4898_accession-49717,RE05036,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"10,9",,"92,44",
2,2817716,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49717,gnpis_pui:holding-921_taxon-4898_accession-49717,RE05036,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"10,68",,"107,09",
