observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF07143itkfi,2846155,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,95,,"56,6",,144,,"9,72",,"78,5",,"109,9",,70,
CF07002itkfi,2846171,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,87,,"49,4",,143,,"10,2",,79,,"96,5",,"61,5",
CF07022itkt,2846170,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,96,,"52,1",,144,,"10,32",,"78,1",,103,,82,
Soissonsitkfi,2846167,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,87,,"47,7",,139,,"10,31",,"81,4",,"92,9",,"59,2",
Strub061859-1itkfi,2846123,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,98,,"45,8",,146,,"8,01",,78,,"110,2",,"70,2",
EM07117itkt,2846120,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,98,,"44,2",,145,,"9,34",,"79,2",,"108,9",,"86,7",
Granamaxitkfi,2846161,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"3,5",,88,,"53,2",,144,,"8,82",,"76,5",,"107,4",,"68,4",
CF05162itkt,2846130,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,97,,"51,6",,143,,"9,39",,"78,6",,"107,3",,"85,5",
Toisondoritkfi,2846125,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"3,5",,75,,"45,4",,144,,"9,02",,"77,8",,"103,4",,"65,9",
CF05162itkfi,2846129,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,87,,"52,6",,142,,"8,76",,"77,8",,"111,3",,"70,9",
CF07018itkfi,2846137,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,84,,"46,1",,144,,"9,38",,"78,4",,"99,1",,"63,2",
Toisondoritkt,2846126,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,82,,"46,4",,144,,"9,59",,"77,4",,"96,1",,"76,6",
Granamaxitkt,2846162,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,95,,"57,2",,144,,"9,43",,"77,6",,"102,5",,"81,7",
CF07018itkt,2846138,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,87,,"49,8",,145,,"9,57",,"79,2",,"104,1",,"82,9",
Strub061859-1itkt,2846124,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,104,,"49,2",,145,,"8,83",,"79,1",,"105,2",,"83,8",
