observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
AO10013itkt,2852780,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,treated,2010,"22,3",,101,,100,,78,,89,,267,,80,,"0,8",,250,,"54,5",,399,,"12,7",,NA,,1700,,42,
EM08024itkt,2852798,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27822,https://doi.org/10.15454/KNNDVP,EM08024,VIRTUAL_TRIAL,,,,,,,,treated,2010,"22,1",,99,,94,,66,,67,,227,,67,,"0,68",,200,,69,,394,,"11,7",,NA,,1790,,34,
CF09027itkt,2852826,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48507,https://doi.org/10.15454/YFD4LO,CF09027,VIRTUAL_TRIAL,,,,,,,,treated,2010,"20,2",,82,,85,,68,,91,,244,,94,,"1,15",,242,,91,,NA,,"11,4",,"80,6",,1790,,NA,
EM09080itkt,2852827,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,49303,https://doi.org/10.15454/WSDK5P,EM09080,VIRTUAL_TRIAL,,,,,,,,treated,2010,24,,116,,94,,86,,81,,261,,42,,"0,36",,132,,66,,NA,,"11,9",,"80,2",,1883,,NA,
EM09189itkt,2852837,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,49252,https://doi.org/10.15454/LVMRPV,EM09189,VIRTUAL_TRIAL,,,,,,,,treated,2010,"26,7",,144,,94,,60,,80,,234,,33,,"0,23",,115,,23,,NA,,"11,5",,"77,3",,1875,,NA,
EM09320itkt,2852783,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2010,"22,3",,100,,97,,56,,83,,236,,54,,"0,54",,173,,66,,NA,,"11,2",,"79,8",,1643,,NA,
Hadm01601-07itkt,2852797,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,treated,2010,"16,2",,53,,94,,76,,73,,243,,86,,"1,62",,181,,69,,462,,"11,8",,NA,,1695,,41,
HadmF11671itkt,2852821,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,1",,59,,100,,54,,90,,244,,81,,"1,37",,184,,"73,5",,353,,"11,5",,NA,,1525,,34,
HadmF11326itkt,2852802,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,60787,https://doi.org/10.15454/LLIFSS,HadmF11326,VIRTUAL_TRIAL,,,,,,,,treated,2010,"15,3",,47,,88,,56,,73,,217,,87,,"1,85",,175,,"72,5",,426,,"11,2",,NA,,1480,,33,
Strub061859-1itkt,2852794,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,treated,2010,"16,2",,53,,91,,33,,65,,189,,69,,"1,3",,147,,68,,361,,"10,7",,NA,,1392,,39,
CF07143itkt,2852824,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2010,"27,6",,155,,82,,80,,88,,250,,48,,"0,31",,193,,71,,357,,"12,1",,NA,,1733,,41,
EM08223itkt,2852796,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,treated,2010,"25,5",,132,,79,,21,,35,,135,,36,,"0,27",,96,,"34,5",,351,,"12,9",,NA,,1473,,"15,5",
CF08049itkt,2852838,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,treated,2010,"22,4",,102,,91,,75,,90,,256,,67,,"0,66",,215,,67,,403,,"11,8",,NA,,1730,,39,
CF08084itkt,2852835,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,treated,2010,"23,7",,114,,91,,44,,59,,194,,51,,"0,45",,162,,"62,5",,404,,"11,3",,NA,,1590,,31,
EM07117itkt,2852839,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,2",,60,,91,,48,,65,,204,,57,,"0,95",,132,,22,,378,,"11,1",,NA,,1530,,32,
CF09169itkt,2852777,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2010,"26,9",,146,,88,,71,,91,,250,,44,,"0,3",,177,,87,,NA,,"11,4",,"80,9",,1790,,NA,
DI10011itkt,2852781,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,treated,2010,"23,5",,111,,94,,81,,77,,252,,35,,"0,32",,106,,85,,NA,,"11,6",,"79,3",,1698,,NA,
AO10006itkt,2852790,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,49352,https://doi.org/10.15454/NHNCAM,AO10006,VIRTUAL_TRIAL,,,,,,,,treated,2010,"14,6",,43,,88,,10,,70,,168,,99,,"2,3",,181,,70,,360,,"11,1",,NA,,1365,,"33,5",
EM09318itkt,2852804,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,treated,2010,"20,2",,82,,85,,54,,60,,199,,90,,"1,1",,261,,10,,NA,,"11,6",,"77,2",,1723,,NA,
Soissonsitkt,2852834,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,9",,80,,91,,65,,73,,229,,72,,"0,9",,224,,"57,5",,388,,"11,9",,NA,,1593,,36,
DI09018itkt,2852792,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,treated,2010,17,,59,,85,,51,,84,,220,,111,,"1,91",,251,,65,,425,,"11,6",,NA,,1365,,"37,5",
EM08221itkt,2852819,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,treated,2010,"23,8",,115,,88,,23,,26,,137,,28,,"0,25",,83,,16,,334,,"11,4",,NA,,1593,,"17,5",
AO10003itkt,2852807,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,treated,2010,NA,,NA,,94,,48,,80,,222,,NA,,NA,,NA,,67,,370,,"11,3",,NA,,1708,,33,
AO10015itkt,2852776,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,5",,77,,100,,78,,90,,268,,90,,"1,17",,260,,"58,5",,435,,"12,1",,NA,,1794,,42,
AO10026itkt,2852822,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,49315,https://doi.org/10.15454/WVJ13N,AO10026,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,7",,79,,100,,19,,83,,202,,63,,"0,81",,142,,"17,5",,410,,"11,3",,NA,,1463,,"24,5",
AO10028itkt,2852815,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48794,https://doi.org/10.15454/1IPVTN,AO10028,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,9",,65,,97,,70,,96,,263,,84,,"1,29",,194,,60,,429,,"11,9",,NA,,1831,,"35,5",
EM09221itkt,2852828,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,treated,2010,"20,3",,83,,82,,48,,91,,221,,46,,"0,55",,142,,5,,NA,,"11,4",,"76,6",,1680,,NA,
EM09222itkt,2852831,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2010,27,,147,,82,,24,,53,,159,,30,,"0,2",,115,,26,,NA,,"11,8",,"77,5",,1353,,NA,
