observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF03201itkt,2819844,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,traité,2007,"92,5",,"52,7",,"126,5",,"11,35",,"74,7",,"105,6",,,,"110,5",,,,1,
CF03201itkfi,2819842,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"50,5",,"125,5",,"10,02",,75,,"114,4",,1,,"88,1",,1,,,
AO05004itknt,2819804,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,95,,,,"127,5",,,,"63,8",,"107,4",,1,,"80,5",,"6,5",,1,
AO05004itkfi,2819803,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,"41,5",,126,,"10,08",,"70,1",,"93,1",,1,,"71,7",,5,,,
CF03201itknt,2819843,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,90,,,,"127,5",,,,"65,1",,"132,3",,2,,"99,2",,1,,3,
Mendelitknt,2819831,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"77,5",,,,"124,5",,,,"57,6",,"95,4",,"4,5",,"71,5",,"1,5",,1,
Mendelitkfi,2819830,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,"48,4",,124,,"10,19",,63,,"99,1",,3,,"76,3",,1,,,
EM04181itkt,2819859,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,traité,2007,"82,5",,"48,1",,"128,5",,"11,48",,"67,8",,"92,7",,,,97,,,,1,
EM04181itkfi,2819857,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,"41,8",,"127,5",,"9,8",,"66,7",,"96,3",,"2,5",,"74,2",,3,,,
Croustyitkt,2819856,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,traité,2007,"97,5",,"51,7",,126,,"12,22",,"72,4",,"96,5",,,,"101,1",,,,1,
DI04017itknt,2819834,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,90,,,,"130,5",,,,"65,9",,109,,"2,5",,"81,7",,1,,1,
EM04241itkt,2819868,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,traité,2007,"82,5",,"54,6",,130,,"10,57",,"72,4",,"106,2",,,,"111,2",,,,1,
AO06313itkt,2819802,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,traité,2007,"82,5",,"49,8",,"121,5",,"10,12",,"73,6",,"101,6",,,,"106,4",,,,1,
AO06313itknt,2819801,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"77,5",,,,122,,,,"58,6",,"96,1",,8,,72,,1,,1,
AO06313itkfi,2819800,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"41,1",,121,,"9,41",,72,,"96,4",,"7,5",,"74,2",,1,,,
EM03193itknt,2819825,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,90,,,,"131,5",,,,"63,4",,"104,5",,"3,5",,"78,3",,1,,1,
RE05108itknt,2819870,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"87,5",,,,129,,,,"68,9",,"115,5",,"2,5",,"86,6",,1,,4,
Croustyitknt,2819855,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,100,,,,126,,,,"60,6",,"105,4",,"3,5",,79,,"3,5",,1,
CF04043itkt,2819847,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,traité,2007,"92,5",,"53,2",,"127,5",,"10,28",,71,,"97,6",,,,"102,2",,,,1,
CF04043itknt,2819846,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"92,5",,,,128,,,,"68,9",,115,,"2,5",,"86,2",,1,,1,
Croustyitkfi,2819854,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,47,,126,,"9,72",,"69,6",,"91,1",,3,,"70,1",,"4,5",,,
EM04241itknt,2819867,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"87,5",,,,130,,,,"68,2",,"111,8",,4,,"83,8",,1,,1,
CF04043itkfi,2819845,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"46,7",,125,,"10,19",,"68,9",,"102,9",,"2,5",,"79,2",,1,,,
DI04017itkfi,2819833,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"44,6",,129,,"10,61",,"67,8",,"97,2",,3,,"74,8",,1,,,
