observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
AO13047itkt,2879559,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,treated,2013,"13,4",,36,,97,,NA,,65,,NA,,85,,NA,,247,,NA,,127,,"3,53",,190,,96,,409,,NA,,"11,8",,NA,,1550,,NA,,36,
CF12053itkt,2879540,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48635,https://doi.org/10.15454/EYGP9K,CF12053,VIRTUAL_TRIAL,,,,,,,,treated,2013,"15,5",,49,,NA,,100,,NA,,"79,3",,NA,,"91,13",,NA,,"270,43",,150,,"3,09",,287,,83,,450,,50,,"12,9",,"82,5",,NA,,1710,,NA,
CF12181itkt,2879556,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48978,https://doi.org/10.15454/5ZAP8G,CF12181,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,8",,58,,NA,,100,,NA,,"75,1",,NA,,97,,NA,,"272,1",,119,,"2,07",,246,,97,,435,,"45,1",,12,,"84,2",,NA,,1677,,NA,
CF12200itkt,2879558,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48698,https://doi.org/10.15454/CBPECM,CF12200,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,5",,77,,NA,,100,,NA,,"82,9",,NA,,100,,NA,,"282,9",,87,,"1,12",,210,,75,,401,,43,,"11,2",,"81,3",,NA,,1730,,NA,
CF12202itkt,2879592,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,treated,2013,14,,40,,NA,,100,,NA,,"7,75",,NA,,"50,75",,NA,,"158,5",,126,,"3,19",,214,,71,,462,,"53,3",,"11,4",,"81,9",,NA,,957,,NA,
CF12273itkt,2879596,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49671,https://doi.org/10.15454/XJPBH3,CF12273,VIRTUAL_TRIAL,,,,,,,,treated,2013,"15,3",,48,,NA,,100,,NA,,"26,75",,NA,,"88,5",,NA,,"215,25",,133,,"2,79",,236,,89,,443,,"49,7",,"11,6",,"81,6",,NA,,1405,,NA,
CF12376itkt,2879568,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49458,https://doi.org/10.15454/WEEH9V,CF12376,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,8",,71,,NA,,100,,NA,,"50,85",,NA,,71,,NA,,"221,85",,100,,"1,4",,210,,79,,441,,"49,3",,"11,5",,"81,8",,NA,,1525,,NA,
DI13003itkt,2879598,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,treated,2013,"14,8",,45,,NA,,100,,NA,,"21,5",,NA,,"57,5",,NA,,179,,127,,"2,86",,233,,76,,450,,44,,"11,1",,"81,8",,NA,,1107,,NA,
DI13004itkt,2879552,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49219,https://doi.org/10.15454/6NP2UD,DI13004,VIRTUAL_TRIAL,,,,,,,,treated,2013,15,,46,,NA,,100,,NA,,"25,25",,NA,,68,,NA,,"193,25",,129,,"2,84",,246,,73,,451,,"41,9",,"11,4",,"82,1",,NA,,1155,,NA,
DI13005itkt,2879553,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,treated,2013,"23,3",,110,,NA,,100,,NA,,"83,5",,NA,,"98,5",,NA,,282,,69,,"0,63",,210,,50,,432,,"54,7",,"11,2",,"82,3",,NA,,1655,,NA,
DI13006itkt,2879554,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49207,https://doi.org/10.15454/DM26Q1,DI13006,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,1",,90,,NA,,100,,NA,,"60,75",,NA,,"88,13",,NA,,"248,88",,89,,"0,98",,263,,71,,428,,47,,"10,9",,"82,1",,NA,,1557,,NA,
