"Lot Number";"Accession Number";"Accession Name";"itk";"Trial Name";"Trial Site";"X(m)";"Y(m)";"Campaign";"GDD";"rdt: Grain yield at 0% humidity ";"Date [rdt]";"r: Yield";"Date [r]";"prec: Earliness at earing";"Date [prec]";"ps: Test weight";"Date [ps]";"ht: Height";"Date [ht]";"prot: Grain protein concentration";"Date [prot]";"rb: Susceptibility to leaf rust";"Date [rb]";"sept: Septoria score";"Date [sept]";"vr: Lodging score";"Date [vr]";"rj: Yellow rust score";"Date [rj]";"oid: Powdey mildew score";"Date [oid]";"pmg: Thousand grain weight at 0% humidity";"Date [pmg]"
"AO14017";"AO14017";"AO14017";"traite";"BTH_Clermont-Ferrand_2015_SetA2";"Clermont-Ferrand";"";"";"2015";"";"91.5";"";"103";"";"133";"";"84";"";"";"";"10.8";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE13086";"39437";"RE13086";"faible intrant";"BTH_Dijon_2015_SetA2";"Dijon";"";"";"2015";"";"85.8";"";"101.3";"";"132";"";"81.9";"";"92";"";"";"";"2.5";"";"2";"";"";"";"1";"";"";"";"";""
"RUBISKO";"36680";"RUBISKO";"traite";"BTH_Dijon_2015_SetA2";"Dijon";"";"";"2015";"";"108";"";"104.4";"";"133";"";"81.9";"";"87";"";"11.5";"";"";"";"";"";"1";"";"";"";"";"";"";""
"RE13086";"39437";"RE13086";"non traite fongicides";"BTH_Estrées-Mons_2015_SetA2";"Estrées-Mons";"";"";"2015";"";"105.5";"";"101.4";"";"141";"";"";"";"";"";"";"";"4.5";"";"4";"";"6.5";"";"1";"";"";"";"";""
"AO14020";"AO14020";"AO14020";"non traite fongicides";"BTH_Estrées-Mons_2015_SetA2";"Estrées-Mons";"";"";"2015";"";"89";"";"85.5";"";"143";"";"";"";"";"";"";"";"1";"";"5.5";"";"4.5";"";"5";"";"";"";"";""
"RUBISKO";"36680";"RUBISKO";"faible intrant";"BTH_Estrées-Mons_2015_SetA2";"Estrées-Mons";"";"";"2015";"";"107.1";"";"107.9";"";"139";"";"80";"";"";"";"10.9";"";"1";"";"5";"";"4";"";"2";"";"";"";"";""
"RE13006";"RE13006";"RE13006";"faible intrant";"BTH_Lusignan_2015_SetA2";"Lusignan";"";"";"2015";"";"72.1";"";"99.1";"";"131";"";"81.1";"";"100";"";"10.2";"";"1";"";"1";"";"1";"";"";"";"";"";"";""
"Lyrik";"36666";"LYRIK";"traite";"BTH_Lusignan_2015_SetA2";"Lusignan";"";"";"2015";"";"100";"";"108";"";"134";"";"79.8";"";"102";"";"10.6";"";"";"";"";"";"1";"";"";"";"";"";"";""
"RE13093";"RE13093";"RE13093";"";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"";""
"CF14070";"CF14070";"CF14070";"faible intrant";"BTH_Lusignan_2015_SetB1";"Lusignan";"";"";"2015";"";"66.26";"";"94";"";"133";"";"";"";"102";"";"";"";"";"";"4.5";"";"1";"";"";"";"";"";"";""
"AO15030";"AO15030";"AO15030";"faible intrant";"BTH_Rennes_2015_SetB1";"Rennes";"";"";"2015";"";"96.1";"";"109.3";"";"136";"";"78.4";"";"90";"";"";"";"2";"";"4";"";"1";"";"1";"";"";"";"";""
"Barok";"32101";"BAROK";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"108.3";"";"103.1";"";"134";"";"81.5";"";"86";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";""
"Barok";"32101";"BAROK";"traite";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"121";"";"98.9";"";"138";"";"";"";"92";"";"10.7";"";"";"";"";"";"";"";"";"";"";"";"";""
"DI15007";"DI15007";"DI15007";"faible intrant";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"98.4";"";"102.7";"";"141";"";"";"";"84";"";"10.5";"";"3";"";"2.5";"";"";"";"1.5";"";"";"";"";""
"DI15010";"DI15010";"DI15010";"faible intrant";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"95.9";"";"100.1";"";"138";"";"";"";"86";"";"10.2";"";"1.8";"";"3.5";"";"";"";"2";"";"";"";"";""
"CF14270";"CF14270";"CF14270";"traite";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"122.6";"";"100.2";"";"138";"";"";"";"90";"";"10.8";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15008";"AO15008";"AO15008";"traite";"BTH_Dijon_2015_SetB3";"Dijon";"";"";"2015";"";"102.4";"";"96.5";"";"134";"";"78";"";"100";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";""
"DI14007";"DI14007";"DI14007";"faible intrant";"BTH_Rennes_2015_SetB3";"Rennes";"";"";"2015";"";"90.3";"";"106";"";"140";"";"79";"";"106";"";"";"";"2";"";"2.5";"";"1";"";"4";"";"";"";"";""
"AO13100";"AO13100";"AO13100";"traite";"BTH_Champagne-céréales_2015_SetA1";"Champagne-céréales";"";"";"2015";"";"95.8";"";"102.5";"";"143";"";"80.9";"";"";"";"10.87";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO13045";"AO13045";"AO13045";"traite";"BTH_Clermont-Ferrand_2015_SetA1";"Clermont-Ferrand";"";"";"2015";"";"95.8";"";"";"";"133";"";"78";"";"";"";"9.8";"";"";"";"";"";"";"";"";"";"";"";"";""
"Galibier";"3250";"GALIBIER";"faible intrant";"BTH_Dijon_2015_SetA1";"Dijon";"";"";"2015";"";"55";"";"73.4";"";"126";"";"81.5";"";"95";"";"";"";"5.5";"";"2.5";"";"";"";"2.5";"";"";"";"";""
"AO13042";"AO13042";"AO13042";"faible intrant";"BTH_Dijon_2015_SetA1";"Dijon";"";"";"2015";"";"70.1";"";"93.4";"";"134";"";"77.6";"";"81";"";"";"";"5";"";"2";"";"";"";"2";"";"";"";"";""
"AO14001";"AO14001";"AO14001";"non traite fongicides";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"43.4";"";"40.4";"";"144";"";"";"";"";"";"";"";"NA";"";"NA";"";"3";"";"9";"";"";"";"";""
"AREZZO";"32759";"AREZZO";"non traite fongicides";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"97";"";"90.3";"";"138";"";"";"";"";"";"";"";"8";"";"5";"";"7";"";"1.5";"";"";"";"";""
"DI13002-2";"39307";"DI13002-2";"traite";"BTH_Orgeval_2015_SetA1";"Orgeval";"";"";"2015";"";"79.9";"";"97.7";"";"148";"";"75.4";"";"88";"";"10.6";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM12096";"39321";"EM12096";"faible intrant";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"94";"";"100.6";"";"139";"";"83.2";"";"97";"";"11.4";"";"3";"";"2.5";"";"1";"";"1";"";"1";"";"49.5";""
"AO14020";"AO14020";"AO14020";"traite";"BTH_Clermont-Ferrand_2015_SetA2";"Clermont-Ferrand";"";"";"2015";"";"91.7";"";"103.3";"";"133";"";"80.5";"";"";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE13014";"39435";"RE13014";"non traite fongicides";"BTH_Estrées-Mons_2015_SetA2";"Estrées-Mons";"";"";"2015";"";"94.2";"";"90.5";"";"142";"";"";"";"";"";"";"";"3.5";"";"5";"";"5.5";"";"6";"";"";"";"";""
"RE13014";"39435";"RE13014";"non traite fongicides";"BTH_Le_Moulon_2015_SetA2";"Le Moulon";"";"";"2015";"";"102.8";"";"101.7";"";"138";"";"";"";"116";"";"";"";"1";"";"3.8";"";"";"";"2.8";"";"";"";"";""
"RE13084";"39436";"RE13084";"traite";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"124.1";"";"107.2";"";"135";"";"83.1";"";"100";"";"10.9";"";"";"";"";"";"1";"";"";"";"";"";"";""
"AO14041";"AO14041";"AO14041";"non traite fongicides";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"90.8";"";"99.6";"";"134";"";"76.7";"";"82";"";"";"";"1.5";"";"5.5";"";"1";"";"1";"";"1";"";"";""
"AO14026";"AO14026";"AO14026";"traite";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"119.8";"";"103.5";"";"142";"";"81.2";"";"108";"";"10.2";"";"";"";"";"";"1";"";"";"";"";"";"";""
"RE13006";"RE13006";"RE13006";"";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"";""
"AREZZO";"32759";"AREZZO";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"98.5";"";"93.8";"";"132";"";"85.2";"";"92";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";""
"AREZZO";"32759";"AREZZO";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"86.4";"";"97.5";"";"132";"";"84.9";"";"86";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ATTLASS";"28926";"ATTLASS";"faible intrant";"BTH_Estrées-Mons_2015_SetB1";"Estrées-Mons";"";"";"2015";"";"105.3";"";"105.9";"";"142";"";"80.6";"";"";"";"10.7";"";"4.5";"";"4";"";"4.5";"";"1";"";"";"";"";""
"EM14001";"EM14001";"EM14001";"traite";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"119.2";"";"96.4";"";"147";"";"";"";"112";"";"10.9";"";"";"";"";"";"";"";"";"";"";"";"";""
"Bermude";"TX9";"Bermude";"non traite fongicides";"BTH_Orgeval_2015_SetB1";"Orgeval";"";"";"2015";"";"74.7";"";"98.1";"";"";"";"";"";"";"";"";"";"3";"";"3";"";"";"";"1";"";"";"";"";""
"EM14073";"EM14073";"EM14073";"traite";"BTH_Clermont-Ferrand_2015_SetB2";"Clermont-Ferrand";"";"";"2015";"";"88.1";"";"99.1";"";"136";"";"78.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DI15010";"DI15010";"DI15010";"non traite fongicides";"BTH_Orgeval_2015_SetB2";"Orgeval";"";"";"2015";"";"73.7";"";"97.7";"";"";"";"";"";"";"";"";"";"4.5";"";"3";"";"";"";"1";"";"";"";"";""
"AO15003";"AO15003";"AO15003";"non traite fongicides";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"78.9";"";"105.3";"";"";"";"";"";"";"";"";"";"2";"";"2.5";"";"";"";"1";"";"";"";"";""
"AO15015";"AO15015";"AO15015";"non traite fongicides";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"68.8";"";"91.8";"";"";"";"";"";"";"";"";"";"2";"";"3";"";"";"";"1";"";"";"";"";""
"EM14248";"EM14248";"EM14248";"";"BTH_Rennes_2015_SetB3";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"DI14004";"DI14004";"DI14004";"faible intrant";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"109.5";"";"109.9";"";"143";"";"79.2";"";"";"";"12";"";"5";"";"4";"";"3.5";"";"2.5";"";"";"";"";""
"AO11011";"37247";"AO11011";"faible intrant";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"100.6";"";"100.9";"";"142";"";"80.2";"";"";"";"11.3";"";"5";"";"4.5";"";"4";"";"1";"";"";"";"";""
"CROUSTY";"13450";"CROUSTY";"traite";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"108.2";"";"87.8";"";"144";"";"79.9";"";"";"";"12.3";"";"";"";"";"";"2.5";"";"";"";"";"";"";""
"AO13042";"AO13042";"AO13042";"non traite fongicides";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"101.2";"";"96.8";"";"140";"";"";"";"96";"";"";"";"2.5";"";"4";"";"1";"";"2.2";"";"";"";"";""
"CF09117";"37261";"CF09117";"non traite fongicides";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"95";"";"90.9";"";"138";"";"";"";"95";"";"";"";"1";"";"4";"";"1";"";"3";"";"";"";"";""
"DI13002-2";"39307";"DI13002-2";"";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"NA";"";"";"";"";"";"";"";"";"";"";""
"EM12231";"39323";"EM12231";"";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"RE13007";"RE13007";"RE13007";"non traite fongicides";"BTH_Le_Moulon_2015_SetA2";"Le Moulon";"";"";"2015";"";"112.8";"";"111.6";"";"138";"";"";"";"96";"";"";"";"1";"";"2.8";"";"";"";"2";"";"";"";"";""
"CF13158";"CF13158";"CF13158";"traite";"BTH_Lusignan_2015_SetA2";"Lusignan";"";"";"2015";"";"90.2";"";"97.3";"";"130";"";"79.8";"";"93";"";"10.7";"";"";"";"";"";"1";"";"";"";"";"";"";""
"ATTLASS";"28926";"ATTLASS";"traite";"BTH_Lusignan_2015_SetA2";"Lusignan";"";"";"2015";"";"103.9";"";"112.2";"";"131";"";"82.2";"";"99";"";"11";"";"";"";"";"";"1";"";"";"";"";"";"";""
"AO14017";"AO14017";"AO14017";"faible intrant";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"96.2";"";"114.3";"";"138";"";"81.6";"";"106";"";"11.1";"";"2";"";"3.5";"";"1";"";"1";"";"1";"";"";""
"EM13073";"EM13073";"EM13073";"non traite fongicides";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"83.8";"";"91.9";"";"138";"";"78";"";"95";"";"";"";"3";"";"3";"";"1.5";"";"1";"";"1";"";"";""
"RE14004";"RE14004";"RE14004";"traite";"BTH_Estrées-Mons_2015_SetB1";"Estrées-Mons";"";"";"2015";"";"119";"";"96.4";"";"147";"";"80";"";"";"";"11.2";"";"";"";"";"";"5";"";"";"";"";"";"";""
"CF14070";"CF14070";"CF14070";"non traite fongicides";"BTH_Orgeval_2015_SetB1";"Orgeval";"";"";"2015";"";"65.9";"";"86.6";"";"";"";"";"";"";"";"";"";"2";"";"3";"";"";"";"1";"";"";"";"";""
"RUBISKO";"36680";"RUBISKO";"traite";"BTH_Orgeval_2015_SetB1";"Orgeval";"";"";"2015";"";"89.6";"";"109.1";"";"143";"";"75.2";"";"88";"";"10.9";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE14115";"RE14115";"RE14115";"traite";"BTH_Clermont-Ferrand_2015_SetB2";"Clermont-Ferrand";"";"";"2015";"";"87";"";"97.9";"";"129";"";"82.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AREZZO";"32759";"AREZZO";"faible intrant";"BTH_Rennes_2015_SetB2";"Rennes";"";"";"2015";"";"78.4";"";"95.4";"";"130";"";"83.1";"";"86";"";"";"";"3.5";"";"6.5";"";"1";"";"1";"";"";"";"";""
"AO15003";"AO15003";"AO15003";"traite";"BTH_Estrées-Mons_2015_SetB3";"Estrées-Mons";"";"";"2015";"";"116.9";"";"97";"";"142";"";"79.8";"";"";"";"11.7";"";"";"";"";"";"5.5";"";"";"";"";"";"";""
"AO15012";"AO15012";"AO15012";"traite";"BTH_Estrées-Mons_2015_SetB3";"Estrées-Mons";"";"";"2015";"";"128.8";"";"106.8";"";"139";"";"81.5";"";"";"";"11.7";"";"";"";"";"";"1";"";"";"";"";"";"";""
"DI14007";"DI14007";"DI14007";"";"BTH_Le_Moulon_2015_SetB3";"Le Moulon";"";"";"2015";"";"99";"";"103.2";"";"147";"";"";"";"102";"";"9.6";"";"2.8";"";"3";"";"";"";"2";"";"";"";"";""
"EM14174";"EM14174";"EM14174";"";"BTH_Le_Moulon_2015_SetB3";"Le Moulon";"";"";"2015";"";"124.4";"";"103.8";"";"138";"";"";"";"94";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"AREZZO";"32759";"AREZZO";"";"BTH_Rennes_2015_SetB3";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"AO13100";"AO13100";"AO13100";"faible intrant";"BTH_Dijon_2015_SetA1";"Dijon";"";"";"2015";"";"80.6";"";"107.5";"";"135";"";"81.9";"";"84";"";"";"";"1.5";"";"3";"";"";"";"5.5";"";"";"";"";""
"AO13030";"39286";"AO13030";"traite";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"131.3";"";"103.5";"";"138";"";"";"";"86";"";"10.4";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE13116";"RE13116";"RE13116";"traite";"BTH_Estrées-Mons_2015_SetA2";"Estrées-Mons";"";"";"2015";"";"123.5";"";"101.1";"";"142";"";"78.3";"";"";"";"10.6";"";"";"";"";"";"3.5";"";"";"";"";"";"";""
"EM12040";"EM12040";"EM12040";"faible intrant";"BTH_Estrées-Mons_2015_SetA2";"Estrées-Mons";"";"";"2015";"";"98.8";"";"99.5";"";"136";"";"83.9";"";"";"";"12";"";"6";"";"5";"";"6.5";"";"1";"";"";"";"";""
"RE13006";"RE13006";"RE13006";"traite";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"116";"";"100.2";"";"132";"";"82.6";"";"108";"";"11.4";"";"";"";"";"";"5.5";"";"";"";"";"";"";""
"Lyrik";"36666";"LYRIK";"faible intrant";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"101.2";"";"120.2";"";"135";"";"79.5";"";"98";"";"9.9";"";"1";"";"2";"";"1";"";"4.5";"";"1";"";"";""
"AREZZO";"32759";"AREZZO";"faible intrant";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"83";"";"98.7";"";"131";"";"82";"";"91";"";"11";"";"5.5";"";"6";"";"1";"";"1";"";"1";"";"";""
"RE14039";"RE14039";"RE14039";"traite";"BTH_Clermont-Ferrand_2015_SetB1";"Clermont-Ferrand";"";"";"2015";"";"89.2";"";"103.3";"";"135";"";"81";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF14146";"CF14146";"CF14146";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"98.2";"";"110.9";"";"136";"";"79.8";"";"90";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15030";"AO15030";"AO15030";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"92.7";"";"104.6";"";"134";"";"77.3";"";"83";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15026";"AO15026";"AO15026";"faible intrant";"BTH_Estrées-Mons_2015_SetB1";"Estrées-Mons";"";"";"2015";"";"94.2";"";"94.8";"";"146";"";"77.2";"";"";"";"11";"";"2";"";"6";"";"3.5";"";"6.5";"";"";"";"";""
"EM13033";"EM13033";"EM13033";"faible intrant";"BTH_Estrées-Mons_2015_SetB1";"Estrées-Mons";"";"";"2015";"";"93.4";"";"93.9";"";"142";"";"79.3";"";"";"";"11";"";"5";"";"5";"";"5.5";"";"1";"";"";"";"";""
"CF14009";"CF14009";"CF14009";"faible intrant";"BTH_Rennes_2015_SetB1";"Rennes";"";"";"2015";"";"86.5";"";"98.4";"";"135";"";"77.1";"";"102";"";"";"";"2";"";"5.5";"";"1";"";"1";"";"";"";"";""
"CF14220";"CF14220";"CF14220";"traite";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"117.3";"";"101.3";"";"146";"";"80.5";"";"";"";"11.5";"";"";"";"";"";"3";"";"";"";"";"";"";""
"EM14102";"EM14102";"EM14102";"traite";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"106.5";"";"92";"";"142";"";"80.8";"";"";"";"12.3";"";"";"";"";"";"3";"";"";"";"";"";"";""
"DI15009";"DI15009";"DI15009";"faible intrant";"BTH_Lusignan_2015_SetB2";"Lusignan";"";"";"2015";"";"72.5";"";"97.4";"";"133";"";"76.5";"";"92";"";"";"";"1";"";"3";"";"1";"";"";"";"";"";"";""
"CELLULE";"36658";"CELLULE";"faible intrant";"BTH_Lusignan_2015_SetB2";"Lusignan";"";"";"2015";"";"80.3";"";"107.9";"";"128";"";"82.4";"";"96";"";"";"";"2.5";"";"3";"";"1";"";"";"";"";"";"";""
"EM14073";"EM14073";"EM14073";"faible intrant";"BTH_Rennes_2015_SetB2";"Rennes";"";"";"2015";"";"91.1";"";"110.9";"";"136";"";"76.8";"";"97";"";"";"";"2.5";"";"3.5";"";"1";"";"1";"";"";"";"";""
"RE14102";"RE14102";"RE14102";"faible intrant";"BTH_Rennes_2015_SetB2";"Rennes";"";"";"2015";"";"96.2";"";"117";"";"135";"";"83.8";"";"105";"";"";"";"1";"";"3";"";"1";"";"1";"";"";"";"";""
"AO15004";"AO15004";"AO15004";"";"BTH_Le_Moulon_2015_SetB3";"Le Moulon";"";"";"2015";"";"115.9";"";"96.7";"";"142";"";"";"";"92";"";"10.3";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15022";"AO15022";"AO15022";"traite";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"75.1";"";"95";"";"149";"";"70.6";"";"85";"";"9.9";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO11011";"37247";"AO11011";"traite";"BTH_Champagne-céréales_2015_SetA1";"Champagne-céréales";"";"";"2015";"";"87.2";"";"93.3";"";"144";"";"78.7";"";"";"";"10.83";"";"";"";"";"";"";"";"";"";"";"";"";""
"APACHE";"13481";"APACHE";"faible intrant";"BTH_Lusignan_2015_SetA1";"Lusignan";"";"";"2015";"";"63.2";"";"93.8";"";"130";"";"79.5";"";"92";"";"9.8";"";"1";"";"4.5";"";"1";"";"1";"";"";"";"";""
"DI13005";"39310";"DI13005";"traite";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"127.6";"";"107";"";"140";"";"80.6";"";"106";"";"10.2";"";"";"";"";"";"1";"";"";"";"";"";"49.9";""
"RE13003";"RE13003";"RE13003";"faible intrant";"BTH_Le_Moulon_2015_SetA2";"Le Moulon";"";"";"2015";"";"103.7";"";"107.7";"";"138";"";"";"";"113";"";"9.9";"";"1.8";"";"2.8";"";"";"";"1.5";"";"";"";"";""
"RE13116";"RE13116";"RE13116";"traite";"BTH_Lusignan_2015_SetA2";"Lusignan";"";"";"2015";"";"93.8";"";"101.3";"";"130";"";"82.6";"";"100";"";"10.9";"";"";"";"";"";"6.5";"";"";"";"";"";"";""
"CF13085";"CF13085";"CF13085";"";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"CF13057";"CF13057";"CF13057";"non traite fongicides";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"110.5";"";"121.2";"";"134";"";"78.8";"";"101";"";"";"";"2.5";"";"2.5";"";"1";"";"2";"";"1";"";"";""
"EM14045";"EM14045";"EM14045";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"83.4";"";"94.1";"";"135";"";"79.1";"";"84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE14060";"RE14060";"RE14060";"traite";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"121.2";"";"98.1";"";"138";"";"";"";"102";"";"11.3";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF14070";"CF14070";"CF14070";"faible intrant";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"82.5";"";"84.5";"";"140";"";"";"";"96";"";"10.1";"";"1";"";"5";"";"";"";"1";"";"";"";"";""
"CF14146";"CF14146";"CF14146";"traite";"BTH_Orgeval_2015_SetB1";"Orgeval";"";"";"2015";"";"77.5";"";"94.4";"";"148";"";"75";"";"88";"";"10.2";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF14015";"CF14015";"CF14015";"traite";"BTH_Orgeval_2015_SetB1";"Orgeval";"";"";"2015";"";"79.4";"";"96.7";"";"145";"";"74.2";"";"92";"";"11.5";"";"";"";"";"";"";"";"";"";"";"";"";""
"DI15010";"DI15010";"DI15010";"faible intrant";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"99.2";"";"102.3";"";"140";"";"81.7";"";"";"";"11.4";"";"3.5";"";"7";"";"3";"";"1.5";"";"";"";"";""
"RE14114";"RE14114";"RE14114";"traite";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"115.9";"";"100.1";"";"148";"";"82";"";"";"";"11.3";"";"";"";"";"";"6.5";"";"";"";"";"";"";""
"Soissons";"6607";"SOISSONS";"traite";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"106.2";"";"91.7";"";"136";"";"82.9";"";"";"";"11.5";"";"";"";"";"";"6";"";"";"";"";"";"";""
"CF14324";"CF14324";"CF14324";"traite";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"116.2";"";"95";"";"134";"";"";"";"86";"";"11.5";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM14076";"EM14076";"EM14076";"faible intrant";"BTH_Lusignan_2015_SetB2";"Lusignan";"";"";"2015";"";"74";"";"99.4";"";"134";"";"75.5";"";"89";"";"";"";"1";"";"1";"";"1";"";"";"";"";"";"";""
"RE14106";"RE14106";"RE14106";"traite";"BTH_Orgeval_2015_SetB2";"Orgeval";"";"";"2015";"";"74.9";"";"89.8";"";"150";"";"72.8";"";"110";"";"12.1";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF14300";"CF14300";"CF14300";"traite";"BTH_Orgeval_2015_SetB2";"Orgeval";"";"";"2015";"";"79.5";"";"95.3";"";"146";"";"75.4";"";"100";"";"10.8";"";"";"";"";"";"";"";"";"";"";"";"";""
"DI15010";"DI15010";"DI15010";"traite";"BTH_Orgeval_2015_SetB2";"Orgeval";"";"";"2015";"";"82.4";"";"98.8";"";"144";"";"69.3";"";"85";"";"11.1";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE14110";"RE14110";"RE14110";"non traite fongicides";"BTH_Orgeval_2015_SetB2";"Orgeval";"";"";"2015";"";"79.8";"";"105.9";"";"";"";"";"";"";"";"";"";"1";"";"1";"";"";"";"1";"";"";"";"";""
"EM14202";"EM14202";"EM14202";"traite";"BTH_Clermont-Ferrand_2015_SetB3";"Clermont-Ferrand";"";"";"2015";"";"95.3";"";"100.3";"";"133";"";"80";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE10042";"37832";"RE10042";"faible intrant";"BTH_Clermont-Ferrand_2015_SetA1";"Clermont-Ferrand";"";"";"2015";"";"74.6";"";"";"";"138";"";"79.5";"";"";"";"9.3";"";"1";"";"";"";"";"";"1";"";"";"";"";""
"EM12234";"39324";"EM12234";"traite";"BTH_Epi-centre_2015_SetA1";"Epi-centre";"";"";"2015";"";"97.7";"";"94.2";"";"131";"";"76.6";"";"95";"";"13.1";"";"";"";"";"";"";"";"";"";"";"";"46.3";""
"RE10042";"37832";"RE10042";"faible intrant";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"106.6";"";"106.9";"";"144";"";"79.5";"";"";"";"11.8";"";"1";"";"2";"";"4.5";"";"1.5";"";"";"";"";""
