,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L10,L12,W10,W12,Check
41,8,3345675,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,8.0,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:223901,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,75,70,8,7,Yes
42,6,3345673,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,6.0,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:223901,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,75,75,8,7.5,Yes
43,10,3345677,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,10.0,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:223901,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,80,70,8.5,7,Yes
44,2,3345669,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,2.0,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:223901,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,75,70,8,7.5,Yes
45,3,3345670,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,3.0,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:223901,REPLICATE>BLOCK:26,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,80,75,8,7,Yes
46,5,3345659,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,5.0,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:213901,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,80,80,9,8,Yes
47,9,3345663,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,9.0,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:213901,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,80,80,8.5,8,Yes
48,1,3345652,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,1.0,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:213901,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,80,80,9,8.5,Yes
49,7,3345661,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,7.0,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:213901,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,80,80,8.5,8.5,Yes
50,4,3345658,Cam12,127400,https://doi.org/10.15454/P5UIAJ,B73_H,Syngenta Campagnola 2012,REPLICATE>BLOCK>PLOT>PLANT,,,,4.0,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:213901,REPLICATE>BLOCK:8,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,,,,,,,,,,2012,,,,,,,,,,,,16,80,80,8,8,Yes
